Tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
REGION,NCE,,,
Ile-de-France,E16 - Sidérurgie,55,124,124
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,2,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,32,44,44
,E22 - Industrie du verre,35,57,57
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,0,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,s,s
,E26 - Autres industries de la chimie organique de base,38,74,74
,E28 - Parachimie et industrie pharmaceutique,24,47,47
,E29 - Fonderie et travail des métaux,23,47,47
,E30 - Construction mécanique,15,28,28
,E31 - Construction électrique et électronique,s,64,64
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,50,105,95
,"E33 - Construction navale et aéronautique, armement",29,65,60
,"E34 - Industrie textile, du cuir et de l'habillement",5,9,9
,E35 - Industrie du papier et du carton,16,36,35
,E36 - Fabrication de produits en caoutchouc,5,9,9
,E37 - Fabrication de produits en plastique,5,16,16
,E38 - Industries diverses,29,60,55
Champagne-Ardenne,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,9,14,14
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,27,32,32
,E22 - Industrie du verre,49,59,59
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",1,5,5
,E26 - Autres industries de la chimie organique de base,23,72,72
,E28 - Parachimie et industrie pharmaceutique,7,10,10
,E29 - Fonderie et travail des métaux,84,158,158
,E30 - Construction mécanique,12,19,19
,E31 - Construction électrique et électronique,s,8,8
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,12,24,24
,"E33 - Construction navale et aéronautique, armement",1,2,2
,"E34 - Industrie textile, du cuir et de l'habillement",7,13,13
,E35 - Industrie du papier et du carton,40,62,62
,E36 - Fabrication de produits en caoutchouc,s,18,16
,E37 - Fabrication de produits en plastique,11,31,31
,E38 - Industries diverses,71,95,95
Picardie,E16 - Sidérurgie,28,41,41
,E18 - Métallurgie de première transformation des métaux non ferreux,8,15,15
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,24,32,32
,E22 - Industrie du verre,63,93,93
,E23 - Fabrication d'engrais,3,5,5
,E24 - Autres industries de la chimie minérale,14,38,38
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",12,27,27
,E26 - Autres industries de la chimie organique de base,71,91,78
,E28 - Parachimie et industrie pharmaceutique,30,47,47
,E29 - Fonderie et travail des métaux,42,74,74
,E30 - Construction mécanique,13,22,22
,E31 - Construction électrique et électronique,10,17,17
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,12,24,24
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",9,16,16
,E35 - Industrie du papier et du carton,66,96,96
,E36 - Fabrication de produits en caoutchouc,2,37,37
,E37 - Fabrication de produits en plastique,9,58,57
,E38 - Industries diverses,8,14,14
Haute-Normandie,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,9,26,26
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,9,14,14
,E22 - Industrie du verre,89,117,117
,E23 - Fabrication d'engrais,498,517,510
,E24 - Autres industries de la chimie minérale,294,313,313
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",14,33,33
,E26 - Autres industries de la chimie organique de base,873,1170,1014
,E28 - Parachimie et industrie pharmaceutique,20,39,39
,E29 - Fonderie et travail des métaux,36,59,59
,E30 - Construction mécanique,7,13,13
,E31 - Construction électrique et électronique,9,23,23
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,22,53,53
,"E33 - Construction navale et aéronautique, armement",5,12,12
,"E34 - Industrie textile, du cuir et de l'habillement",s,13,13
,E35 - Industrie du papier et du carton,228,357,232
,E36 - Fabrication de produits en caoutchouc,5,10,10
,E37 - Fabrication de produits en plastique,7,35,35
,E38 - Industries diverses,s,33,33
Centre,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,10,13,13
,E19 - Production de minéraux divers,s,s,s
