Tab1_Taille : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
INDICATEUR : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille,Lignite - charbon pauvre,Coke de houille,Gaz naturel de réseau,Autres gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Achats d'électricité,Autoconsommation d'électricité,Total brut,Ventes de vapeur,Consommation pour production d'électricité,Total net
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,
Total,4777,86,597,8633,95,806,1557,748,250,17549,1369,702,935,236,369,3612,21161,1439,7716,252,30568,353,1175,29041
20 à 49 employés,s,s,0,765,s,s,43,32,89,s,12,s,45,s,5,s,1078,28,695,2,1803,s,s,1553
50 à 99 employés,112,21,68,1070,4,217,39,123,50,1703,254,0,77,38,137,506,2209,146,914,6,3276,46,13,3217
100 à 249 employés,318,0,51,2652,15,430,398,130,54,4049,s,s,261,75,196,806,4855,387,1752,26,7019,95,73,6851
250 à 499 employés,298,s,74,1884,1,s,598,245,24,3174,s,s,543,94,16,1367,4541,393,1861,99,6894,75,650,6169
500 à 999 employés,4,s,34,1306,32,s,466,187,10,2143,s,s,8,0,15,803,2946,181,1305,34,4467,27,97,4343
1 000 à 1 999 employés,s,0,s,365,s,0,13,30,6,s,s,0,1,s,0,s,725,230,495,30,1479,s,s,1300
2 000 employés ou plus,3937,s,s,591,0,0,0,1,16,4806,0,0,0,0,0,0,4806,74,694,55,5629,s,s,5607
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,,,,,,,,,,,,,,,,,,,,,
