"Tab3_NCE : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
NCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8396,1036,1484,448,7948,1200,142.9,s,s,s,s,512,55,s,938,75,87,12,927,266,283.9,143941,so,so,so,143941,3881,27,1363,so,so,so,1363,46,33.7,1085,106,134,28,1057,163,149.8,1510,35,30,-5,1514,777,514.7,s,s,s,s,1056,402,s,345411,48314,44383,-3931,349342,256,0.7,23727,so,so,so,23727,553,23.3,108392,so,so,so,112507,6210,57.3
Total hors IAA,8168,1013,1465,452,7717,1173,143.6,s,s,s,s,214,26,s,911,61,76,15,896,260,285.5,112110,so,so,so,112110,3035,27.1,1232,so,so,so,1232,42,34.1,1085,106,134,28,1057,163,149.8,1418,30,25,-4,1422,717,505.9,s,s,s,s,786,294,s,291683,37425,33815,-3610,295293,227,0.8,19988,so,so,so,19988,473,23.7,89720,so,so,so,92654,5054,56.3
E12 - Industrie laitière,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5117,so,so,so,5117,145,28.2,9,so,so,so,9,0,30.2,0,0,0,0,0,0,0,17,1,1,0,17,10,596.5,104,7,6,0,105,43,409.9,10691,3457,3450,-8,10699,6,0.5,314,so,so,so,314,7,22.9,3413,so,so,so,3455,208,61
E13 - Sucreries,145,13,13,0,144,19,132,138,27,15,-12,150,15,107.4,28,15,11,-4,31,6,231.7,6794,so,so,so,6794,170,25,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.1,98,17,17,1,97,38,384.1,3861,677,694,17,3844,2,0.6,0,so,so,so,0,0,0,295,so,so,so,989,21,72.2
"E14 - Industries alimentaires, hors industrie du lait et du sucre",83,10,6,-4,87,8,97.2,142,17,11,-6,148,14,96.7,0,0,0,0,0,0,0,19906,so,so,so,19906,531,26.7,123,so,so,so,123,4,30.4,0,0,0,0,0,0,0,74,4,4,0,74,49,660.6,67,7,7,-1,68,28,412.7,33345,6481,6153,-328,33673,18,0.5,3425,so,so,so,3425,73,21.2,14599,so,so,so,15040,898,61.5
E16 - Sidérurgie,7143,874,1378,504,6639,1065,149.1,s,0,0,0,s,s,s,450,31,43,12,438,116,258.6,7185,so,so,so,7185,186,25.9,s,so,so,so,s,s,s,s,s,s,s,s,4,s,4,0,0,0,5,3,628.3,s,s,s,s,s,1,s,s,s,s,s,s,s,s,647,so,so,so,647,15,23.8,11102,so,so,so,11846,485,43.7
E18 - Métallurgie de première transformation des métaux non ferreux,0,0,0,0,0,0,0,s,s,s,s,s,s,s,0,0,0,0,0,0,0,3058,so,so,so,3058,80,26.1,s,so,so,so,s,s,s,169,12,26,14,155,55,324,5,0,0,0,5,3,611.4,s,s,s,s,s,4,s,5189,575,554,-20,5209,3,0.6,368,so,so,so,368,s,s,s,so,so,so,7251,s,s
E19 - Production de minéraux divers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,so,so,so,346,10,29.9,0,so,so,so,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,650.5,2,s,s,s,s,1,557.5,16134,875,738,-136,16270,9,0.6,s,so,so,so,s,s,s,s,so,so,so,s,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,so,so,so,s,s,s,s,so,so,so,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,so,so,so,s,s,s,s,so,so,so,s,s,s
E21 - Production d'autres matériaux de construction et de céramique,s,s,s,s,s,s,s,s,s,s,s,s,0,s,94,12,9,-2,96,25,270.5,s,so,so,so,s,s,s,19,so,so,so,19,0,16.3,s,s,s,s,s,3,s,20,s,s,s,s,13,638.1,s,s,s,s,s,10,s,102725,4276,4095,-181,102906,120,1.2,s,so,so,so,s,s,s,s,so,so,so,2549,s,s
E22 - Industrie du verre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,s,s,8747,so,so,so,8747,234,26.8,1,so,so,so,1,0,46,0,0,0,0,0,0,0,6,s,s,s,s,s,s,273,12,15,3,271,102,372.6,s,s,s,s,s,2,s,s,so,so,so,s,s,s,s,so,so,so,3155,s,s
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13279,so,so,so,13279,288,21.7,0,so,so,so,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,631.7,3,0,0,0,3,1,400.5,2245,270,228,-42,2287,1,0.6,0,so,so,so,0,0,0,628,so,so,so,696,36,56.5
E24 - Autres industries de la chimie minérale,329,16,14,-2,331,33,99.5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,7942,so,so,so,7942,208,26.1,0,so,so,so,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,532.8,s,s,s,s,s,s,s,1265,246,333,87,1178,1,0.6,s,so,so,so,s,31,s,s,so,so,so,7050,321,s
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3819,so,so,so,3819,101,26.6,5,so,so,so,5,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,648.7,7,1,0,0,7,s,s,995,s,s,s,s,1,0.6,1356,so,so,so,1356,36,26.8,2346,so,so,so,2379,126,53.7
E26 - Autres industries de la chimie organique de base,111,8,3,-4,116,14,124.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17498,so,so,so,17498,431,24.6,851,so,so,so,851,29,34.3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,89,s,9146,s,s,s,s,5,0.5,7772,so,so,so,7772,199,25.6,7161,so,so,so,7715,380,53
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829,so,so,so,2829,88,31,3,so,so,so,3,0,28.6,0,0,0,0,0,0,0,15,0,0,0,15,11,725.8,1,s,s,s,s,0,428.2,7061,2276,1831,-445,7506,4,0.6,209,so,so,so,209,7,34.5,s,so,so,so,2520,162,s
E29 - Fonderie et travail des métaux,s,s,s,s,s,3,s,s,s,s,s,s,0,s,s,s,s,s,s,102,s,7601,so,so,so,7601,242,31.8,160,so,so,so,160,6,36.6,s,s,s,s,s,s,s,37,4,5,1,36,s,s,3,1,1,-1,4,2,462.1,22037,3496,3536,40,21996,13,0.6,s,so,so,so,s,1,s,s,so,so,so,7585,527,s
E30 - Construction mécanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,s,s,2424,so,so,so,2424,90,37.1,21,so,so,so,21,1,49.4,0,0,0,0,0,0,0,15,1,1,0,15,s,s,s,s,s,s,s,0,s,14393,s,s,s,s,8,0.6,17,so,so,so,17,1,61.8,2414,so,so,so,2417,178,73.8
E31 - Construction électrique et électronique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,10,s,s,so,so,so,s,84,s,9,so,so,so,9,0,41.2,s,s,s,s,s,24,s,7,s,s,s,s,5,692.2,s,s,s,s,s,1,s,9763,s,s,s,s,5,0.6,28,so,so,so,28,1,35,s,so,so,so,4504,285,s
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,7,2,319,5278,so,so,so,5278,156,29.6,3,so,so,so,3,0,46,0,0,0,0,0,0,0,10,7,7,0,10,7,699.1,1,1,1,0,1,0,467.8,10378,1099,1040,-59,10438,7,0.7,s,so,so,so,s,14,s,s,so,so,so,5093,327,s
"E33 - Construction navale et aéronautique, armement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,so,so,so,1843,62,33.9,9,so,so,so,9,0,34.7,0,0,0,0,0,0,0,2,0,0,0,2,s,s,s,s,s,s,s,s,s,3492,s,s,s,s,s,s,119,so,so,so,119,4,34.9,s,so,so,so,1939,124,s
