"Tab3_Région : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,8396,1036,1484,448,7948,1200,142.9,s,s,s,s,512,55,s,938,75,87,12,927,266,283.9,143941,so,so,so,143941,3881,27,1363,so,so,so,1363,46,33.7,1085,106,134,28,1057,163,149.8,1510,35,30,-5,1514,777,514.7,s,s,s,s,1056,402,s,345411,48314,44383,-3931,349342,256,0.7,23727,so,so,so,23727,553,23.3,108392,so,so,so,112507,6210,57.3
Ile-de-France,s,s,s,s,s,7,s,0,s,s,s,s,0,0,1,1,1,-1,2,0,270.4,8926,so,so,so,8926,228,25.5,47,so,so,so,47,s,s,6,0,0,0,6,1,186.6,9,0,0,0,9,6,677.9,16,1,1,0,17,s,s,11800,2473,2327,-146,11947,7,0.6,519,so,so,so,519,14,27.5,5400,so,so,so,5472,317,58.7
Champagne-Ardenne,68,11,6,-5,73,7,106.2,142,20,11,-9,151,13,89.6,27,1,1,0,27,7,276.1,6074,so,so,so,6074,167,27.5,2,so,so,so,2,0,38.9,s,s,s,s,s,s,s,11,s,s,s,s,7,663.9,68,13,10,-2,71,25,372.2,14965,1387,1212,-176,15141,s,s,s,so,so,so,s,s,s,3647,so,so,so,3791,s,s
Picardie,s,s,s,s,s,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,10363,so,so,so,10363,267,25.7,5,so,so,so,5,0,39.1,0,0,0,0,0,0,0,22,1,1,0,22,15,678.5,61,6,7,2,59,24,392.6,13631,2234,1991,-243,13874,8,0.6,1959,so,so,so,1959,44,22.5,s,so,so,so,4969,278,s
Haute-Normandie,42,3,3,0,41,8,181.1,26,2,1,-1,27,4,136.5,2,2,1,-1,3,0,181,14571,so,so,so,14571,367,25.2,s,so,so,so,s,s,s,s,0,0,0,s,s,s,s,0,0,0,s,s,s,s,s,s,s,117,43,s,9415,1405,1351,-54,9469,6,0.6,2795,so,so,so,2795,63,22.6,5986,so,so,so,6389,340,56.7
Centre,s,s,s,s,s,8,s,0,0,0,0,0,0,0,s,s,s,s,s,s,s,5580,so,so,so,5580,162,29,11,so,so,so,11,1,54.6,s,s,s,s,51,6,117.5,15,1,1,0,15,10,712.9,28,s,s,s,s,11,406.9,15719,2570,2184,-386,16105,s,s,105,so,so,so,105,2,22.3,3820,so,so,so,3934,241,63.1
Basse-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,250,2411,so,so,so,2411,74,30.7,s,so,so,so,s,1,s,s,s,s,-3,s,s,s,11,0,1,0,10,7,659,s,s,s,s,s,6,s,11823,1917,1728,-189,12013,s,s,4,so,so,so,4,0,35.1,s,so,so,so,2049,132,s
Bourgogne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,so,so,so,3320,102,30.7,25,so,so,so,25,1,42.4,s,0,0,0,s,s,s,8,6,6,0,8,6,711.2,s,s,s,s,s,s,s,10082,1045,903,-142,10223,6,0.6,175,so,so,so,175,5,28.9,2539,so,so,so,2543,168,66.2
Nord-Pas-de-Calais,s,s,s,s,s,s,s,118,8,6,-2,120,13,107.8,457,29,44,16,441,118,257.2,18579,so,so,so,18579,483,26,s,so,so,so,s,2,s,s,s,s,s,197,61,s,s,5,3,-2,s,s,s,s,s,s,s,104,41,s,27328,2964,2885,-79,27407,32,1.2,1946,so,so,so,1946,47,24.2,17087,so,so,so,17373,833,48.8
Lorraine,s,s,s,s,s,187,s,s,s,s,s,s,21,s,s,s,s,s,313,95,s,9671,so,so,so,9671,260,26.9,15,so,so,so,15,1,34.3,s,12,s,s,47,5,s,8,1,1,0,8,6,742.5,19,1,1,0,20,7,363.7,22362,5103,4376,-726,23088,12,0.5,2120,so,so,so,2120,48,22.7,8597,so,so,so,8852,481,55.9
Alsace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,s,s,14346,so,so,so,14346,343,23.9,9,so,so,so,9,0,27.8,s,s,s,-3,s,2,s,8,1,1,0,9,6,692.2,12,7,5,-2,14,5,405.3,14235,2546,2095,-451,14686,s,s,777,so,so,so,777,16,20,5689,so,so,so,5815,335,58.9
Franche-Comté,152,13,6,-7,159,19,125,0,0,0,0,0,0,0,10,2,1,-1,11,3,312.2,2563,so,so,so,2563,78,30.5,18,so,so,so,18,1,47,s,s,s,-1,s,s,s,12,1,1,0,12,8,655.2,12,s,s,s,s,5,426.2,s,s,s,s,10358,s,s,s,so,so,so,s,19,s,s,so,so,so,3391,176,s
Pays de la Loire,0,0,0,0,0,0,0,s,s,s,s,2,s,s,10,0,0,0,10,3,315.4,5274,so,so,so,5274,152,28.8,32,so,so,so,32,1,38.2,s,s,s,-5,s,s,s,19,s,s,s,s,13,696.5,41,5,4,-1,42,16,397.9,29319,4458,4096,-363,29682,16,0.6,1012,so,so,so,1012,23,22.6,5618,so,so,so,5655,368,65.4
Bretagne,20,1,1,0,20,2,83.5,2,0,1,0,2,0,103.4,0,0,0,0,0,0,0,4395,so,so,so,4395,131,29.8,17,so,so,so,17,1,36.9,0,0,0,0,0,0,0,37,2,2,0,37,23,623,s,s,s,s,32,14,s,20941,3578,3409,-170,21110,11,0.5,373,so,so,so,373,9,23,4229,so,so,so,4258,271,64.1
Poitou-Charentes,99,9,7,-2,101,10,103.9,0,0,0,0,0,0,0,s,s,s,s,s,s,s,2607,so,so,so,2607,75,28.6,24,so,so,so,24,1,33.6,s,s,s,s,s,8,s,s,s,s,s,14,10,s,s,s,s,s,50,20,s,19145,1406,1509,103,19042,s,s,s,so,so,so,s,3,s,s,so,so,so,2149,139,s
Aquitaine,s,s,s,s,s,s,s,0,0,0,0,0,0,0,s,s,s,-3,s,s,s,4647,so,so,so,4647,130,28,2,so,so,so,2,0,32,0,0,0,0,0,0,0,14,0,0,0,14,10,675.9,s,s,s,s,117,42,s,13269,2071,1657,-414,13684,7,0.6,2868,so,so,so,2868,64,22.3,4642,so,so,so,5095,270,58.3
Midi-Pyrénées,s,s,s,s,s,2,s,s,s,s,s,s,s,s,0,0,0,0,0,0,0,2453,so,so,so,2453,76,30.9,28,106,134,28,28,1,29.3,s,0,0,0,s,s,s,13,1,0,0,13,9,693.6,17,s,s,0,17,8,439.1,11750,1764,1636,-128,11878,7,0.6,489,so,so,so,489,15,30.2,2504,so,so,so,2786,162,64.9
Limousin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,s,s,980,so,so,so,980,28,28.1,4,0,0,0,4,0,30.8,0,0,0,0,0,0,0,s,s,s,s,4,2,s,4,s,s,s,s,2,442.4,4074,565,523,-42,4116,s,s,s,so,so,so,s,s,s,s,so,so,so,916,s,s
Rhône-Alpes,203,59,19,-39,242,35,170.1,s,s,s,s,s,s,s,s,s,s,s,20,9,s,14141,so,so,so,14141,408,28.8,113,s,s,s,113,4,34.7,187,24,44,20,167,36,194.7,33,2,2,0,33,21,650,s,s,s,s,117,45,s,32709,5248,4911,-337,33046,s,s,3467,so,so,so,3467,79,22.9,14591,so,so,so,14790,776,53.2
Auvergne,s,s,s,s,s,1,s,0,0,0,0,0,0,0,41,3,3,0,41,15,374.5,2929,so,so,so,2929,85,29,1,0,0,0,1,0,53.7,s,s,s,s,s,s,s,4,0,0,0,4,3,695.1,36,2,2,-1,37,15,414,10553,1220,1041,-179,10732,s,s,s,so,so,so,s,6,s,s,so,so,so,2543,158,s
Languedoc-Roussillon,s,s,s,s,s,18,s,0,s,s,s,s,0,0,0,0,0,0,0,0,0,2067,so,so,so,2067,54,26.3,19,0,0,0,19,1,32.4,52,1,1,0,52,6,114,5,0,0,0,5,3,662.8,4,s,s,0,4,2,481.5,13245,1025,964,-61,13306,8,0.6,s,so,so,so,s,8,s,s,so,so,so,1928,103,s
PACA et Corse,s,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7981,so,so,so,7981,211,26.4,s,s,s,s,s,15,s,s,s,s,s,194,14,s,912,s,s,-3,915,434,476.4,154,9,7,-2,156,54,348.9,s,s,s,s,21259,s,s,2243,so,so,so,2243,53,23.5,6884,so,so,so,7610,356,51.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
