"Tab3_taille : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8396,1036,1484,448,7948,1200,142.9,s,s,s,s,512,55,s,938,75,87,12,927,266,283.9,143941,so,so,so,143941,3881,27,1363,so,so,so,1363,46,33.7,1085,106,134,28,1057,163,149.8,1510,35,30,-5,1514,777,514.7,s,s,s,s,1056,402,s,345411,48314,44383,-3931,349342,256,0.7,23727,so,so,so,23727,553,23.3,108392,so,so,so,112507,6210,57.3
20 à 49 employés,60,s,s,s,s,7,112,71,s,s,s,s,6,91.3,0,0,0,0,0,0,448.9,11898,so,so,so,11898,362,30.4,s,so,so,so,s,6,s,s,s,s,s,s,4,s,61,4,5,1,60,43,696.7,64,3,3,0,64,28,439.4,119946,9312,8574,-738,120684,114,0.9,510,so,so,so,510,14,27.4,10518,so,so,so,10561,725,68.9
50 à 99 employés,165,79,42,-37,202,18,112.1,s,s,s,s,96,9,s,112,9,19,10,102,25,227.4,16136,so,so,so,16136,451,27.9,89,so,so,so,89,3,38.1,284,57,57,0,285,27,96.2,57,4,4,0,58,39,682.9,s,s,s,s,145,53,s,69000,6881,6613,-268,69268,55,0.8,2659,so,so,so,2659,65,24.3,12913,so,so,so,13001,809,62.6
100 à 249 employés,646,53,45,-9,655,88,136.4,125,s,s,-14,139,14,108.8,103,19,14,-5,108,31,298.9,48973,so,so,so,48973,1262,25.8,227,so,so,so,227,8,33.7,576,34,45,11,564,65,112.3,398,15,14,0,399,190,476.7,s,s,s,s,292,114,s,80817,12083,11137,-946,81763,45,0.6,7078,so,so,so,7078,159,22.5,26949,so,so,so,28267,1612,59.8
250 à 499 employés,503,22,20,-1,504,s,s,s,s,s,s,s,12,s,102,22,13,-9,111,24,237.7,32284,so,so,so,32284,904,28,31,so,so,so,31,1,31.4,s,s,s,s,s,s,s,549,12,7,-5,554,287,523.7,300,24,24,-1,301,115,385,35135,7368,6328,-1040,36175,20,0.6,6621,so,so,so,6621,154,23.2,25985,so,so,so,27259,1443,55.5
500 à 999 employés,s,s,s,s,6,2,s,s,s,s,s,s,s,s,50,3,3,0,50,19,370.6,18532,so,so,so,18532,475,25.7,422,so,so,so,422,s,s,s,s,s,s,s,52,s,430,0,0,0,430,208,484.1,208,7,7,0,209,73,350.1,14493,4336,3895,-440,14934,9,0.7,2634,so,so,so,2634,56,21.1,16770,so,so,so,17178,808,48.2
1 000 à 1 999 employés,s,13,5,-8,s,s,s,0,0,0,0,0,0,0,s,s,s,s,s,s,s,4998,so,so,so,4998,144,28.8,s,so,so,so,s,s,s,0,0,0,0,0,0,0,14,0,0,0,14,10,696,45,2,3,1,44,18,395.3,7153,2433,2207,-226,7380,4,0.5,3191,so,so,so,3191,81,25.5,6280,so,so,so,6624,346,55.1
2 000 employés ou plus,6870,855,1365,510,6361,1016,147.9,s,0,0,0,s,s,s,s,s,s,s,s,s,s,11120,so,so,so,11120,283,25.5,0,so,so,so,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,756.9,0,6,5,0,1,0,450.8,18866,5902,5629,-273,19139,10,0.5,1035,so,so,so,1035,25,24.3,8977,so,so,so,9616,468,52.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champ : France métropolitaine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources : Insee, SSP, Enquête annuelle sur les consommations d'énergie dans l'industrie 2010, y compris IAA et scieries (calculs Insee).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
