Tab4_NCE : Répartition de la consommation de combustibles par usage  en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
NCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1119,0,195,126,1439,743,3949,68,16,4777,69,16,s,s,86,285,s,0,s,597,5466,1395,383,1388,8633,78,s,s,15,95,651,153,0,2,806,119,1355,s,s,1557,632,s,s,23,748,124,4,11,111,250,1164,192,13,0,1369,431,33,s,s,702,640,0,229,66,935,215,1,s,s,236,331,34,s,s,369
E16 - Sidérurgie,39,0,0,7,47,s,3941,0,s,4110,s,s,0,s,s,9,284,0,0,292,491,s,0,s,553,s,0,0,0,s,s,12,0,0,s,3,0,0,2,5,s,0,s,0,s,14,s,s,3,s,0,0,0,0,0,0,0,0,0,0,52,0,0,0,52,s,0,0,0,s,0,s,0,0,s
E18 - Métallurgie de première transformation des métaux non ferreux,s,0,0,s,26,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,214,s,0,s,235,s,0,0,s,s,s,s,0,0,118,3,0,0,2,5,11,0,0,s,s,2,0,0,2,4,s,0,0,0,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E19 - Production de minéraux divers,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,s,s,0,0,s,8,0,2,4,14,s,s,0,0,s,s,s,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,0,s,s,s,s,s,s,s,0,s,s,s,s,s,s,s,s,s,s,s,s,s
E21 - Production d'autres matériaux de construction et de céramique,s,0,s,0,s,s,0,s,s,s,0,0,0,s,s,64,0,0,0,64,s,s,3,25,s,s,0,0,s,1,0,s,0,s,s,18,s,0,4,s,15,1,0,s,s,60,3,1,23,87,s,s,0,0,14,0,0,0,0,0,s,0,0,s,46,9,0,0,0,9,s,s,0,0,8
