Tab4_Région : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,1119,0,195,126,1439,743,3949,68,16,4777,69,16,s,s,86,285,312,0,0,597,5466,1395,383,1388,8633,78,s,s,15,95,651,153,0,2,806,119,1355,s,s,1557,632,s,s,23,748,124,4,11,111,250,1164,192,13,0,1369,431,33,s,s,702,640,0,229,66,935,215,1,s,s,236,331,34,s,s,369
Ile-de-France,17,0,s,s,37,s,s,0,s,s,0,0,0,s,s,0,0,0,0,0,354,s,10,s,629,3,0,0,1,4,2,s,0,s,5,4,0,0,3,7,15,0,0,1,16,4,0,0,6,10,0,s,0,0,s,0,0,0,0,0,s,0,0,s,0,9,0,0,s,s,0,s,0,s,0
Champagne-Ardenne,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,9,7,0,0,16,210,s,s,52,264,0,0,0,0,0,s,0,0,s,s,6,s,s,5,s,s,0,0,s,23,4,s,0,s,9,s,0,0,0,s,0,0,0,0,0,57,0,0,6,63,s,s,0,0,3,s,s,0,0,s
Picardie,48,0,0,8,56,s,s,0,0,s,0,s,0,0,s,s,s,0,0,s,272,1,s,s,351,0,0,0,0,0,0,0,0,0,0,7,s,0,s,20,29,0,s,s,31,4,0,0,6,10,s,s,0,s,s,0,0,0,0,0,s,0,0,0,s,s,s,0,0,s,0,s,0,0,s
Haute-Normandie,61,0,s,s,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,483,36,88,1043,s,0,s,1,s,s,0,0,0,s,15,s,0,3,s,101,s,s,s,105,3,0,0,5,8,s,s,0,0,491,0,0,0,0,0,57,0,s,s,162,33,0,s,0,s,13,s,s,s,s
Centre,s,0,0,s,8,s,0,0,s,s,0,0,0,0,0,0,s,0,0,s,193,0,25,85,303,0,0,0,1,1,39,0,0,0,39,7,s,0,s,12,3,0,0,s,s,6,s,1,s,12,s,0,0,0,s,0,0,0,0,0,s,0,0,s,31,7,0,0,0,7,s,0,0,0,s
