Tab4_Taille : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1119,0,195,126,1439,743,3949,68,16,4777,69,16,0,1,86,285,312,0,0,597,5466,1395,383,1388,8633,78,0,2,15,95,651,153,0,2,806,119,1355,9,74,1557,632,77,16,23,748,124,4,11,111,250,1164,192,13,0,1369,431,33,237,2,702,640,0,229,66,935,215,1,10,10,236,331,34,1,3,369
20 à 49 employés,25,0,0,4,28,s,7,s,s,s,s,0,0,0,s,0,0,0,0,0,316,s,s,129,765,s,s,0,5,s,23,0,0,0,s,31,0,0,12,43,27,2,0,2,32,51,0,3,35,89,9,2,0,0,12,0,s,0,s,s,35,0,s,s,45,19,s,0,s,s,0,5,0,0,5
50 à 99 employés,134,0,0,12,146,82,30,0,0,112,s,0,0,s,21,s,s,0,0,68,701,195,11,163,1070,2,0,0,2,4,214,s,0,s,217,s,0,s,17,39,43,s,s,5,123,23,3,s,s,50,70,184,0,0,254,0,0,0,0,0,61,0,0,16,77,38,0,0,0,38,131,6,s,s,137
100 à 249 employés,343,0,s,s,387,192,118,6,2,318,s,s,0,0,0,41,10,0,0,51,1792,482,53,325,2652,12,s,s,3,15,413,s,0,s,430,36,s,s,27,398,122,0,0,9,130,21,0,s,s,54,s,5,0,0,s,s,0,0,0,s,248,0,0,13,261,s,s,s,s,75,191,s,0,s,196
250 à 499 employés,362,0,14,18,393,241,9,36,12,298,1,s,0,0,s,48,26,0,0,74,1348,s,s,286,1884,0,0,0,1,1,s,s,0,0,s,s,559,s,13,598,224,s,s,s,245,7,1,2,14,24,s,s,0,s,s,274,s,237,s,s,295,0,s,s,543,s,0,s,0,94,6,10,s,s,16
500 à 999 employés,145,0,23,14,181,4,0,0,0,4,0,s,0,0,s,31,2,0,0,34,726,s,s,187,1306,27,0,s,s,32,s,102,0,0,s,3,460,0,3,466,186,0,0,1,187,s,s,1,s,10,s,0,13,0,s,s,s,0,0,s,1,0,0,8,8,0,0,0,0,0,4,s,s,2,15
