"Tab2_Taille : Autoproduction, achats et consommation d'électricité en GWh selon la taille de l'entreprise",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
INDICATEUR,Production d'origine thermique,Production d'origine hydraulique,Ventes,Autoconsommation (1),Achats (2),Consommation (1 + 2)
TAILLE,,,,,,
Total,4127,666,1859,2935,89720,92654
20 à 49 employés,s,13,s,25,8076,8101
50 à 99 employés,52,66,44,74,10630,10704
100 à 249 employés,353,127,174,306,20370,20676
250 à 499 employés,1716,325,894,1148,21638,22786
500 à 999 employés,s,s,152,400,15179,15579
1 000 à 1 999 employés,s,s,s,344,5755,6100
2 000 employés ou plus,557,132,53,637,8071,8708
Champ : France métropolitaine.,,,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,,,
