ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Toutes régions,8168,1013,1465,452,7717,1173,143.6,s,s,s,s,214,26,s,911,61,76,15,896,260,285.5,112110,so,so,so,112110,3035,27.1,1232,so,so,so,1232,42,34.1,1085,106,134,28,1057,163,149.8,1418,30,25,-4,1422,717,505.9,s,s,s,s,786,294,s,291683,37425,33815,-3610,295293,227,0.78,19988,so,so,so,19988,473,23.7,89720,so,so,so,92654,5054,56.3
Ile-de-France,s,s,s,s,s,7,s,0,s,s,s,s,0,0,0,0,0,0,0,0,500,8170,so,so,so,8170,207,25.3,47,so,so,so,47,s,s,6,0,0,0,6,1,186.6,7,0,0,0,7,4,657.3,16,1,1,0,17,s,s,11454,2435,2286,-149,11603,6,0.56,516,so,so,so,516,14,27.5,4965,so,so,so,5019,289,58.3
Picardie,s,s,s,s,s,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,4564,so,so,so,4564,132,28.9,5,so,so,so,5,0,39.1,0,0,0,0,0,0,0,18,1,1,0,18,13,684.4,33,2,2,0,33,12,376.8,11987,1978,1753,-225,12212,7,0.56,776,so,so,so,776,21,27.2,s,so,so,so,3153,205,s
Haute-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13544,so,so,so,13544,338,24.9,s,so,so,so,s,s,s,s,0,0,0,s,s,s,s,0,0,0,s,s,s,s,s,s,s,110,40,s,8861,1284,1227,-57,8918,5,0.58,2685,so,so,so,2685,60,22.5,5387,so,so,so,5746,302,56
Centre,s,s,s,s,s,8,s,0,0,0,0,0,0,0,s,s,s,s,s,s,s,3934,so,so,so,3934,117,29.8,11,so,so,so,11,1,55.4,s,s,s,s,51,6,117.5,11,1,1,0,11,8,719,4,s,s,s,s,2,403.3,13801,2052,1692,-360,14161,s,s,105,so,so,so,105,2,22.3,3228,so,so,so,3249,205,63.4
Basse-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,so,so,so,978,32,32.6,s,so,so,so,s,0,s,s,s,s,-3,s,s,s,6,0,1,0,5,4,712.1,s,s,s,s,s,1,s,8572,1235,888,-346,8918,s,s,0,so,so,so,0,0,0,s,so,so,so,1192,79,s
Bourgogne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,so,so,so,2835,87,30.8,25,so,so,so,25,1,42.4,s,0,0,0,s,s,s,7,6,6,0,7,5,711.1,s,s,s,s,s,s,s,8330,879,732,-147,8476,5,0.58,77,so,so,so,77,2,26.5,2098,so,so,so,2100,139,66.4
Nord-Pas-de-Calais,s,s,s,s,s,s,s,42,1,2,1,41,5,110.3,451,26,42,16,435,116,258.1,12440,so,so,so,12440,336,27,s,so,so,so,s,2,s,s,s,s,s,197,61,s,s,5,3,-2,s,s,s,s,s,s,s,78,30,s,25203,2350,2290,-61,25264,31,1.21,1605,so,so,so,1605,39,24.5,14647,so,so,so,14777,696,47.5
Lorraine,s,s,s,s,s,187,s,s,s,s,s,s,21,s,s,s,s,s,313,95,s,9038,so,so,so,9038,241,26.6,5,so,so,so,5,0,41.3,s,12,s,s,47,5,s,6,1,1,0,6,5,798.2,13,1,1,0,13,4,333.8,20148,4625,3891,-734,20882,11,0.5,1694,so,so,so,1694,38,22.6,8048,so,so,so,8287,445,55.3
Alsace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,s,s,12186,so,so,so,12186,289,23.7,9,so,so,so,9,0,27.8,s,s,s,-3,s,2,s,7,1,0,0,7,5,706.6,8,6,3,-2,10,3,416.8,11814,1917,1497,-421,12234,s,s,502,so,so,so,502,12,23.3,4610,so,so,so,4724,271,58.7
