ID,NAF,Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Gaz naturel de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Autres gaz de réseau (en GWh),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Fioul domestique (en milliers de litres),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh)
ID,NAF,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2010,Stock au 31/12/2010,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
_T,Total,8396,1036,1484,448,7948,1200,142.9,s,s,s,s,512,55,s,938,75,87,12,927,266,283.9,143941,so,so,so,143941,3881,27,1363,so,so,so,1363,46,33.7,1085,106,134,28,1057,163,149.8,1510,35,30,-5,1514,777,514.7,s,s,s,s,1056,402,s,345411,48314,44383,-3931,349342,256,0.7,23727,so,so,so,23727,553,23.3,108392,so,so,so,112507,6210,57.3
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,so,so,0,0,0,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,2514,27,23,-4,2518,s,s,0,so,so,so,0,s,s,0,so,so,so,4,s,s
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,so,so,so,774,25,31.7,s,so,so,so,s,s,s,0,0,0,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,6,s,97455,3518,3268,-250,97705,54,0.6,s,so,so,so,s,s,s,s,so,so,so,993,s,s
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",228,23,19,-4,231,27,119.3,280,44,26,-18,298,29,101.9,28,15,11,-4,31,6,231.7,30644,so,so,so,30644,807,26.3,131,so,so,so,131,4,30.4,0,0,0,0,0,0,0,83,5,5,0,84,54,648.8,267,29,29,0,267,107,401.4,43771,9386,9192,-194,43965,24,0.5,3672,so,so,so,3672,78,21.3,16812,so,so,so,17986,1032,61.4
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,so,so,so,1173,39,33.1,0,so,so,so,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,5,654.5,2,2,1,0,3,1,372.8,4126,1229,1104,-125,4251,2,0.5,66,so,so,so,66,2,24.8,1495,so,so,so,1497,96,63.9
13,Fabrication de textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,so,so,so,1800,60,33.2,12,so,so,so,12,0,35.5,0,0,0,0,0,0,0,6,0,1,0,6,3,608.1,4,0,0,0,4,2,434.9,4844,842,840,-2,4846,3,0.6,27,so,so,so,27,1,26.4,s,so,so,so,1289,89,s
14,Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,so,so,so,153,6,37.1,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848.7,1,0,0,0,1,0,426.1,1232,170,200,30,1202,1,0.6,0,so,so,so,0,0,0,s,so,so,so,116,9,s
15,Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,so,so,so,109,s,s,s,so,so,so,s,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,630.4,0,0,0,0,0,0,603.8,730,s,s,s,s,s,s,34,so,so,so,34,s,s,146,so,so,so,146,s,s
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,so,so,so,872,28,32.6,s,so,so,so,s,0,s,0,0,0,0,0,0,0,s,s,s,s,s,3,s,4,0,0,0,4,2,422.4,14125,1255,1063,-192,14317,8,0.6,0,so,so,so,0,0,0,1778,so,so,so,1786,121,67.8
