reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,,189.0,1232.0,,127.0,25,129,30.0,,270.0,49,0,98,,,36.0,13.0,243.0,1162.0,3544.0,,,3194.0
BFC,Bourgogne-Franche-Comté,,105,405.0,,,15,,14.0,,577,2,0,46,,,,76,6.0,180.0,1166.0,0.0,0.0,1115.0
BRE,Bretagne,,0,104.0,,0,13,2,10.0,,129,,,6,,0,,11,11,144,296.0,0,1,295.0
CVL,Centre-Val de Loire,,0.0,304.0,,39,12,,12.0,,410,,0,31,,7,,40,8,280,737.0,0,26,711.0
DOM,Départements d’Outre-mer,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,,5460,8728.0,,806,1557,748,250.0,,17549,1369,702,935,,236,369,3612,1439,7968,30568.0,353,1175,29041.0
GRE,Grand Est,,209.0,1635.0,,35.0,13,22,28.0,,3090,168.0,0,23.0,,7.0,61.0,506,158,1119,4873.0,49,95,4729.0
HDF,Hauts-de-France,,307.0,1309.0,,150,20.0,105,31.0,,4031,,0,3.0,,,96.0,332,172,1271.0,6076.0,,,6033.0
IDF,Ile-de-France,,0.0,633.0,,5,7,16,10.0,,711,,0,0,,,0,10,37,432,1190.0,,,1152.0
NOA,Nouvelle-Aquitaine,,63.0,547.0,,0.0,24,136.0,28.0,,823.0,9.0,303.0,271,,28.0,39.0,650.0,194.0,373.0,2543.0,0.0,8.0,2282.0
NOR,Normandie,,0,1118.0,,,6.0,105.0,16.0,,1623,491.0,0,166,,,,724,193,494.0,3136.0,13,277,2846.0
OCC,Occitanie,,0.0,294.0,,40.0,13,15,19.0,,501,,0.0,44.0,,2.0,33.0,245,35.0,189.0,1106.0,0.0,21.0,1079.0
PAC,Provence-Alpes-Côte d'Azur,,0.0,581.0,,148,999,148,18.0,,3144,254,,,,3,18,416,160,610,4331.0,87,200,4044.0
PAL,Pays de la Loire,,8,224.0,,,,6,20.0,,336,,0,41,,18,,77,63,316,792.0,,,786.0
