reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,,243.0,302.0,60.0,547.0,15990.0,15990.0,459.0,149.5,,,,,187.0,167.0,36.0,194.7,23,23,15,1338.6,20.0,136,53,403.6,34772,35221.0,,,,,,,,,,,6750.0,82,23.0,,,,,,,,13310.0,15517.0,,819,52.2
BFC,Bourgogne-Franche-Comté,,162,170,22,437.2,5265.0,5265.0,162.0,150.60000000000002,,,,,,,,,13,13,9,1424.7,12.0,,5.0,426.6,8330.0,17287.0,5.0,0.58,,,,,,,,,154.0,20,26.5,,,,,,,,2098.0,5222.0,,299,66.4
BRE,Bretagne,,0,0,0,0,1345.0,1345.0,42.0,70.6,,,,,0,0,0,0,12,12,7,595.5,,3,1,,11977,12097.0,7,0.5,,,,,,,,,318,4,24.9,,,,,,,,1678,1682.0,,114,67.9
CVL,Centre-Val de Loire,,0.0,0.0,8.0,0.0,3945.0,3945.0,118.0,85.2,,,,,,51,6,117.5,11,11,8,719,4,,2,403.3,13801,14161.0,,,,,,,,,,,210,2,22.3,,,,,,,,3228,3249.0,,205,63.4
DOM,Départements d’Outre-mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,,9079.0,8827,1459,429.1,113342.0,113342.0,3077.0,61.2,,,,,1085,1057,163,149.8,1418,1422,717,505.9,,786,294,,291683,295293.0,227,0.78,,,,,,,,,39976,473,23.7,,,,,,,,89720,92654.0,,5054,56.3
GRE,Grand Est,,0.0,313.0,303.0,0.0,21238.0,21238.0,530.0,119.4,,,,,,47.0,7,,13,13,10,1504.8000000000002,21,23,7,750.6,31962,33116.0,11.0,0.5,,,,,,,,,4392,50,45.900000000000006,,,,,,,,12658,13011.0,,716,114.0
HDF,Hauts-de-France,,493.0,476.0,122.0,368.40000000000003,17009.0,17009.0,470.0,95.0,,,,,0.0,197,61,0.0,18.0,18.0,13.0,684.4,33.0,111,42,376.8,37190,37476.0,38,1.77,,,,,,,,,4762,60,51.7,,,,,,,,14647.0,17930.0,,901,47.5
IDF,Ile-de-France,,0.0,0.0,7,500.0,8217.0,8217.0,207.0,25.3,,,,,6,6,1,186.6,7,7,4,657.3,16,17,,,11454,11603.0,6,0.56,,,,,,,,,1032,14,27.5,,,,,,,,4965,5019.0,,289,58.3
NOA,Nouvelle-Aquitaine,,99.0,101.0,10.0,103.9,7097.0,7097.0,196.0,179.1,,,,,0.0,0.0,8,0.0,12.0,22,15,657.0,2.0,143.0,53,430.2,31721,31983.0,6.0,0.56,,,,,,,,,5392.0,63.0,22.1,,,,,,,,3892.0,6733.0,,330.0,57.2
NOR,Normandie,,0,0,0,0,14522.0,14522.0,370.0,57.5,,,,,,,,,6.0,5.0,4.0,712.1,,110.0,41,,17433,17836.0,5.0,0.58,,,,,,,,,5370,60,22.5,,,,,,,,5387.0,6938.0,,381,56.0
OCC,Occitanie,,0.0,0.0,20.0,0.0,3812.0,3812.0,108.0,119.2,,,,,52.0,52.0,6.0,114.0,12,13,8,1400.1999999999998,16,16,7,914.7,22793,22906.0,13,1.16,,,,,,,,,978.0,16,30.2,,,,,,,,1918.0,3731.0,,200,64.0
PAC,Provence-Alpes-Côte d'Azur,,0.0,0.0,0.0,0.0,7542.0,7542.0,211.0,26.1,,,,,,194,14,,909,912,433,475.7,154,155,54,348.6,,20779.0,,,,,,,,,,,4456,53,23.6,,,,,,,,6370,7096.0,,322,50.6
PAL,Pays de la Loire,,10.0,12,3.0,315.4,2909.0,2909.0,87.0,72.6,,,,,,,,,12,,9,710.7,6,7,3,440.1,23241,23559.0,13,0.56,,,,,,,,,1752,20,23.1,,,,,,,,3662,3673.0,,244,66.5
