tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
REGION,NCE,,,
Ile-de-France,E16 - Sidérurgie,57,132,132
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,31,42,42
,E22 - Industrie du verre,34,55,55
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,0,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,s,s
,E26 - Autres industries de la chimie organique de base,19,40,40
,E28 - Parachimie et industrie pharmaceutique,21,46,46
,E29 - Fonderie et travail des métaux,29,59,59
,E30 - Construction mécanique,6,15,15
,E31 - Construction électrique et électronique,16,58,58
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,38,89,80
,"E33 - Construction navale et aéronautique, armement",25,60,53
,"E34 - Industrie textile, du cuir et de l'habillement",4,8,8
,E35 - Industrie du papier et du carton,8,19,19
,E36 - Fabrication de produits en caoutchouc,3,7,7
,E37 - Fabrication de produits en plastique,3,16,16
,E38 - Industries diverses,28,59,55
Champagne-Ardenne,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,9,14,14
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,28,33,33
,E22 - Industrie du verre,46,56,56
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,0,0,0
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",1,5,5
,E26 - Autres industries de la chimie organique de base,24,72,72
,E28 - Parachimie et industrie pharmaceutique,5,10,10
,E29 - Fonderie et travail des métaux,87,163,163
,E30 - Construction mécanique,8,14,14
,E31 - Construction électrique et électronique,4,8,8
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,9,18,18
,"E33 - Construction navale et aéronautique, armement",1,1,1
,"E34 - Industrie textile, du cuir et de l'habillement",7,11,11
,E35 - Industrie du papier et du carton,37,59,59
,E36 - Fabrication de produits en caoutchouc,s,18,16
,E37 - Fabrication de produits en plastique,9,27,27
,E38 - Industries diverses,49,73,73
Picardie,E16 - Sidérurgie,28,41,41
,E18 - Métallurgie de première transformation des métaux non ferreux,7,13,13
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,24,30,30
,E22 - Industrie du verre,64,94,94
,E23 - Fabrication d'engrais,4,6,6
,E24 - Autres industries de la chimie minérale,10,32,32
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",11,24,23
,E26 - Autres industries de la chimie organique de base,73,95,83
,E28 - Parachimie et industrie pharmaceutique,26,42,41
,E29 - Fonderie et travail des métaux,40,75,75
,E30 - Construction mécanique,10,18,18
,E31 - Construction électrique et électronique,7,15,15
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,10,22,22
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",9,17,17
,E35 - Industrie du papier et du carton,63,95,95
,E36 - Fabrication de produits en caoutchouc,2,30,30
,E37 - Fabrication de produits en plastique,8,55,55
,E38 - Industries diverses,8,14,14
Haute-Normandie,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,7,25,25
,E19 - Production de minéraux divers,0,0,0
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,13,18,18
,E22 - Industrie du verre,100,130,129
,E23 - Fabrication d'engrais,382,399,395
,E24 - Autres industries de la chimie minérale,278,297,297
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",13,32,32
,E26 - Autres industries de la chimie organique de base,750,1035,1012
,E28 - Parachimie et industrie pharmaceutique,29,47,47
,E29 - Fonderie et travail des métaux,35,55,55
,E30 - Construction mécanique,7,14,14
,E31 - Construction électrique et électronique,7,21,21
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,17,49,49
,"E33 - Construction navale et aéronautique, armement",4,11,11
,"E34 - Industrie textile, du cuir et de l'habillement",s,13,13
,E35 - Industrie du papier et du carton,184,292,217
,E36 - Fabrication de produits en caoutchouc,4,10,10
,E37 - Fabrication de produits en plastique,7,35,35
,E38 - Industries diverses,21,30,30
Centre,E16 - Sidérurgie,0,0,0
,E18 - Métallurgie de première transformation des métaux non ferreux,14,18,18
,E19 - Production de minéraux divers,0,0,0
