tab1_taille - Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
INDICATEUR : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille,Lignite - charbon pauvre,Coke de houille,Gaz naturel de réseau,Autres gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Achats d'électricité,Autoconsommation d'électricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,
Total,4471,187,509,8463,76,771,1506,763,252,16999,1326,870,637,236,390,3459,20458,1307,7751,198,29714,270,917,28527
20 à 49 employés,s,s,1,773,s,36,68,64,99,1058,32,s,s,10,6,88,1146,21,678,3,1847,s,s,1599
50 à 99 employés,124,26,71,972,4,224,35,121,50,1627,256,0,58,37,131,482,2109,146,987,7,3248,s,s,3224
100 à 249 employés,327,1,46,2591,9,380,s,s,49,4057,261,s,179,s,222,723,4780,334,1719,21,6854,73,47,6734
250 à 499 employés,304,20,74,1971,3,29,649,366,23,3439,s,s,354,128,16,1340,4779,402,1932,87,7200,57,556,6587
500 à 999 employés,5,s,34,1292,6,102,s,s,8,1723,s,s,8,0,16,809,2532,165,1249,16,3963,37,66,3859
1 000 à 1 999 employés,s,0,s,352,s,0,2,31,7,s,s,0,s,0,0,s,641,204,499,15,1358,0,54,1304
2 000 employés ou plus,3629,s,s,513,0,0,s,3,16,s,0,0,0,s,0,s,4472,35,688,49,5244,s,s,5220
Note : Les coefficients de conversion en tep de certaines énergies ont été actualisés pour la publication 2011.,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie hors IAA et scieries, hors industrie de l'énergie, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, enquête annuelle sur les consommations d'énergie dans l'industrie 2011.",,,,,,,,,,,,,,,,,,,,,,,,
