"Tab3_NCE : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Facture énergétique totale
NCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,7160,1543,1249,-294,7454,1289,180,711,s,s,-36,748,s,s,s,s,109,s,793,s,358.7,141303,so,so,so,141303,4045,28.6,1167,so,so,so,1167,43,37.1,1005,161,153,-7,1012,190,188.8,1453,28,17,-10,1463,977,672.4,1041,164,144,-20,1060,503,483.5,345533,44088,41259,-2829,348362,240,0.7,20345,so,so,so,20345,540,26.5,108433,so,so,so,111951,6635,61.2,14864
Total hors IAA et scieries,6923,1524,1224,-300,7223,1256,181.4,430,s,s,-31,461,s,s,s,s,98,s,764,s,361,109913,so,so,so,109913,3138,28.6,991,so,so,so,991,38,38.5,1005,161,153,-7,1012,190,188.8,1365,21,11,-10,1375,912,667.9,785,89,72,-16,802,371,472.1,295861,33610,31162,-2448,298310,206,0.7,18154,so,so,so,18154,488,26.9,90127,so,so,so,92429,5408,60,12365
E12 - Industrie laitière,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5259,so,so,so,5259,147,28,33,so,so,so,33,1,25.8,0,0,0,0,0,0,0,18,1,1,0,18,14,744.2,88,51,50,-1,89,46,519,11065,3395,3466,71,10994,7,0.7,286,so,so,so,286,8,28.4,3526,so,so,so,3563,237,67.2,460
E13 - Sucreries,150,13,17,4,146,22,144.2,160,15,17,1,159,22,134.5,29,11,11,0,29,9,295.9,7193,so,so,so,7193,205,28.6,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051.2,108,17,16,-1,110,56,519.3,2704,673,490,-183,2887,2,0.7,0,so,so,so,0,0,0,324,so,so,so,1067,23,72.4,339
"E14 - Industries alimentaires, hors industrie du lait et du sucre",86,6,7,1,85,11,126,121,11,4,-7,128,14,116,0,0,0,0,0,0,0,18922,so,so,so,18922,554,29.3,144,so,so,so,144,4,29.8,0,0,0,0,0,0,0,69,5,5,0,69,51,740.6,59,7,6,-1,60,31,515.8,30500,6126,5915,-211,30711,20,0.7,1905,so,so,so,1905,44,23,14089,so,so,so,14520,939,66.6,1667
E16 - Sidérurgie,5823,1434,1096,-339,6162,1120,192.3,s,s,s,-31,s,s,180.7,s,s,s,s,364,136,s,7128,so,so,so,7128,215,30.2,s,so,so,so,s,s,31.5,24,1,2,0,23,5,221.5,5,0,0,0,5,4,773.7,3,s,s,-2,5,2,544.2,20639,1329,976,-353,20992,13,0.6,239,so,so,so,239,6,23.5,11622,so,so,so,12187,529,45.5,2089
E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s,0,s,s,147.4,s,s,s,s,s,s,400,0,0,0,0,0,0,0,3185,so,so,so,3185,83,26.2,0,so,so,so,0,0,0,155,27,22,-5,159,59,382.4,s,s,s,s,4,s,702.6,s,s,s,s,6,3,s,5391,614,612,-2,5393,4,0.7,422,so,so,so,422,8,17.9,7032,so,so,so,7032,240,34.1,400
E19 - Production de minéraux divers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,so,so,so,343,10,29.7,0,so,so,so,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,745,s,0,0,0,s,s,659.1,16700,700,699,-1,16701,13,0.8,s,so,so,so,s,s,18.9,s,so,so,so,s,s,65.1,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,so,so,so,s,s,s,s,so,so,so,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,so,so,so,s,s,s,s,so,so,so,s,s,s,s
E21 - Production d'autres matériaux de construction et de céramique,s,s,s,s,s,s,95.6,s,s,s,s,1,s,260.8,s,s,s,s,104,37,s,6349,so,so,so,6349,175,27.5,s,so,so,so,s,s,12.7,6,s,s,s,7,s,630.4,18,1,1,0,18,13,740.8,17,1,1,0,17,9,564.4,s,s,s,s,102184,70,s,s,so,so,so,s,s,7.5,2492,so,so,so,2555,178,71.6,506
E22 - Industrie du verre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,s,483.9,8982,so,so,so,8982,242,26.9,s,so,so,so,s,s,67.4,0,0,0,0,0,0,0,6,1,1,0,6,4,784.9,s,s,s,s,271,135,s,3692,925,780,-145,3838,3,0.7,18,so,so,so,18,1,30.7,3404,so,so,so,3409,209,61.4,594
E23 - Fabrication d'engrais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9837,so,so,so,9837,s,s,0,so,so,so,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,724.1,3,0,0,0,3,2,501.6,2758,219,270,51,2707,2,0.7,s,so,so,so,s,s,14.1,560,so,so,so,617,34,61.2,292
E24 - Autres industries de la chimie minérale,328,14,s,s,s,44,133.2,s,s,s,s,s,s,207.8,s,s,s,s,s,s,336.2,11364,so,so,so,11364,300,26.4,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.7,s,s,s,-8,s,s,456.8,1359,363,354,-9,1369,1,0.8,1358,so,so,so,1358,33,24.3,6768,so,so,so,6843,338,50,771
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s,0,s,s,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,so,so,so,3713,105,28.2,5,so,so,so,5,0,33.3,0,0,0,0,0,0,0,s,0,0,0,s,0,s,5,s,s,0,5,s,s,646,110,94,-16,661,0,0.7,1069,so,so,so,1069,33,30.5,2464,so,so,so,2495,146,59.3,296
E26 - Autres industries de la chimie organique de base,s,s,s,-3,s,s,128.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19037,so,so,so,19037,492,25.8,s,so,so,so,s,s,42.2,s,s,s,s,s,s,452.3,1183,s,s,-10,1193,783,661.8,253,10,8,-2,255,121,476.5,9039,1660,1559,-101,9140,6,0.7,7338,so,so,so,7338,217,29.6,7235,so,so,so,7710,415,57.4,2066
E28 - Parachimie et industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2453,so,so,so,2453,79,32.3,23,so,so,so,23,1,33.5,0,0,0,0,0,0,0,16,1,0,0,16,14,834.1,11,0,0,0,11,0,19.5,5863,1897,1765,-132,5995,4,0.7,190,so,so,so,190,7,38.1,2449,so,so,so,2454,171,69.9,276
E29 - Fonderie et travail des métaux,18,s,s,-1,19,s,s,s,s,s,s,2,s,253.6,238,18,13,-5,243,91,382.6,7444,so,so,so,7444,247,33.1,129,so,so,so,129,5,38.1,13,0,0,0,13,5,418.6,36,2,2,0,36,29,809.5,3,19,0,-18,22,2,608.4,19191,3334,3011,-324,19515,14,0.7,36,so,so,so,36,2,44.2,7887,so,so,so,7933,586,74.3,984
E30 - Construction mécanique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,so,so,so,2028,77,38.1,16,so,so,so,16,1,44.7,0,0,0,0,0,0,0,12,1,1,0,12,10,828.1,0,s,s,0,0,0,442.2,9742,2014,2014,0,9742,7,0.7,17,so,so,so,17,1,53.5,2416,so,so,so,2420,191,79.2,288
E31 - Construction électrique et électronique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,-1,27,9,345.6,2047,so,so,so,2047,71,34.9,62,so,so,so,62,1,8.8,36,7,7,0,36,27,746,6,0,0,0,6,5,823.4,2,0,0,0,2,1,530.4,8595,2530,2197,-333,8928,6,0.7,17,so,so,so,17,1,35,4516,so,so,so,4521,306,67.7,426
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,9,4,s,4159,so,so,so,4159,133,31.9,22,so,so,so,22,1,46.1,0,0,0,0,0,0,0,9,1,1,0,9,7,802.8,0,1,0,-1,1,0,662.7,10761,1375,1160,-216,10976,9,0.8,471,so,so,so,471,12,26.5,4966,so,so,so,4982,344,69.3,510
