"Tab3_Région : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Facture énergétique totale
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT - Toutes régions,7160,1543,1249,-294,7454,1289,180,711,s,s,-36,748,s,s,s,s,109,s,793,s,358.7,141303,so,so,so,141303,4045,28.6,1167,so,so,so,1167,43,37.1,1005,161,153,-7,1012,190,188.8,1453,28,17,-10,1463,977,672.4,1041,164,144,-20,1060,503,483.5,345533,44088,41259,-2829,348362,240,0.7,20345,so,so,so,20345,540,26.5,108433,so,so,so,111951,6635,61.2,14864
11 - Ile-de-France,73,s,s,s,69,9,125.4,0,0,0,0,0,0,0,2,1,0,0,2,1,353.2,7553,so,so,so,7553,208,27.6,89,so,so,so,89,1,16.1,8,0,0,0,8,2,209.9,7,0,0,0,7,6,840.8,11,0,0,0,11,5,423.3,12460,3129,2086,-1042,13502,9,0.7,338,so,so,so,338,12,35.1,5220,so,so,so,5284,332,63.6,584
21 - Champagne-Ardenne,s,6,8,s,s,s,149,126,11,6,-5,132,14,111.3,27,1,1,0,27,10,376.9,5753,so,so,so,5753,162,28.2,9,so,so,so,9,0,39.3,s,0,0,s,s,s,327.5,s,s,s,s,11,9,s,74,19,9,-10,84,36,490.1,15280,1316,1195,-121,15401,11,0.7,s,so,so,so,s,s,26.9,3574,so,so,so,s,246,68.8,524
22 - Picardie,s,s,s,1,25,s,161.7,s,s,s,s,s,s,136.7,s,4,4,0,s,s,392.1,10244,so,so,so,10244,297,29,24,so,so,so,24,1,34.5,0,0,0,0,0,0,0,s,s,s,s,20,16,s,s,s,s,s,61,30,s,11605,1899,1452,-447,12052,8,0.7,s,so,so,so,s,21,s,3927,so,so,so,s,268,68.2,660
23 - Haute-Normandie,39,3,2,-1,40,7,170.3,24,1,1,0,24,4,162.9,2,1,1,0,2,1,370,13233,so,so,so,13233,372,28.1,s,so,so,so,s,s,42.5,s,s,s,-2,s,s,124.8,s,1,1,0,s,s,692.3,116,5,5,0,116,50,430.4,12625,1470,1388,-82,12707,9,0.7,2587,so,so,so,2587,72,28,5830,so,so,so,6197,364,62.4,1047
24 - Centre,64,8,9,1,64,8,126.9,s,s,s,s,s,s,s,9,2,3,0,8,3,379.3,5155,so,so,so,5155,161,31.3,6,so,so,so,6,0,42,47,8,8,0,48,6,137.5,13,1,1,0,13,10,794.5,29,4,4,0,29,15,511.8,13504,2417,2268,-149,13653,10,0.8,s,so,so,so,s,s,22.1,3726,so,so,so,s,257,68.9,474
25 - Basse-Normandie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,309.2,2204,so,so,so,2204,67,30.5,s,so,so,so,s,s,33.4,s,s,s,s,s,s,121.5,12,1,1,0,11,9,778.2,s,s,s,s,15,s,488.9,s,s,s,s,13113,9,s,3,so,so,so,3,0,31.2,1992,so,so,so,2014,141,70.9,239
26 - Bourgogne,0,0,0,0,0,0,236.5,0,0,0,0,0,0,0,s,0,0,0,s,s,0,3080,so,so,so,3080,99,32,12,so,so,so,12,1,44.6,s,s,s,-1,s,s,134.8,6,1,1,0,6,5,838.6,s,12,s,-11,27,s,467.7,10108,794,734,-60,10168,6,0.6,146,so,so,so,146,5,37.3,2525,so,so,so,2528,177,69.9,301
31 - Nord-Pas-de-Calais,s,s,s,-249,s,s,187.7,129,6,6,0,129,16,128,s,44,s,s,377,139,s,17650,so,so,so,17650,508,28.8,79,so,so,so,79,2,31.2,191,23,23,s,191,63,331.2,s,1,1,s,s,s,678.3,s,s,s,s,100,59,s,29850,3326,3158,-167,30018,20,0.7,2103,so,so,so,2103,53,25.1,17143,so,so,so,17426,877,51.2,2409
41 - Lorraine,1402,s,s,43,1358,233,166.3,375,s,s,-30,s,67,178.3,251,25,25,s,s,81,324.5,9538,so,so,so,9538,276,28.9,37,so,so,so,37,1,28.2,64,s,18,3,61,11,166.3,9,1,1,0,9,8,840.9,11,1,1,0,11,5,488,21977,1899,1578,-321,22298,15,0.7,1129,so,so,so,1129,37,32.8,8601,so,so,so,8806,515,59.9,1249
42 - Alsace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,s,s,456.5,14387,so,so,so,14387,370,25.7,14,so,so,so,14,1,46.2,s,0,s,s,s,s,137.8,8,1,1,0,8,7,781.7,9,5,4,-1,10,5,517.1,10908,1892,1815,-76,10985,8,0.7,831,so,so,so,831,17,20.7,5732,so,so,so,5805,354,61.7,765
43 - Franche-Comté,142,4,s,s,132,s,172.3,0,0,0,0,0,0,0,10,s,s,s,s,4,429.7,2295,so,so,so,2295,70,30.5,14,so,so,so,14,1,54.6,s,s,s,s,s,s,117.9,13,1,1,0,13,10,771.4,7,1,1,0,7,4,524.9,8210,1156,1056,-100,8310,6,0.7,s,so,so,so,s,21,s,3314,so,so,so,s,208,62.8,349
52 - Pays de la Loire,0,0,0,0,0,0,0,s,s,0,0,2,s,229.4,s,0,s,s,13,s,455.2,4707,so,so,so,4707,142,30.1,34,so,so,so,34,1,40.5,83,s,6,2,81,8,99.9,38,2,1,0,38,14,358.2,35,4,3,0,35,18,511.6,25887,3853,3995,142,25745,18,0.7,957,so,so,so,957,25,26.4,5483,so,so,so,5505,387,70.5,619
53 - Bretagne,19,1,0,0,20,2,111.3,4,1,0,0,4,0,116.7,0,0,0,0,0,0,0,4186,so,so,so,4186,131,31.2,16,so,so,so,16,1,41.8,0,0,0,0,0,0,0,s,s,s,s,35,25,s,s,s,s,s,31,16,s,20372,3696,3491,-205,20577,14,0.7,508,so,so,so,508,14,27.3,4140,so,so,so,4166,291,70.2,493
54 - Poitou-Charentes,101,7,4,-3,104,12,117.8,0,0,0,0,0,0,0,3,0,s,s,3,s,s,2353,so,so,so,2353,68,28.8,19,so,so,so,19,1,31,82,4,3,0,82,11,133.5,15,1,1,0,15,11,748.3,49,4,3,-1,50,25,503.3,s,s,s,s,21145,15,s,s,so,so,so,s,s,24.5,2280,so,so,so,s,157,68.7,303
72 - Aquitaine,s,2,s,s,s,11,159.2,0,0,0,0,0,0,0,s,s,s,s,s,0,s,3660,so,so,so,3660,111,30.4,3,so,so,so,3,0,41.5,0,0,0,0,0,0,0,s,s,s,s,14,11,s,119,s,s,-7,126,56,474.1,13306,1718,1703,-16,13322,9,0.7,2575,so,so,so,2575,66,25.6,4912,so,so,so,5214,303,61.7,568
73 - Midi-Pyrénées,s,s,1,s,14,s,168.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817,so,so,so,2817,87,30.9,23,so,so,so,23,1,29.8,s,3,1,-2,s,s,158.7,14,1,1,0,14,10,738.8,15,s,s,0,15,8,529.9,11855,1626,1587,-39,11894,9,0.7,487,so,so,so,487,14,28.9,2684,so,so,so,2950,183,68.1,323
74 - Limousin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,s,467.1,934,so,so,so,934,30,32.2,4,so,so,so,4,0,41.4,0,0,0,0,0,0,0,3,0,0,0,3,3,814.1,s,s,s,s,5,3,s,3965,617,545,-72,4037,3,0.7,s,so,so,so,s,s,30.8,870,so,so,so,s,59,67.4,121
82 - Rhône-Alpes,234,19,46,27,207,42,178.9,s,0,s,s,s,s,492.1,18,2,2,s,s,7,403,17442,so,so,so,17442,493,28.3,106,so,so,so,106,4,34.4,165,51,38,-13,177,45,270.5,26,2,1,0,26,20,772.6,107,7,5,-2,109,51,474.6,s,s,s,s,34802,s,0.7,3129,so,so,so,3129,70,22.5,14765,so,so,so,14895,825,55.8,1581
83 - Auvergne,s,s,s,s,s,s,117.8,0,0,0,0,0,0,0,s,3,s,0,40,21,s,2837,so,so,so,2837,85,30.1,2,so,so,so,2,0,43,s,s,s,s,s,s,126.2,5,0,0,0,5,4,783.6,37,2,2,0,37,19,501.4,10456,1107,1022,-85,10541,7,0.7,135,so,so,so,135,4,32.3,2509,so,so,so,2519,173,68.9,317
91 - Languedoc-Roussillon,s,s,9,s,106,14,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063,so,so,so,2063,58,28.3,17,so,so,so,17,1,32.2,s,s,s,s,40,5,s,5,0,0,0,5,4,751,5,0,0,0,5,3,508.8,12103,952,1078,126,11977,8,0.7,s,so,so,so,s,8,s,1916,so,so,so,s,114,59.5,215
