"Tab3_taille : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Facture énergétique totale
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT - Total,7160,1543,1249,-294,7454,1289,180,711,s,s,-36,748,s,s,s,s,109,s,793,s,358.7,141303,so,so,so,141303,4045,28.6,1167,so,so,so,1167,43,37.1,1005,161,153,-7,1012,190,188.8,1453,28,17,-10,1463,977,672.4,1041,164,144,-20,1060,503,483.5,345533,44088,41259,-2829,348362,240,0.7,20345,so,so,so,20345,540,26.5,108433,so,so,so,111951,6635,61.2,14864
1 - 20 à 49 employés,s,5,s,s,s,8,143.8,s,s,s,s,s,s,99.6,1,0,0,0,1,1,503.3,11731,so,so,so,11731,372,31.7,s,so,so,so,s,s,27.6,s,s,s,s,48,s,206.7,85,6,6,0,85,50,597.2,80,22,3,-19,98,37,467.3,131311,9348,9368,20,131291,93,0.7,459,so,so,so,459,12,26.2,10255,so,so,so,10301,759,74,1352
2 - 50 à 99 employés,294,52,85,33,261,37,127.3,122,10,4,-7,129,13,106.5,105,18,16,-2,107,31,296.6,14863,so,so,so,14863,441,29.7,94,so,so,so,94,3,36.5,290,81,77,-4,294,35,120.1,48,3,3,0,48,38,786.2,131,29,21,-8,140,61,466.1,69323,7184,6952,-231,69555,48,0.7,2642,so,so,so,2642,76,28.8,13796,so,so,so,13917,916,66.4,1700
3 - 100 à 249 employés,643,41,55,13,629,94,146.4,129,s,s,1,128,18,139.4,s,13,14,s,97,38,s,45064,so,so,so,45064,1272,28.2,166,so,so,so,166,6,34.9,s,s,s,s,498,s,144.7,s,s,s,s,s,s,657.8,s,77,73,-4,s,143,s,72543,10782,9819,-963,73506,50,0.7,5548,so,so,so,5548,138,24.9,26385,so,so,so,27203,1681,63.7,3855
4 - 250 à 499 employés,s,s,s,s,516,60,s,94,s,s,s,94,17,179,118,13,19,6,111,36,305.4,36355,so,so,so,36355,1039,28.6,87,so,so,so,87,3,30.2,37,s,s,-1,38,16,445.5,593,s,s,-9,603,403,679.7,s,s,s,s,416,208,s,34311,7016,6804,-211,34523,24,0.7,5958,so,so,so,5958,144,24.1,26638,so,so,so,28227,1569,58.9,3518
5 - 500 à 999 employés,8,0,0,0,8,2,206.8,s,s,s,0,s,s,387.9,50,3,3,0,50,25,505.7,18409,so,so,so,18409,497,27,85,so,so,so,85,3,32.3,130,21,17,-4,134,56,432.2,s,0,0,0,s,s,691.7,s,5,6,0,s,s,475.3,11688,4208,3960,-249,11937,8,0.7,2417,so,so,so,2417,66,27.2,16110,so,so,so,16305,831,51.6,1660
6 - 1 000 à 1 999 employés,s,5,s,s,s,s,180.4,0,0,0,0,0,0,0,s,s,s,-6,s,s,346.9,4806,so,so,so,4806,135,28.2,s,so,so,so,s,s,42.5,0,0,0,0,0,0,0,s,s,s,s,3,3,s,46,3,2,-1,47,22,478.6,8092,1986,1921,-64,8156,6,0.8,2830,so,so,so,2830,91,32.1,6341,so,so,so,6515,387,61,749
7 - 2 000 employés ou plus,5508,1419,1064,-354,5862,1063,193.1,s,s,s,-31,s,s,179.7,s,s,s,s,s,s,372.9,10074,so,so,so,10074,289,28.7,0,so,so,so,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,682.5,s,s,s,s,3,s,384.6,18265,3564,2434,-1130,19395,12,0.6,491,so,so,so,491,13,26.6,8908,so,so,so,9483,493,55.3,2031
Note : Les coefficients de conversion en tep de certaines énergies ont été actualisés pour la publication 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France (hors Dom pour les IAA et scieries), établissements de 20 salariés ou plus appartenant à l'industrie (y compris IAA et scieries), hors industrie de l'énergie, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, SSP, Enquête annuelle sur les consommations d'énergie dans l'industrie 2011, y compris IAA et scieries (calculs Insee).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
