"tab3_taille - Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon la taille de l'entreprise",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,6923,1524,1224,-300,7223,1256,181.4,430,s,s,-31,461,s,s,s,s,98,s,764,s,361,109913,so,so,so,109913,3138,28.6,991,so,so,so,991,38,38.5,1005,161,153,-7,1012,190,188.8,1365,21,11,-10,1375,912,667.9,785,89,72,-16,802,371,472.1,295861,33610,31162,-2448,298310,206,0.7,18154,so,so,so,18154,488,26.9,90127,so,so,so,92429,5408,60
20 à 49 employés,s,3,s,s,s,2,210.8,s,s,s,s,s,s,120.3,1,0,0,0,1,1,503.3,10036,so,so,so,10036,318,31.7,s,so,so,so,s,s,27.2,s,s,s,s,48,s,206.7,62,3,3,0,62,33,542.5,49,21,2,-19,67,21,427.4,117076,7728,7776,48,117028,83,0.7,293,so,so,so,293,9,32.4,7879,so,so,so,7910,590,74.8
50 à 99 employés,234,45,79,34,200,28,120,65,2,1,-1,65,7,101.3,105,18,16,-2,107,31,296.6,12628,so,so,so,12628,372,29.4,46,so,so,so,46,2,43.6,290,81,77,-4,294,35,120.1,32,3,3,0,32,26,803,118,28,19,-9,127,55,461.5,58770,5808,5663,-145,58915,41,0.7,2022,so,so,so,2022,61,30.1,11474,so,so,so,11553,754,65.7
100 à 249 employés,537,33,41,9,528,80,149.4,2,s,s,0,2,1,451.7,s,3,4,s,69,30,s,33650,so,so,so,33650,936,27.8,111,so,so,so,111,4,37.3,s,s,s,s,498,s,144.7,s,s,s,s,s,s,652.3,s,11,9,-1,s,59,s,57595,6706,5957,-749,58344,40,0.7,4638,so,so,so,4638,117,25.3,19986,so,so,so,20230,1243,62.2
250 à 499 employés,s,s,s,s,492,57,s,49,s,s,s,49,10,205.3,117,13,19,6,111,36,305.2,25596,so,so,so,25596,731,28.6,44,so,so,so,44,1,33.5,37,s,s,-1,38,16,445.5,584,s,s,-9,593,396,678.7,s,s,s,s,384,192,s,26706,5020,4865,-155,26861,19,0.7,5585,so,so,so,5585,134,23.9,22463,so,so,so,23473,1298,57.8
500 à 999 employés,8,0,0,0,8,2,206.8,s,s,s,0,s,s,387.9,50,3,3,0,50,25,505.7,16777,so,so,so,16777,450,26.8,77,so,so,so,77,3,32.6,130,21,17,-4,134,56,432.2,s,0,0,0,s,s,690.7,s,5,6,0,s,s,470.3,9703,2998,2717,-280,9983,7,0.7,2295,so,so,so,2295,62,27.1,14526,so,so,so,14717,722,49.7
1 000 à 1 999 employés,s,5,s,s,s,s,180.4,0,0,0,0,0,0,0,s,s,s,-6,s,s,346.9,4569,so,so,so,4569,128,28,s,so,so,so,s,s,42.5,0,0,0,0,0,0,0,s,s,s,s,2,1,s,32,2,2,-1,32,15,475.6,8071,1833,1806,-27,8098,6,0.8,2830,so,so,so,2830,91,32.1,5797,so,so,so,5972,349,60.3
2 000 employés ou plus,5508,1419,1064,-354,5862,1063,193.1,s,s,s,-31,s,s,179.7,s,s,s,s,s,s,372.9,6657,so,so,so,6657,204,30.6,0,so,so,so,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,660.6,s,s,s,s,3,s,384.6,17941,3517,2379,-1138,19079,11,0.6,491,so,so,so,491,13,26.6,8002,so,so,so,8574,451,56.4
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie hors IAA et scieries, hors industrie de l'énergie, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, enquête annuelle sur les consommations d'énergie dans l'industrie 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
