"Tab3_NAF : Achats, stocks, consommation, valeur et prix moyens des produits énergétiques selon le secteur d'activité",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Houille (en milliers de tonnes),,,,,,,Lignite - charbon pauvre (en milliers de tonnes),,,,,,,Coke de houille (en milliers de tonnes),,,,,,,Gaz naturel de réseau (en GWh),,,,,,,Autres gaz de réseau (en GWh),,,,,,,Coke de pétrole (en milliers de tonnes),,,,,,,Butane propane (en milliers de tonnes),,,,,,,Fioul lourd (en milliers de tonnes),,,,,,,Fioul domestique (en milliers de litres),,,,,,,Vapeur (en milliers de tonnes),,,,,,,Electricité (en GWh),,,,,,,
INDICATEUR,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Stock au 01/01/2011,Stock au 31/12/2011,Variation de stock,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Facture énergétique totale
SECTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,7160,1543,1249,-294,7454,1289,180,711,s,s,-36,748,s,s,s,s,109,s,793,s,358.7,141303,so,so,so,141303,4045,28.6,1167,so,so,so,1167,43,37.1,1005,161,153,-7,1012,190,188.8,1453,28,17,-10,1463,977,672.4,1041,164,144,-20,1060,503,483.5,345533,44088,41259,-2829,348362,240,0.7,20345,so,so,so,20345,540,26.5,108433,so,so,so,111951,6635,61.2,14864
Total hors IAA et scieries,6923,1524,1224,-300,7223,1256,181.4,430,s,s,-31,461,s,s,s,s,98,s,764,s,361,109913,so,so,so,109913,3138,28.6,991,so,so,so,991,38,38.5,1005,161,153,-7,1012,190,188.8,1365,21,11,-10,1375,912,667.9,785,89,72,-16,802,371,472.1,295861,33610,31162,-2448,298310,206,0.7,18154,so,so,so,18154,488,26.9,90127,so,so,so,92429,5408,60,12365
07 - Extraction de minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,so,so,0,0,0,0,so,so,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,3327,4,s,0,so,so,so,0,0,0,1,so,so,so,3,0,157.1,4
08 - Autres industries extractives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,so,so,so,860,26,30.7,s,so,so,so,s,s,12.7,s,s,s,s,s,s,s,10,0,0,0,10,7,681.6,8,1,0,0,8,4,533.2,s,s,s,s,94981,66,s,s,so,so,so,s,s,18.9,939,so,so,so,948,70,74.5,176
10 - Industries alimentaires,237,19,25,5,231,33,137.6,281,26,21,-5,287,36,126.5,29,11,11,0,29,9,295.9,30287,so,so,so,30287,871,28.7,173,so,so,so,173,5,28.9,0,0,0,0,0,0,0,79,6,6,0,79,59,740.4,254,74,71,-3,257,132,518.6,40262,9200,9016,-184,40446,27,0.7,2132,so,so,so,2132,50,23.5,16431,so,so,so,17641,1094,66.6,2314
11 - Fabrication de boissons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,so,so,so,1087,36,33,4,so,so,so,4,0,35.8,0,0,0,0,0,0,0,8,0,0,0,8,6,759.2,2,1,1,0,2,1,480.5,4006,994,855,-139,4145,3,0.7,59,so,so,so,59,2,30.2,1508,so,so,so,1510,105,69.6,152
13 - Fabrication de textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746,so,so,so,1746,59,33.9,4,so,so,so,4,0,38,0,0,0,0,0,0,0,3,0,0,0,3,2,751.5,3,0,0,0,3,2,543.4,2367,538,393,-145,2511,2,0.7,18,so,so,so,18,1,28.6,1124,so,so,so,1127,81,72.4,147
14 - Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,so,so,so,153,6,38.1,0,so,so,so,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,829.7,0,0,0,0,0,0,714.3,2007,289,255,-34,2041,1,0.7,s,so,so,so,s,s,21.7,110,so,so,so,s,9,82.6,17
15 - Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,so,so,so,95,4,40.7,5,so,so,so,5,0,47.1,0,0,0,0,0,0,0,1,0,0,0,1,1,697.6,1,0,0,0,1,0,517.3,2748,451,223,-228,2976,2,0.7,s,so,so,so,s,s,27.9,119,so,so,so,119,10,82.7,18
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,so,so,so,772,23,29.9,0,so,so,so,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,809.7,s,s,0,s,2,1,s,13587,1090,996,-94,13680,9,0.7,0,so,so,so,0,0,0,1729,so,so,so,1736,125,72.1,161
17 - Industrie du papier et du carton,s,s,s,s,39,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9965,so,so,so,9965,275,27.6,0,so,so,so,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,7,781.1,60,8,6,-2,62,30,503.4,6949,1414,1410,-4,6953,5,0.7,5107,so,so,so,5107,120,23.5,8876,so,so,so,9736,500,56.4,942
18 - Imprimerie et reproduction d'enregistrements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,so,so,so,917,29,32.1,s,so,so,so,s,s,45.8,s,s,s,s,s,s,s,2,0,0,0,2,2,851.8,0,0,0,0,0,0,691.3,3873,858,776,-82,3955,3,0.7,s,so,so,so,s,1,32.1,1313,so,so,so,1317,96,72.9,131
20 - Industrie chimique,s,s,s,s,435,60,s,s,s,s,s,s,s,207.8,s,s,s,s,s,s,336.2,44114,so,so,so,44114,1156,26.2,s,so,so,so,s,s,41.8,s,s,0,0,s,s,452.3,1221,12,2,-10,1231,797,652.9,356,33,23,-10,366,163,458.7,17891,2828,2703,-125,18017,12,0.7,9810,so,so,so,9810,281,28.7,17332,so,so,so,17972,961,55.4,3473
21 - Industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,so,so,so,2290,72,31.4,s,so,so,so,s,s,66.7,s,s,s,s,s,s,s,1,0,0,0,1,1,957.4,s,s,1,s,1,1,s,1773,1421,1339,-82,1855,1,0.7,s,so,so,so,s,s,40.6,2143,so,so,so,2147,144,67.2,229
22 - Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,so,so,so,2758,88,31.9,36,so,so,so,36,2,47.3,0,0,0,0,0,0,0,15,1,1,0,15,12,814.8,15,2,2,0,15,8,524.8,10344,2566,2360,-206,10551,7,0.7,1184,so,so,so,1184,36,30.1,7053,so,so,so,7062,490,69.5,643
23 - Fabrication d'autres produits minéraux non métalliques,599,s,s,s,s,68,113.4,66,2,2,-1,67,7,104.8,s,s,12,s,105,s,347.5,17987,so,so,so,17987,490,27.2,s,so,so,so,s,s,67.4,775,125,123,-3,778,92,118.9,19,1,1,0,19,15,787.6,s,s,34,s,306,s,471.2,40674,3615,3257,-358,41032,28,0.7,281,so,so,so,281,3,12.2,8112,so,so,so,8176,507,62.5,1399
24 - Métallurgie,5843,1437,1097,-339,6182,1123,192.2,s,s,s,s,s,s,181,s,s,77,s,596,s,361.8,13500,so,so,so,13500,401,29.7,79,so,so,so,79,3,32,181,28,s,s,s,66,362.6,18,1,1,0,18,14,760.2,11,24,4,-19,30,6,531.3,30908,2618,2125,-494,31401,20,0.7,669,so,so,so,669,14,20.4,21469,so,so,so,22075,971,45.2,2896
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,s,0,s,s,285.9,s,s,s,0,s,s,387.9,s,s,s,0,s,s,454,4389,so,so,so,4389,149,34.1,111,so,so,so,111,4,38.9,11,0,0,0,11,4,402.6,s,s,s,s,s,s,s,s,s,0,s,2,s,598.6,15123,2782,2588,-193,15316,11,0.7,28,so,so,so,28,1,38.6,5245,so,so,so,5251,398,75.9,598
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,so,so,so,566,21,37.4,4,so,so,so,4,0,34.9,0,0,0,0,0,0,0,s,s,s,s,s,s,s,0,0,0,0,0,0,0,2015,1281,1096,-185,2200,1,0.7,s,so,so,so,s,s,30.8,2363,so,so,so,2363,154,65.3,178
27 - Fabrication d'équipements électriques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,-1,27,9,345.5,1409,so,so,so,1409,48,33.9,52,so,so,so,52,0,3,36,7,7,0,36,27,746,5,0,0,0,5,4,798.5,2,0,0,0,2,1,530.4,6777,1325,1128,-197,6974,5,0.7,s,so,so,so,s,s,36.6,2109,so,so,so,2113,149,70.7,243
