tab4_region - Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,1157,0,62,87,1307,1129,3267,60,15,4471,167,20,0,0,187,246,s,0,s,509,5547,1372,333,1211,8463,60,0,s,15,76,685,76,0,10,771,131,s,s,63,1506,622,s,s,42,763,131,5,13,104,252,1125,s,13,s,1326,533,42,293,2,870,463,0,107,67,637,229,s,s,1,236,350,s,s,4,390
Ile-de-France,s,0,s,6,24,s,s,0,s,43,0,0,0,0,0,0,0,0,0,0,328,s,s,82,524,2,0,0,4,7,s,s,0,0,6,4,0,0,2,6,s,0,0,s,11,4,0,0,7,11,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,0,s,0,0
Champagne-Ardenne,s,0,0,0,s,s,0,0,0,s,0,0,0,0,0,8,s,0,s,16,200,s,s,43,245,0,0,0,0,1,s,0,0,s,s,6,s,s,4,11,22,0,0,9,31,5,s,s,4,9,s,s,0,s,s,0,0,0,0,0,s,0,0,3,s,0,s,0,0,s,s,s,0,s,s
Picardie,s,0,0,6,s,s,s,0,0,2,0,s,0,0,s,s,s,0,0,s,256,s,s,55,324,s,0,s,1,2,0,0,0,0,0,6,s,s,4,19,s,0,s,1,35,4,0,0,5,9,s,s,0,s,14,0,0,0,0,0,s,0,0,0,s,s,0,0,0,s,0,s,0,0,s
Haute-Normandie,s,0,s,10,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,400,18,77,942,s,0,s,0,s,s,0,0,0,s,4,s,0,2,s,94,0,0,13,106,6,0,1,4,10,s,s,0,0,390,0,0,0,0,0,51,0,s,s,112,s,0,s,0,s,16,0,s,s,17
Centre,s,0,0,s,s,38,0,s,s,39,0,0,0,0,0,0,2,0,0,2,194,s,s,64,271,0,0,0,0,0,36,0,0,0,36,6,s,s,5,10,4,0,0,1,5,4,s,s,5,10,s,0,0,0,s,0,0,0,0,0,21,0,0,6,27,6,0,0,0,6,s,0,0,0,s
