ID,NAF,Houille,Lignite - charbon pauvre,Coke de houille,Gaz naturel de réseau,Autres gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Achats d'électricité,Autoconsommation d'électricité,Total brut,Ventes de vapeur,Consommation pour production d'électricité,Total net
_T,Total,4614,303,529,10880,90,771,1602,1010,294,20093,1330,870,695,236,390,3521,23614,1465,9325,302,34707,314,1178,33215
_T_HIAA,Total hors IAA et scieries,4471,187,509,8463,76,771,1506,763,252,16999,1326,870,637,236,390,3459,20458,1307,7751,198,29714,270,917,28527
07,Extraction de minerais métalliques,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,2,1
08,Autres industries extractives,0,0,0,66,s,s,11,8,80,167,11,0,11,s,s,s,s,s,81,1,289,0,0,289
10,Industries alimentaires,143,116,19,2332,13,0,87,245,34,2989,4,0,42,0,0,46,3035,153,1413,104,4705,44,260,4401
11,Fabrication de boissons,0,0,0,84,0,0,9,2,4,98,0,0,0,0,0,0,98,4,130,0,232,0,0,232
13,Fabrication de textiles,0,0,0,134,0,0,3,3,2,143,0,0,0,0,0,0,143,1,97,0,241,0,2,239
14,Industrie de l'habillement,0,0,0,12,0,0,1,0,2,14,0,0,0,0,0,0,14,s,9,s,s,0,s,24
15,Industrie du cuir et de la chaussure,0,0,0,7,0,0,1,1,3,12,0,0,s,0,0,s,s,s,10,0,24,0,0,24
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,59,0,0,4,2,12,77,0,s,221,s,0,223,300,0,149,1,449,s,s,442
17,Industrie du papier et du carton,24,0,0,767,0,0,9,59,6,866,s,850,293,112,s,1258,2124,368,763,74,3329,11,488,2831
18,Imprimerie et reproduction d'enregistrements,0,0,0,71,s,s,3,0,3,77,0,0,0,0,1,1,78,s,113,0,193,0,5,188
20,Industrie chimique,269,s,s,3397,s,s,1348,348,15,5454,1094,s,s,30,37,1192,6646,706,1491,55,8897,256,362,8280
21,Industrie pharmaceutique,0,0,0,176,s,s,1,1,2,180,0,0,0,0,s,s,s,s,184,0,386,s,s,382
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,212,3,0,16,14,9,255,0,0,18,s,s,18,273,85,607,1,966,0,8,958
23,Fabrication d'autres produits minéraux non métalliques,s,27,70,1385,s,593,21,291,35,2771,218,0,35,89,339,680,3451,20,698,6,4174,0,14,4161
24,Métallurgie,3827,s,397,1040,6,s,20,29,27,5629,0,0,40,s,s,41,5670,48,1846,52,7616,s,s,7614
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,s,338,9,8,31,2,13,410,0,0,1,0,1,1,411,2,451,0,865,0,1,864
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,44,0,0,0,0,2,46,s,0,0,0,s,s,s,s,203,0,251,0,0,250
27,Fabrication d'équipements électriques,0,0,18,108,4,27,5,2,6,171,s,0,s,0,s,s,s,s,181,0,357,0,1,357
28,Fabrication de machines et équipements n.c.a.,0,0,0,146,1,0,11,0,10,168,0,0,0,0,0,1,169,1,192,0,363,0,0,363
29,Industrie automobile,0,0,6,293,2,0,8,1,4,314,0,0,s,0,0,s,s,s,405,s,755,s,s,743
30,Fabrication d'autres matériels de transport,0,0,0,124,1,s,3,s,3,131,s,0,s,s,0,1,132,6,150,6,293,0,13,280
31,Fabrication de meubles,0,0,0,28,0,s,5,s,4,37,0,0,19,0,0,19,56,0,46,0,102,0,0,102
32,Autres industries manufacturières,0,0,0,27,0,0,1,0,1,29,0,0,0,0,0,0,29,s,54,0,83,0,0,83
33,Réparation et installation de machines et d'équipements,0,0,0,19,1,0,1,1,3,26,s,0,0,0,0,s,s,2,28,s,s,s,0,55
38,Récupération,0,0,0,10,0,0,1,1,13,26,1,0,0,0,0,1,27,0,25,s,52,0,0,52
