ENERGIES,Vapeur,,,,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz naturel de réseau,,,,,Autres gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,
INDICATEUR,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs...)",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Total,1157,0,62,87,1307,1129,3267,60,15,4471,167,20,0,0,187,246,s,0,s,509,5547,1372,333,1211,8463,60,0,s,15,76,685,76,0,10,771,131,s,s,63,1506,622,s,s,42,763,131,5,13,104,252,1125,s,13,s,1326,533,42,293,2,870,463,0,107,67,637,229,s,s,1,236,350,s,s,4,390
07 - Extraction de minerais métalliques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08 - Autres industries extractives,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,1,66,s,0,0,0,s,0,0,0,s,s,11,0,0,0,11,7,s,0,s,8,58,3,0,18,80,s,7,0,s,11,0,0,0,0,0,11,0,0,0,11,s,0,0,0,s,s,0,0,0,s
13 - Fabrication de textiles,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,s,s,38,134,0,0,0,0,0,0,0,0,0,0,2,s,s,1,3,2,s,s,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Industrie de l'habillement,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,s,s,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Industrie du cuir et de la chaussure,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,s,0,s,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,s,s,4,58,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,s,0,0,s,2,3,0,1,3,7,0,0,0,0,0,0,0,0,s,s,180,0,0,24,205,0,0,0,0,s,0,0,0,0,0
17 - Industrie du papier et du carton,342,0,13,13,368,20,s,s,1,24,0,0,0,0,0,0,0,0,0,0,661,s,s,53,767,0,0,0,0,0,0,0,0,0,0,5,s,s,4,9,43,0,13,3,59,3,s,0,s,6,s,s,0,s,s,533,s,293,s,850,184,0,107,2,293,105,0,s,s,112,s,0,s,0,s
18 - Imprimerie et reproduction d'enregistrements,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,s,s,22,71,0,0,0,s,s,0,0,0,0,s,2,0,0,1,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20 - Industrie chimique,654,0,32,20,706,211,s,53,s,269,0,s,0,0,s,0,s,0,0,s,1671,1295,248,183,3397,s,0,s,2,s,s,0,0,0,s,34,s,s,3,1348,253,s,0,s,348,8,0,2,6,15,941,s,13,s,1094,0,s,0,0,s,14,0,s,s,s,30,0,0,0,30,9,24,0,3,37
