ID,NAF,Production d'origine thermique,Production d'origine non thermique,Ventes,Autoconsommation (1),Achats (2),Consommation (1 + 2)
_T,Total,5715,483,2681,3517,108433,111951
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",2,0,0,2,1,3
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",11,s,s,9,939,948
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1935,15,740,1210,16431,17641
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2,0,0,2,1508,1510
13,Fabrication de textiles,6,2,s,3,1124,1127
14,Industrie de l'habillement,s,2,0,s,110,s
15,Industrie du cuir et de la chaussure,0,s,0,0,119,119
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",s,0,s,7,1729,1736
17,Industrie du papier et du carton,1286,s,497,860,8876,9736
18,Imprimerie et reproduction d'enregistrements,24,0,s,4,1313,1317
20,Industrie chimique,1701,21,1081,640,17332,17972
21,Industrie pharmaceutique,4,s,0,3,2143,2147
22,Fabrication de produits en caoutchouc et en plastique,66,0,57,9,7053,7062
23,Fabrication d'autres produits minéraux non métalliques,66,10,s,64,8112,8176
24,Métallurgie,s,320,148,606,21469,22075
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",4,2,0,6,5245,5251
26,"Fabrication de produits informatiques, électroniques et optiques",2,s,1,1,2363,2363
27,Fabrication d'équipements électriques,3,0,0,3,2109,2113
28,Fabrication de machines et équipements n.c.a.,3,s,s,3,2238,2241
29,Industrie automobile,39,s,22,s,4711,s
30,Fabrication d'autres matériels de transport,64,s,s,65,1743,1808
31,Fabrication de meubles,0,0,0,0,534,534
32,Autres industries manufacturières,0,s,s,0,622,623
33,Réparation et installation de machines et d'équipements,s,0,1,s,320,s
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0,s,289,s
