naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,147,0,0,0,0.0,1750.0,1750.0,59.0,71.9,,,,,0,0,0,0,3,3,2,751.5,3,3,2,543.4,2367,2511,2,0.7,,,,,,,,,36,1,28.6,,,,,,,,1124,1127,,81,72.4
14,Industrie de l'habillement,17,0,0,0,0.0,153.0,153.0,6.0,38.1,,,,,0,0,0,0,1,1,0,829.7,0,0,0,714.3,2007,2041,1,0.7,,,,,,,,,,,21.7,,,,,,,,110,,,9,82.6
15,Industrie du cuir et de la chaussure,18,0,0,0,0.0,100.0,100.0,4.0,87.80000000000001,,,,,0,0,0,0,1,1,1,697.6,1,1,0,517.3,2748,2976,2,0.7,,,,,,,,,,,27.9,,,,,,,,119,119,,10,82.7
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",161,0,0,0,0.0,772.0,772.0,23.0,29.9,,,,,0,0,0,0,4,4,3,809.7,,2,1,,13587,13680,9,0.7,,,,,,,,,0,0,0.0,,,,,,,,1729,1736,,125,72.1
17,Industrie du papier et du carton,942,0.0,39,0.0,0.0,9965.0,9965.0,275.0,27.6,,,,,0,0,0,0,8,8,7,781.1,60,62,30,503.4,6949,6953,5,0.7,,,,,,,,,10214,120,23.5,,,,,,,,8876,9736,,500,56.4
18,Imprimerie et reproduction d'enregistrements,131,0,0,0,0.0,917.0,917.0,29.0,77.9,,,,,,,,,2,2,2,851.8,0,0,0,691.3,3873,3955,3,0.7,,,,,,,,,,1,32.1,,,,,,,,1313,1317,,96,72.9
20,Industrie chimique,3473,,435.0,60.0,544.0,44114.0,44114.0,1156.0,68.0,,,,,,,,452.3,1221,1231,797,652.9,356,366,163,458.7,17891,18017,12,0.7,,,,,,,,,19620,281,28.7,,,,,,,,17332,17972,,961,55.4
21,Industrie pharmaceutique,229,0,0,0,0.0,2290.0,2290.0,72.0,98.1,,,,,,,,,1,1,1,957.4,,1,1,,1773,1855,1,0.7,,,,,,,,,,,40.6,,,,,,,,2143,2147,,144,67.2
22,Fabrication de produits en caoutchouc et en plastique,643,0,0,0,0.0,2794.0,2794.0,90.0,79.19999999999999,,,,,0,0,0,0,15,15,12,814.8,15,15,8,524.8,10344,10551,7,0.7,,,,,,,,,2368,36,30.1,,,,,,,,7053,7062,,490,69.5
23,Fabrication d'autres produits minéraux non métalliques,1399,665.0,172.0,75.0,565.7,17987.0,17987.0,490.0,94.60000000000001,,,,,775,778,92,118.9,19,19,15,787.6,,306,,471.2,40674,41032,28,0.7,,,,,,,,,562,3,12.2,,,,,,,,8112,8176,,507,62.5
24,Métallurgie,2896,5843.0,6778.0,1123.0,735.0,13579.0,13579.0,404.0,61.7,,,,,181,,66,362.6,18,18,14,760.2,11,30,6,531.3,30908,31401,20,0.7,,,,,,,,,1338,14,20.4,,,,,,,,21469,22075,,971,45.2
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",598,,,,1127.8,4500.0,4500.0,153.0,73.0,,,,,11,11,4,402.6,,,,,,2,,598.6,15123,15316,11,0.7,,,,,,,,,56,1,38.6,,,,,,,,5245,5251,,398,75.9
26,"Fabrication de produits informatiques, électroniques et optiques",178,0,0,0,0.0,570.0,570.0,21.0,72.3,,,,,0,0,0,0,,,,,0,0,0,0,2015,2200,1,0.7,,,,,,,,,,,30.8,,,,,,,,2363,2363,,154,65.3
27,Fabrication d'équipements électriques,243,27,27,9,345.5,1461.0,1461.0,48.0,36.9,,,,,36,36,27,746,5,5,4,798.5,2,2,1,530.4,6777,6974,5,0.7,,,,,,,,,,,36.6,,,,,,,,2109,2113,,149,70.7
28,Fabrication de machines et équipements n.c.a.,267,0,0,0,0.0,1905.0,1905.0,73.0,84.6,,,,,0,0,0,0,10,10,9,833.2,,0,0,441.4,11729,11939,9,0.8,,,,,,,,,22,1,55.8,,,,,,,,2238,2241,,176,78.8
29,Industrie automobile,469,0.0,9,0.0,446.4,3831.0,3831.0,120.0,77.5,,,,,0,0,0,0,7,7,6,800.6,,1,,725.8,4953,5112,3,0.7,,,,,,,,,,,26.5,,,,,,,,4711,,,322,68.4
30,Fabrication d'autres matériels de transport,194,0,0,0,0.0,1617.0,1617.0,57.0,81.30000000000001,,,,,,,,,3,3,2,842.4,,,,560.6,3275,3988,2,0.7,,,,,,,,,154,3,34.5,,,,,,,,1743,1808,,129,73.8
31,Fabrication de meubles,66,0,0,0,0.0,368.0,368.0,15.0,40.5,,,,,,,,,,5,4,,,,,733.3,4571,4635,3,0.7,,,,,,,,,0,0,0.0,,,,,,,,534,534,,44,82.4
32,Autres industries manufacturières,63,0,0,0,500.0,352.0,352.0,13.0,70.7,,,,,0,0,0,0,,1,,,0,0,0,0,1316,1235,1,0.7,,,,,,,,,,,56.4,,,,,,,,622,623,,47,75.1
33,Réparation et installation de machines et d'équipements,45,0,0,0,0.0,264.0,264.0,11.0,78.5,,,,,0,0,0,0,1,1,1,886.4,1,1,1,572.7,4677,3980,3,0.7,,,,,,,,,46,1,41.1,,,,,,,,320,,,28,87.8
38,"Collecte, traitement et élimination des déchets ; récupération",42,0,0,0,0.0,135.0,135.0,5.0,87.0,,,,,0,0,0,0,1,1,1,788.2,1,1,1,717.7,15070,15112,11,0.7,,,,,,,,,0,0,0.0,,,,,,,,289,,,25,85.4
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",180,0,0,0,0.0,860.0,860.0,26.0,43.4,,,,,0.0,0.0,0.0,0.0,10,10,7,681.6,8,8,4,533.2,,98308,70,,,,,,,,,,0.0,0.0,18.9,,,,,,,,940,951,,70,231.6
