naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,95.0,0.0,0.0,38.0,,,0,0,0,2,,,,,,,,,,,,,
14,Industrie de l'habillement,7.0,0.0,0.0,4.0,,,0,,,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,3.0,0.0,0.0,4.0,,,2,0,0,1,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",49.0,0.0,0.0,4.0,,,3,0,1,3,,,,,,,,,,,,,
17,Industrie du papier et du carton,661.0,0.0,0.0,53.0,,,3,,0,,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,45.0,0.0,0.0,22.0,,,0,0,1,2,,,,,,,,,,,,,
20,Industrie chimique,1671.0,1295.0,248.0,185.0,,,8,0,2,6,,,,,,,,,,,,,
21,Industrie pharmaceutique,109.0,1.0,0.0,66.0,,,0,0,1,1,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,140.0,0.0,0.0,72.0,,,1,0,1,6,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1304.0,0.0,0.0,70.0,,,18,0,1,16,,,,,,,,,,,,,
24,Métallurgie,867.0,0.0,0.0,116.0,,,19,,,7,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",222.0,1.0,0.0,123.0,,,2,0,1,10,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",8.0,0.0,0.0,36.0,,,0,,0,,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,51.0,0.0,0.0,62.0,,,2,0,1,3,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,54.0,0.0,0.0,92.0,,,4,0,0,5,,,,,,,,,,,,,
29,Industrie automobile,140.0,0.0,0.0,147.0,,,1,,0,,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,26.0,0.0,0.0,79.0,,,1,,1,,,,,,,,,,,,,,
31,Fabrication de meubles,17.0,0.0,0.0,11.0,,,1,0,0,3,,,,,,,,,,,,,
32,Autres industries manufacturières,10.0,0.0,0.0,17.0,,,0,,0,,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,3.0,0.0,0.0,17.0,,,1,,0,,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",8.0,0.0,0.0,2.0,,,8,0,0,5,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",65.0,0.0,0.0,1.0,,,58,3,2,19,,,,,,,,,,,,,
_T,Total,5607.0,1372.0,333.0,1226.0,,,131,5,13,104,,,,,,,,,,,,,
