"naf_T2 - Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,,,Houille (en milliers de tonnes),,,,Lignite - charbon pauvre (en milliers de tonnes),,,,Coke de houille (en milliers de tonnes),,,,Gaz  de réseau (en GWh),,,,Coke de pétrole (en milliers de tonnes),,,,Butane propane (en milliers de tonnes),,,,Fioul lourd (en milliers de tonnes),,,,Fioul domestique (gazole non routier) (en milliers de litres),,,,Bois (en milliers de tonnes),,,,Vapeur (en milliers de tonnes),,,,Electricité (en GWh),,,
INDICATEUR,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
SECTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,18740,15300,8191,7841,1404,171.4,466,482,55,118.2,550,564,177,322.2,139204,139204,4316,31,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,1667,2855,61,36.7,21420,21420,620,29,105792,109621,6610,62.5
07 - Extraction de minerais métalliques,4,1,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,1457,1469,1,0.8,0,0,0,-,0,0,0,-,s,2,s,s
08 - Autres industries extractives,224,172,0,0,0,-,0,0,0,-,0,0,0,-,723,723,23,31.5,0,0,0,-,9,9,7,749.8,7,7,4,629.3,87205,87341,68,0.8,24,51,0,0,s,s,s,s,868,876,68,78.2
10 - Industries alimentaires,2581,2451,s,s,s,s,338,335,36,107.5,s,s,s,s,28561,28561,909,31.8,0,0,0,-,61,61,50,818.9,238,240,139,584.6,s,s,s,s,264,265,14,51.5,3398,3398,75,22.2,16628,18013,1145,68.8
11 - Fabrication de boissons,288,163,0,0,0,-,0,0,0,-,0,0,0,-,1141,1141,43,37.5,0,0,0,-,8,8,5,620.1,3,5,2,536.7,4426,4519,4,0.8,s,s,s,s,301,301,6,21.3,1330,1332,103,77.2
12 - Fabrication de produits à base de tabac,6,5,0,0,0,-,0,0,0,-,0,0,0,-,59,59,2,31,0,0,0,-,s,s,s,s,0,0,0,-,s,s,s,s,0,0,0,-,0,0,0,-,s,43,s,s
