"nce_T2 - Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,,,Houille (en milliers de tonnes),,,,Lignite - charbon pauvre (en milliers de tonnes),,,,Coke de houille (en milliers de tonnes),,,,Gaz  de réseau (en GWh),,,,Coke de pétrole (en milliers de tonnes),,,,Butane propane (en milliers de tonnes),,,,Fioul lourd (en milliers de tonnes),,,,Fioul domestique (gazole non routier) (en milliers de litres),,,,Bois (en milliers de tonnes),,,,Vapeur (en milliers de tonnes),,,,Electricité (en GWh),,,
INDICATEUR,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
NCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,18740,15300,8191,7841,1404,171.4,466,482,55,118.2,550,564,177,322.2,139204,139204,4316,31,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,1667,2855,61,36.7,21420,21420,620,29,105792,109621,6610,62.5
E12 - Industrie laitière,361,484,0,0,0,-,0,0,0,-,0,0,0,-,5312,5312,170,32.1,0,0,0,-,16,16,13,803.3,79,79,47,594.5,8225,8237,6,0.8,25,25,1,29.9,324,324,8,25.6,3409,3727,238,69.8
E13 - Sucreries,38,368,145,145,19,128.2,151,149,19,128.5,28,27,7,269.1,7210,7210,216,29.9,0,0,0,-,0,0,0,1068.1,99,97,57,575.8,6264,6239,4,0.7,s,s,s,s,953,953,13,13.9,399,1109,32,80.4
"E14 - Industries alimentaires, hors industrie du lait et du sucre",2476,1768,191,199,23,122.4,187,186,17,90.5,0,0,0,-,17240,17240,568,32.9,0,0,0,-,53,53,42,791.7,63,69,37,583.6,33332,33484,27,0.8,255,256,14,54,2422,2422,60,24.8,14192,14553,981,69.1
E16 - Sidérurgie,55,2091,s,s,s,s,s,s,s,s,232,240,74,319.3,6991,6991,213,30.5,21,21,5,230.9,4,4,4,848.7,s,s,s,s,19802,19448,14,0.7,s,s,s,s,238,238,5,22.8,10994,11846,522,47.5
E18 - Métallurgie de première transformation des métaux non ferreux,82,415,s,s,s,s,s,s,s,s,0,0,0,-,3492,3492,98,28,158,160,52,331.2,4,4,3,817.9,s,s,s,s,5601,5586,4,0.8,0,0,0,-,170,170,3,15.3,7151,7152,252,35.2
