nce_T3 - Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la nomenclature des activités consommatrices d'énergie,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz  de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
INDICATEUR,Nombre d'établissements du champ,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
NCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,18740,1357,3416,71,9,4854,181,3,12,0,195,206,169,s,s,376,8136,898,435,1250,10719,654,60,0,4,718,155,1460,1,74,1690,756,s,39,s,821,116,7,25,129,276,1108,s,s,0,1296,538,36,276,2,852,606,0,78,49,734,294,0,s,s,303,335,28,s,s,367,1392,0,47,102,1542
E12 - Industrie laitière,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,s,s,s,409,0,0,0,0,0,15,0,0,2,17,74,0,0,1,75,2,0,3,1,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,s,0,0,s,0,0,0,0,0,0,22,0,0,1,23
E13 - Sucreries,38,s,0,s,0,90,49,0,12,0,61,16,s,s,0,18,440,0,88,27,555,0,0,0,0,0,0,0,0,0,0,67,0,s,s,92,s,0,s,3,5,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,0,0,0,s,0,0,0,0,0,69,0,0,0,69
"E14 - Industries alimentaires, hors industrie du lait et du sucre",2476,s,0,0,s,123,75,0,0,0,75,0,0,0,0,0,1168,0,s,s,1327,0,0,0,0,0,47,s,s,10,58,55,0,2,8,65,12,0,8,9,28,1,0,0,0,2,0,0,0,0,0,66,0,0,0,66,58,0,0,0,58,0,0,0,1,1,163,0,s,s,174
E16 - Sidérurgie,55,s,s,0,s,s,s,s,0,0,s,s,s,0,0,160,496,s,s,s,538,3,13,0,0,16,4,0,0,1,5,s,0,0,0,s,13,s,s,s,16,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,s,0,0,0,s,0,0,0,0,0,s,0,0,s,17
E18 - Métallurgie de première transformation des métaux non ferreux,82,s,0,0,0,s,s,0,0,0,s,0,0,0,0,0,253,0,0,15,269,s,s,0,s,122,3,0,0,1,4,s,0,0,0,s,3,0,0,2,5,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
E19 - Production de minéraux divers,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,1,s,0,0,0,0,0,3,0,0,0,3,s,0,0,0,s,8,s,s,4,s,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",71,239,0,0,0,239,31,0,0,0,31,0,0,0,0,0,251,s,0,s,254,555,0,0,0,555,s,s,0,1,2,29,0,0,0,29,5,0,0,10,15,s,0,s,0,154,0,0,0,0,0,15,0,0,0,15,88,0,0,0,88,309,0,0,0,309,5,0,0,0,5
E21 - Production d'autres matériaux de construction et de céramique,771,s,0,0,0,s,s,s,0,0,1,s,0,0,0,s,407,s,s,25,443,0,s,0,s,3,13,1,0,4,18,10,s,0,0,s,47,5,1,24,77,s,11,0,s,s,0,0,0,0,0,s,0,0,s,48,s,s,0,0,s,s,s,0,0,12,s,0,s,s,s
E22 - Industrie du verre,211,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,666,0,s,s,713,0,0,0,0,0,s,0,0,2,s,181,0,0,0,181,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,1
E23 - Fabrication d'engrais,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,518,s,s,s,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,1,s,s,1,2,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E24 - Autres industries de la chimie minérale,84,149,0,s,s,200,s,0,0,0,s,s,0,0,0,s,383,255,106,3,747,0,0,0,0,0,s,0,0,s,0,7,0,0,0,7,1,0,0,0,1,s,s,0,0,s,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,s,s,0,0,s,s,0,s,1,179
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",93,s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,201,s,s,18,226,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,s,s,s,s,1,s,0,0,s,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,51,0,0,5,56
E26 - Autres industries de la chimie organique de base,314,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,1197,96,91,43,1427,s,0,0,0,s,4,1442,0,1,1447,205,0,s,s,208,3,s,s,2,s,734,s,s,0,742,0,s,0,0,s,12,0,s,s,s,23,0,0,0,23,s,18,0,s,34,476,0,12,16,505
E28 - Parachimie et industrie pharmaceutique,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,s,s,78,204,0,0,0,0,0,2,13,0,2,17,s,0,s,0,s,1,0,1,3,5,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,12,0,0,4,17
E29 - Fonderie et travail des métaux,3412,s,s,0,0,11,s,s,0,0,s,91,s,0,s,104,419,9,0,163,591,s,s,0,0,s,22,s,s,15,38,0,0,0,1,2,3,0,2,12,16,0,0,0,0,0,0,0,0,0,0,s,0,0,s,1,0,0,0,0,0,s,0,0,s,1,1,0,0,1,2
E30 - Construction mécanique,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,118,167,0,0,0,0,0,5,s,0,s,10,s,0,0,s,2,1,0,0,11,13,0,s,0,0,s,0,0,0,0,0,0,0,0,1,1,0,s,0,0,s,0,0,0,0,0,1,0,0,1,2
E31 - Construction électrique et électronique,1364,0,0,0,0,0,0,0,0,0,0,s,s,0,0,14,s,s,s,103,158,0,s,0,s,s,s,0,0,4,s,1,0,0,1,2,0,0,1,5,7,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,s,s,0,0,s,0,0,0,1,1
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,644,0,0,0,0,0,0,0,0,0,0,s,s,0,0,6,169,1,3,159,332,0,0,0,0,0,4,0,0,5,10,0,0,0,1,1,3,s,s,4,8,s,0,0,0,s,0,0,0,0,0,s,0,0,s,1,0,0,0,0,0,s,0,0,0,s,s,0,s,22,30
"E33 - Construction navale et aéronautique, armement",328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,85,124,0,0,0,0,0,s,2,0,2,s,s,0,0,s,0,1,s,s,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,s,s,0,0,0,0,0,s,0,0,8,s
"E34 - Industrie textile, du cuir et de l'habillement",881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,s,s,33,128,0,0,0,0,0,6,0,0,1,8,3,0,0,1,4,1,0,s,4,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s
E35 - Industrie du papier et du carton,526,s,0,s,s,26,0,0,0,0,0,0,0,0,0,0,696,1,40,40,777,0,0,0,0,0,4,0,0,5,8,42,0,s,s,57,1,0,0,4,5,s,s,0,s,s,538,s,276,s,s,188,0,s,s,253,104,s,s,s,112,s,s,s,0,8,317,0,17,13,346
E36 - Fabrication de produits en caoutchouc,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,s,s,24,84,0,0,0,0,0,0,0,0,1,2,s,0,0,s,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,s,0,s,s,18,0,0,0,0,0,0,0,0,0,0,48,0,0,12,60
E37 - Fabrication de produits en plastique,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,45,126,0,0,0,0,0,4,1,0,6,10,15,s,0,s,18,1,0,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,s,0,s,s,s,s,0,0,s,17,0,0,1,18
