ENERGIES,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Houille (en milliers de tonnes),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Lignite - charbon pauvre (en milliers de tonnes),Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Coke de houille (en milliers de tonnes),Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Gaz  de réseau (en GWh),Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Coke de pétrole (en milliers de tonnes),Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Butane propane (en milliers de tonnes),Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Fioul lourd (en milliers de tonnes),Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Fioul domestique (gazole non routier) (en milliers de litres),Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Bois (en milliers de tonnes),Unnamed: 37_level_0,Unnamed: 38_level_0,Unnamed: 39_level_0,Vapeur (en milliers de tonnes),Unnamed: 41_level_0,Unnamed: 42_level_0,Unnamed: 43_level_0,Electricité (en GWh),Unnamed: 45_level_0,Unnamed: 46_level_0,Unnamed: 47_level_0
ID,NAF,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
13,Fabrication de textiles,425.0,130.0,0,0,0,-,0,0,0,-,0,0,0,-,1334.0,1334.0,49.0,36.8,0,0,0,-,2,2,2,841.4,s,s,s,s,2687,2700,2,0.8,0,0,0,-,s,s,s,s,1012,1012.0,75,73.9
14,Industrie de l'habillement,254.0,22.0,0,0,0,-,0,0,0,-,0,0,0,-,228.0,228.0,9.0,40.4,0,0,0,-,0,0,0,973.8,0,0,0,-,1857,1783,1,0.8,0,0,0,-,0,0,0,-,123,125.0,10,85.4
15,Industrie du cuir et de la chaussure,202.0,22.0,0,0,0,-,0,0,0,-,0,0,0,-,96.0,96.0,5.0,46.9,0,0,0,-,4,4,4,811.3,2,2,1,610.1,1687,1678,1,0.8,0,0,0,-,1,1,0,72.7,130,131.0,11,85.9
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",693.0,173.0,0,0,0,-,0,0,0,-,0,0,0,-,818.0,818.0,27.0,32.7,0,0,0,-,4,4,3,881.7,2,2,1,639.9,12688,12910,10,0.8,306,950,7,23.8,86,86,2,23.3,1684,1687.0,122,72.5
17,Industrie du papier et du carton,526.0,976.0,41,42,5,112.9,0,0,0,-,0,0,0,-,10092.0,10092.0,305.0,30.2,0,0,0,-,8,8,7,885,59,60,35,581.2,5759,6209,5,0.8,652,983,23,35.5,4806,4806,123,25.5,8586,9305.0,475,55.3
18,Imprimerie et reproduction d'enregistrements,673.0,140.0,0,0,0,-,0,0,0,-,0,0,0,-,927.0,927.0,33.0,35.9,0,0,0,-,s,s,s,s,s,s,s,s,2607,2566,2,0.8,0,0,0,-,s,s,s,s,1350,1354.0,103,76.1
20,Industrie chimique,801.0,3621.0,434,430,49,112.6,s,s,s,s,s,s,s,s,43242.0,43242.0,1202.0,27.8,s,s,s,s,1345,1338,937,696.4,232,232,127,548.9,15002,15044,12,0.8,s,s,s,s,10189,10189,331,32.5,17309,17967.0,950,54.9
21,Industrie pharmaceutique,258.0,242.0,0,0,0,-,0,0,0,-,0,0,0,-,2228.0,2228.0,77.0,34.4,0,0,0,-,2,2,2,1054.2,0,1,0,629.8,s,s,s,s,0,0,0,-,317,317,12,37.6,2126,2129.0,149,70.3
22,Fabrication de produits en caoutchouc et en plastique,1450.0,644.0,0,0,0,-,0,0,0,-,0,0,0,-,2733.0,2733.0,96.0,35.1,0,0,0,-,11,11,10,924.6,19,19,11,603.4,10176,10394,8,0.8,0,77,0,254.4,1083,1083,37,34.4,6688,6699.0,481,72
23,Fabrication d'autres produits minéraux non métalliques,876.0,1370.0,640,587,63,98.9,77,78,8,108.8,100,103,31,314.5,17916.0,17916.0,530.0,29.6,710,733,81,113.5,18,19,16,872.5,224,226,122,547.2,38126,38377,30,0.8,185,193,5,27.2,84,84,2,26.9,s,7679.0,s,s
24,Métallurgie,421.0,2875.0,s,s,s,s,s,s,s,s,376,387,123,326,13535.0,13535.0,420.0,31,181,184,58,322.5,s,s,s,s,8,58,5,607.2,s,s,s,s,153,153,9,58.5,415,415,9,20.6,20859,21728.0,969,46.4
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3277.0,714.0,s,s,s,s,s,s,s,s,s,s,s,s,4782.0,4782.0,175.0,36.6,0,0,0,-,116,26,110,946,1,1,1,696.4,14875,14984,12,0.8,0,5,0,-,25,25,1,43.2,5173,5176.0,411,79.4
26,"Fabrication de produits informatiques, électroniques et optiques",596.0,176.0,0,0,0,-,0,0,0,-,0,0,0,-,596.0,596.0,25.0,42.5,0,0,0,-,1,1,1,1106.2,0,0,0,826.1,2530,2560,2,0.8,0,0,0,-,9,9,0,37.5,2200,2201.0,148,67.3
27,Fabrication d'équipements électriques,679.0,233.0,0,0,0,-,0,0,0,-,s,s,s,s,1421.0,1421.0,54.0,38.1,s,s,s,s,5,4,4,974.9,2,2,1,654.1,5023,4952,4,0.8,s,s,s,s,6,6,0,51.2,2034,2035.0,151,74
28,Fabrication de machines et équipements n.c.a.,1426.0,282.0,0,0,0,-,0,0,0,-,0,0,0,-,2052.0,2052.0,84.0,40.8,0,0,0,-,8,8,8,939.3,2,2,1,559.7,15079,14949,12,0.8,1,6,0,46.5,11,11,1,47,2177,2180.0,177,81.2
29,Industrie automobile,555.0,459.0,0,0,0,-,0,0,0,-,9,9,3,386,3897.0,3897.0,138.0,35.3,0,0,0,-,8,8,7,885.4,0,1,0,734.8,4268,4319,3,0.8,0,2,0,72,412,412,12,29.3,s,4329.0,s,s
30,Fabrication d'autres matériels de transport,287.0,205.0,0,0,0,-,0,0,0,-,0,0,0,-,1746.0,1746.0,67.0,38.5,0,0,0,-,s,s,s,s,s,s,s,s,3935,3965,3,0.7,s,s,s,s,90,90,3,37.6,1733,1804.0,129,74.5
31,Fabrication de meubles,457.0,71.0,0,0,0,-,0,0,0,-,0,0,0,-,355.0,355.0,15.0,42.7,0,0,0,-,4,4,4,912.3,0,0,0,-,2240,2427,2,0.8,4,64,0,18.7,0,0,0,-,589,589.0,50,85.7
32,Autres industries manufacturières,435.0,60.0,0,0,0,-,0,0,0,-,0,0,0,-,317.0,317.0,12.0,38.4,0,0,0,-,s,s,s,s,0,0,0,-,1863,1921,1,0.8,0,0,0,-,s,s,s,s,570,571.0,45,78.1
33,Réparation et installation de machines et d'équipements,1091.0,48.0,0,0,0,-,0,0,0,-,0,0,0,-,225.0,225.0,10.0,42.4,0,0,0,-,1,1,1,1021,1,1,0,900.1,s,s,s,s,s,s,s,s,31,31,1,43.9,s,349.0,s,s
38,"Collecte, traitement et élimination des déchets ; récupération",254.0,44.0,0,0,0,-,0,0,0,-,0,0,0,-,179.0,179.0,7.0,36.3,0,0,0,-,1,1,0,671.6,s,s,s,s,10727,11422,8,0.8,0,0,0,-,0,0,0,-,304,304.0,27,89.6
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",228.0,173.0,,,,,,,,,,,,,723.0,723.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2875.0,2619.0,,,,,,,,,,,,,29761.0,29761.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19388.0,,
_T,Total industrie,18740.0,15300.0,8191,7841,1404,171.4,466,482,55,118.2,550,564,177,322.2,139204.0,139204.0,4316.0,31,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,1667,2855,61,36.7,21420,21420,620,29,105792,109621.0,6610,62.5
