ID, NAF,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
_T,Total industrie,4854,195,376,10719,718,1690,821,276,19649,1296,852,734,303,367,3551,23200,1542,9427,34170,488,1001,32681
07,Extraction de minerais métalliques,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,nd,nd,0
08,Autres industries extractives,0,0,0,56,0,10,6,74,146,s,0,13,5,s,s,s,s,75,267,nd,nd,266
10,Industries alimentaires,s,136,s,2199,0,67,228,s,2898,2,0,68,48,1,118,3016,245,1549,4809,nd,nd,4544
11,Fabrication de boissons,0,0,0,88,0,9,4,4,105,0,s,s,22,0,28,133,22,115,270,nd,nd,269
12,Fabrication de produits à base de tabac,0,0,0,5,0,s,0,s,5,0,0,0,0,0,0,5,0,4,8,nd,nd,8
13,Fabrication de textiles,0,0,0,103,0,2,s,2,s,0,0,0,0,0,0,s,s,87,198,nd,nd,196
14,Industrie de l'habillement,0,0,0,18,0,1,0,2,20,0,0,0,0,0,0,20,0,11,30,nd,nd,30
15,Industrie du cuir et de la chaussure,0,0,0,7,0,5,2,1,15,0,0,0,0,0,0,15,0,11,27,nd,nd,26
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,63,0,4,2,11,80,s,s,244,0,0,245,325,6,145,476,nd,nd,469
17,Industrie du papier et du carton,26,0,0,777,0,8,57,5,874,s,s,253,112,8,1206,2080,346,800,3227,nd,nd,2797
18,Imprimerie et reproduction d'enregistrements,0,0,0,71,0,s,s,2,s,0,0,0,0,s,s,s,s,116,193,nd,nd,191
20,Industrie chimique,266,s,s,3330,s,1465,221,13,5319,1118,s,s,23,32,1211,6530,734,1545,8809,nd,nd,8076
21,Industrie pharmaceutique,0,0,0,172,0,2,1,s,s,0,0,0,0,s,s,180,23,183,386,nd,nd,382
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,210,0,12,18,9,250,0,0,20,s,s,20,270,78,576,924,nd,nd,907
23,Fabrication d'autres produits minéraux non métalliques,363,31,69,1380,559,20,215,32,2670,160,0,50,92,316,617,3287,6,660,3953,nd,nd,3949
24,Métallurgie,s,s,258,1042,140,s,55,s,5534,s,0,39,s,0,41,5575,30,1869,7474,nd,nd,7469
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,s,368,0,29,1,13,418,0,0,1,0,1,2,420,2,445,867,nd,nd,866
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,46,0,1,0,2,49,0,0,0,0,0,0,49,1,189,239,nd,nd,238
27,Fabrication d'équipements électriques,0,0,s,109,s,5,2,4,153,s,0,s,0,s,1,154,0,175,329,nd,nd,328
28,Fabrication de machines et équipements n.c.a.,0,0,0,158,0,9,2,13,181,s,0,1,s,s,2,183,1,188,371,nd,nd,371
29,Industrie automobile,0,0,6,300,0,8,1,4,319,0,0,1,0,0,1,319,30,372,721,nd,nd,715
30,Fabrication d'autres matériels de transport,0,0,0,134,0,s,s,3,142,0,0,s,s,0,1,143,7,155,305,nd,nd,296
31,Fabrication de meubles,0,0,0,27,0,5,0,2,34,0,0,17,0,0,17,51,0,51,101,nd,nd,101
32,Autres industries manufacturières,0,0,0,24,0,s,0,2,s,0,0,0,0,0,0,s,s,49,77,nd,nd,77
33,Réparation et installation de machines et d'équipements,0,0,0,17,0,1,1,s,s,0,0,s,0,0,s,23,2,30,55,nd,nd,55
38,Récupération,0,0,0,14,0,1,s,10,s,s,0,0,0,0,s,26,0,26,52,nd,nd,52
