teff_T3 - Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIES,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz  de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
INDICATEUR,Nombre d'établissements du champ,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
TAILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,18740,1357,3416,71,9,4854,181,3,12,0,195,206,169,s,s,376,8136,898,435,1250,10719,654,60,0,4,718,155,1460,1,74,1690,756,s,39,s,821,116,7,25,129,276,1108,s,s,0,1296,538,36,276,2,852,606,0,78,49,734,294,0,s,s,303,335,28,s,s,367,1392,0,47,102,1542
20 à 49 employés,10164,82,0,0,0,82,s,0,0,0,s,s,1,0,0,s,566,s,s,121,816,s,s,0,0,27,s,2,s,s,s,s,s,0,4,45,47,2,5,45,98,s,s,0,0,30,0,s,0,0,s,72,0,s,s,81,22,0,0,0,22,1,s,0,1,s,42,0,0,4,47
50 à 99 employés,3905,100,25,0,0,125,45,0,0,0,45,13,68,0,0,82,879,181,8,168,1236,216,2,0,0,218,34,1,0,15,50,97,0,0,3,100,25,s,s,29,59,89,172,0,0,261,0,0,0,0,0,82,0,0,8,91,s,0,0,s,71,s,s,0,s,113,149,0,s,s,156
100 à 249 employés,3109,s,s,19,s,409,s,s,12,0,47,s,s,s,0,63,2416,474,108,326,3324,334,8,0,4,345,s,s,s,s,537,230,0,23,7,260,19,s,s,31,59,172,s,0,s,174,0,s,0,s,1,179,0,0,9,188,s,s,0,0,80,211,s,0,s,215,418,0,7,22,447
250 à 499 employés,1065,302,s,s,s,348,s,s,0,0,35,56,s,0,s,65,2295,173,69,248,2786,s,s,0,0,24,21,835,0,11,867,307,s,s,s,331,7,1,6,13,27,s,0,0,s,s,s,s,276,s,s,268,0,s,s,347,119,s,s,s,127,s,s,s,0,20,449,0,10,19,479
500 à 999 employés,349,4,0,0,0,4,0,s,0,0,s,29,s,0,0,s,1185,s,s,143,1409,s,s,0,0,104,s,s,0,3,s,38,0,s,s,41,3,s,s,7,12,s,0,s,0,s,s,0,0,0,s,5,0,0,s,s,s,0,0,0,s,6,s,0,0,s,259,0,13,12,285
1 000 à 1 999 employés,101,s,0,s,0,83,0,0,0,0,0,s,0,0,0,s,241,s,s,99,379,0,0,0,0,0,s,s,0,s,5,s,0,0,s,43,2,s,s,4,7,s,s,0,0,s,0,0,0,0,0,0,0,s,1,s,0,0,0,s,s,0,0,0,0,0,70,0,s,s,97
2 000 employés ou plus,47,s,s,0,0,3804,s,0,0,0,s,0,s,0,0,s,553,0,70,144,768,0,0,0,0,0,s,0,0,s,0,s,0,0,s,2,12,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,0,0,s,0,0,0,0,0,5,0,s,s,32
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
