ENERGIES,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz  de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
INDICATEUR,Nombre d'établissements du champ,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Total industrie,18740,1357,3416,71,9,4854,181,3,12,0,195,206,169,s,s,376,8136,898,435,1250,10719,654,60,0,4,718,155,1460,1,74,1690,756,s,39,s,821,116,7,25,129,276,1108,s,s,0,1296,538,36,276,2,852,606,0,78,49,734,294,0,s,s,303,335,28,s,s,367,1392,0,47,102,1542
07 - Extraction de minerais métalliques,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08 - Autres industries extractives,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,56,0,0,0,0,0,9,0,0,1,10,s,s,0,0,6,49,5,0,19,74,10,s,0,0,s,0,0,0,0,0,13,0,0,0,13,5,0,0,0,5,s,0,0,0,s,s,0,0,0,s
10 - Industries alimentaires,2581,s,0,s,s,s,124,0,12,0,136,16,s,s,0,s,1918,1,158,123,2199,0,0,0,0,0,56,0,1,9,67,194,0,24,11,228,13,s,13,s,s,1,0,0,0,2,0,0,0,0,0,68,0,0,0,68,48,0,0,0,48,0,0,0,1,1,234,0,s,s,245
11 - Fabrication de boissons,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,16,88,0,0,0,0,0,6,0,0,3,9,4,0,s,s,4,2,0,0,2,4,0,0,0,0,0,0,0,0,s,s,s,0,0,0,s,s,0,0,s,22,0,0,0,0,0,s,0,0,s,22
12 - Fabrication de produits à base de tabac,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 - Fabrication de textiles,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,s,s,25,103,0,0,0,0,0,1,0,0,1,2,2,0,0,s,s,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s
14 - Industrie de l'habillement,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,s,0,s,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Industrie du cuir et de la chaussure,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,0,0,4,0,0,0,5,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,s,s,s,63,0,0,0,0,0,3,0,0,1,4,2,0,0,0,2,2,0,1,8,11,s,0,0,0,s,0,s,0,s,s,218,0,s,s,244,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
17 - Industrie du papier et du carton,526,s,0,s,s,26,0,0,0,0,0,0,0,0,0,0,696,1,40,40,777,0,0,0,0,0,4,0,0,5,8,42,0,s,s,57,1,0,0,4,5,s,s,0,s,s,538,s,276,s,s,188,0,s,s,253,104,s,s,s,112,s,s,s,0,8,317,0,17,13,346
18 - Imprimerie et reproduction d'enregistrements,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,s,s,s,71,0,0,0,0,0,s,0,0,0,s,0,0,0,s,s,0,s,s,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,s,s
20 - Industrie chimique,801,211,0,s,s,266,s,0,0,0,s,s,0,0,0,s,2151,870,211,97,3330,s,0,0,0,s,8,1454,0,3,1465,219,0,s,s,221,5,0,1,6,13,942,s,s,s,1118,0,s,0,0,s,19,0,s,s,s,23,0,0,0,23,10,s,0,s,32,686,0,26,22,734
21 - Industrie pharmaceutique,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,s,s,s,172,0,0,0,0,0,0,1,0,1,2,s,0,s,s,1,s,0,1,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,18,0,0,5,23
