ENERGIES,,,Houille (en milliers de tonnes),,,,Lignite - charbon pauvre (en milliers de tonnes),,,,Coke de houille (en milliers de tonnes),,,,Gaz  de réseau (en GWh),,,,Coke de pétrole (en milliers de tonnes),,,,Butane propane (en milliers de tonnes),,,,Fioul lourd (en milliers de tonnes),,,,Fioul domestique (gazole non routier) (en milliers de litres),,,,Bois (en milliers de tonnes),,,,Vapeur (en milliers de tonnes),,,,Electricité (en GWh),,,
INDICATEUR,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Toutes régions,18740,15300,8191,7841,1404,171.4,466,482,55,118.2,550,564,177,322.2,139204,139204,4316,31,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,1667,2855,61,36.7,21420,21420,620,29,105792,109621,6610,62.5
Ile-de-France,1433,743,72,74,9,123.2,0,0,0,-,5,4,2,299.8,9258,9258,285,30.8,11,10,2,215.4,s,s,s,s,6,6,3,528.8,12534,12823,10,0.8,s,s,s,s,228,228,9,41.6,4927,4982,330,66.9
Picardie,776,655,27,27,4,142.2,43,39,5,124.4,18,19,7,356.4,8193,8193,261,31.8,0,0,0,-,19,19,16,815.4,61,63,34,558.6,14208,14460,11,0.7,0,1,0,-,1192,1192,35,29.5,3993,4531,283,70.8
Haute-Normandie,678,1015,53,53,7,134.6,s,s,s,s,3,3,1,273,14088,14088,401,28.5,s,s,s,s,s,s,s,s,72,121,39,542.6,8582,8707,7,0.8,203,238,9,42.2,2560,2560,76,29.7,5670,6003,356,62.7
Centre,1010,480,48,51,6,125,0,0,0,-,6,6,2,327.7,5167,5167,172,33.3,54,51,7,127.9,10,10,9,909.6,25,26,14,555.9,12355,12271,10,0.8,91,115,2,17,165,165,6,36.1,3552,3650,252,71
Basse-Normandie,543,235,s,s,s,s,0,0,0,-,s,s,s,s,2180,2180,73,33.4,s,s,s,s,s,s,s,s,11,11,6,528.7,9558,10256,7,0.8,6,8,0,79,16,16,1,33,s,2058,s,s
Bourgogne,622,292,0,0,0,-,0,0,0,-,0,0,0,-,2921,2921,100,34.1,s,s,s,s,s,s,s,s,s,s,s,s,8486,8265,7,0.8,31,104,1,17.7,110,110,4,37.7,2361,2362,171,72.2
Nord-Pas-de-Calais,1062,2366,s,s,s,s,185,182,22,117.6,240,247,74,309.9,16963,16963,520,30.6,176,184,42,240.9,s,s,s,s,77,77,43,562.8,27753,28372,21,0.8,0,7,0,-,1606,1606,45,28,16625,16963,858,51.6
Lorraine,801,1088,1369,1398,208,152.2,67,86,11,168.3,155,161,39,254.2,8910,8910,286,32.1,56,59,6,115,6,7,6,924.9,7,7,4,574.6,18079,18124,14,0.8,97,267,2,18.2,734,734,31,42.1,7934,8118,480,60.6
Alsace,752,811,s,s,s,s,0,0,0,-,4,5,2,395.1,13647,13647,404,29.6,s,s,s,s,s,s,s,s,18,19,10,561.6,11051,11103,9,0.8,175,216,9,50.7,896,896,21,23.4,5431,5515,346,63.8
Franche-Comté,444,345,143,145,22,152.1,0,0,0,-,11,11,4,383.7,2311,2311,77,33.5,s,s,s,s,s,s,s,s,9,9,5,610.6,7354,7369,6,0.8,9,49,0,23.4,777,777,23,29.5,3116,3132,198,63.7
Pays de la Loire,1487,682,s,s,s,s,s,s,s,s,14,14,6,433.7,5000,5000,170,33.9,s,s,s,s,s,s,s,s,43,44,26,595.5,25212,24930,19,0.8,57,167,2,43.5,919,919,25,27.2,5736,5754,413,72.1
Bretagne,1079,509,s,s,s,s,s,s,s,s,0,0,0,-,4360,4360,147,33.8,0,0,0,-,s,s,s,s,28,30,16,586.3,21823,22067,17,0.8,s,s,s,s,409,409,12,28.3,3934,4084,287,72.9
Poitou-Charentes,616,259,108,106,12,112.7,0,0,0,-,4,4,2,461.2,1939,1939,62,32.1,79,80,10,130,12,12,10,841.7,32,32,19,592.5,16769,16812,13,0.8,38,109,0,8.7,77,77,2,30.9,1817,1825,128,70.5
Aquitaine,952,592,139,138,16,112.4,25,25,2,68.9,0,0,0,-,3492,3492,123,35.3,0,0,0,-,14,14,11,782.3,32,33,20,600.6,13349,13552,10,0.8,302,608,9,30.4,2897,2897,86,29.6,5068,5340,316,62.3
Midi-Pyrénées,752,325,s,s,s,s,0,0,0,-,0,0,0,-,3070,3070,103,33.7,s,s,s,s,s,s,s,s,16,16,9,574.6,9055,9017,7,0.8,s,s,s,s,319,319,8,23.6,2472,2757,178,71.9
Limousin,288,129,0,0,0,-,0,0,0,-,s,s,s,s,987,987,32,32.4,0,0,0,-,3,3,2,915,6,6,4,668.8,3568,3592,3,0.8,s,s,s,s,559,559,18,32,931,956,63,67.5
Rhône-Alpes,2847,1619,267,199,41,152.3,s,s,s,s,s,s,s,s,16237,16237,485,29.9,157,166,42,266.8,27,27,23,848.7,88,89,50,560.7,30791,31159,24,0.8,242,261,10,39.8,3051,3051,78,25.6,14832,15037,860,58
Auvergne,553,312,s,s,s,s,0,0,0,-,36,37,16,445.1,3020,3020,97,32.2,s,s,s,s,s,s,s,s,31,32,19,600.9,10282,10346,8,0.8,52,59,1,11.5,165,165,5,30,2334,2345,161,68.9
Languedoc-Roussillon,402,192,98,98,16,162,0,0,0,-,0,0,0,-,1739,1739,56,32.3,31,33,3,108,4,4,3,792.3,4,4,3,596.8,10051,10057,8,0.8,s,s,s,s,53,53,1,27.4,s,1693,s,s
PACA et Corse,685,2014,s,s,s,s,0,0,0,-,s,s,s,s,9510,9510,268,28.2,s,s,s,s,986,981,680,689.4,164,164,89,541.4,25614,25517,19,0.7,s,s,s,s,2816,2816,95,33.7,7493,8325,402,53.6
DOM,325,86,0,0,0,-,0,0,0,-,0,0,0,-,122,122,4,34.4,0,0,0,-,1,1,1,1438,s,s,s,s,13299,13119,12,0.9,s,s,s,s,1116,1116,15,13.1,578,587,51,88.9
