ENERGIES,,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz  de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
INDICATEUR,Nombre d'établissements du champ,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Toutes régions,18740,1357,3416,71,9,4854,181,3,12,0,195,206,169,s,s,376,8136,898,435,1250,10719,654,60,0,4,718,155,1460,1,74,1690,756,s,39,s,821,116,7,25,129,276,1108,s,s,0,1296,538,36,276,2,852,606,0,78,49,734,294,0,s,s,303,335,28,s,s,367,1392,0,47,102,1542
Ile-de-France,1433,s,s,0,s,46,0,0,0,0,0,s,s,0,0,3,451,s,s,s,713,s,5,0,s,8,7,s,0,2,s,s,0,0,s,5,5,s,s,6,11,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,s,0,0,0,s,0,0,0,0,0,s,0,s,8,16
Picardie,776,17,0,0,0,17,s,s,s,0,16,s,s,0,0,13,526,0,40,65,631,0,0,0,0,0,7,s,0,s,21,56,0,s,s,60,4,0,2,6,12,s,s,0,0,s,0,0,0,0,0,s,0,0,s,0,4,0,0,0,4,0,s,0,0,s,78,0,0,8,86
Haute-Normandie,678,33,0,0,0,33,s,0,0,0,s,2,0,0,0,2,631,371,21,62,1085,s,0,0,0,s,5,s,0,3,s,112,0,2,2,115,2,0,0,5,7,s,s,0,0,424,0,0,0,0,0,s,0,s,0,61,s,0,s,0,49,s,0,s,0,29,169,0,s,s,184
Centre,1010,32,0,0,0,32,0,0,0,0,0,s,s,0,0,4,311,1,16,71,398,39,0,0,0,39,6,0,0,5,11,22,0,s,s,25,2,1,1,6,10,s,0,0,0,s,0,0,0,0,0,27,0,0,2,29,s,0,0,0,s,s,0,0,0,s,11,0,0,0,12
Basse-Normandie,543,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,116,1,s,s,168,s,0,0,0,s,3,s,0,3,s,10,0,0,1,11,5,0,1,3,9,0,s,0,0,s,0,0,0,0,0,s,0,0,s,2,s,0,0,0,s,s,0,0,s,s,s,0,0,s,1
Bourgogne,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,s,0,s,225,s,0,0,0,s,2,0,s,3,s,s,s,0,0,s,2,s,s,4,7,s,0,0,0,s,0,0,0,0,0,23,0,s,s,27,s,0,0,s,2,s,0,0,0,s,6,0,0,2,8
Nord-Pas-de-Calais,1062,31,s,s,0,s,s,s,s,0,74,s,143,s,0,165,1064,1,107,134,1306,s,s,0,s,140,4,s,0,5,s,73,0,s,s,74,12,s,s,11,24,s,0,0,0,s,0,0,0,0,0,s,0,0,s,2,s,s,0,0,s,s,s,0,s,90,109,0,4,3,116
Lorraine,801,s,0,s,s,865,35,0,0,0,35,s,s,0,0,107,609,1,3,73,686,s,s,0,0,45,s,s,0,4,7,6,0,0,0,7,8,s,s,6,15,s,0,0,0,s,0,0,0,0,0,59,0,s,s,69,s,0,0,0,s,s,s,0,0,54,50,0,s,s,53
Alsace,752,s,0,0,0,s,0,0,0,0,0,3,0,0,0,3,797,s,s,83,1051,s,0,0,s,s,s,1,0,5,s,11,0,s,s,18,3,s,s,6,9,s,s,0,s,s,0,0,0,0,0,47,0,s,s,55,25,0,0,s,s,s,0,0,s,6,56,0,s,s,65
Franche-Comté,444,s,0,s,0,90,0,0,0,0,0,7,0,0,0,7,104,s,s,35,178,s,0,0,0,s,7,0,s,s,s,7,0,s,s,9,1,0,1,4,6,s,0,0,s,0,0,0,0,0,0,7,0,0,5,13,s,0,0,0,s,s,s,0,0,s,s,0,s,s,56
