ID,TEFF,TEFF,TEFF,Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Houille (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Lignite - charbon pauvre (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Coke de houille (en milliers de tonnes),Gaz  de réseau (en GWh),Gaz  de réseau (en GWh),Gaz  de réseau (en GWh),Gaz  de réseau (en GWh),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Coke de pétrole (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Butane propane (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul lourd (en milliers de tonnes),Fioul domestique (gazole non routier) (en milliers de litres),Fioul domestique (gazole non routier) (en milliers de litres),Fioul domestique (gazole non routier) (en milliers de litres),Fioul domestique (gazole non routier) (en milliers de litres),Bois (en milliers de tonnes),Bois (en milliers de tonnes),Bois (en milliers de tonnes),Bois (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Vapeur (en milliers de tonnes),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh),Electricité (en GWh)
ID,TEFF,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
_T,Total,18740,15300,8191,7841,1404,171.4,466,482,55,118.2,550,564,177,322.2,139204,139204,4316,31,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,1667,2855,61,36.7,21420,21420,620,29,105792,109621,6610,62.5
20-49,20 à 49 salariés,10164,1558,129,132,16,122.8,s,s,s,s,s,s,s,s,10598,10598,377,35.6,34,36,5,145.1,s,s,s,s,47,47,29,628.4,115927,116481,92,0.8,140,313,6,40,648,648,18,27.9,11548,11587,865,74.9
50-99,50 à 99 salariés,3905,1701,250,202,26,105.2,114,112,12,104.6,124,122,31,250.5,16057,16057,543,33.8,257,286,30,117.2,45,45,39,855.2,56,105,31,561,68997,69419,54,0.8,255,353,8,31.8,2171,2171,65,29.8,12340,12433,863,69.9
100-249,100 à 249 salariés,3109,3910,654,660,95,145.3,122,115,16,131.4,95,94,36,380.3,43174,43174,1322,30.6,455,452,51,112.8,490,491,334,681.1,271,273,156,575.9,69682,69873,54,0.8,355,732,15,43.1,6212,6212,157,25.3,25713,26688,1672,65
250-499,250 à 499 salariés,1065,3729,569,563,56,97.7,81,86,14,173.3,94,98,25,270.6,36179,36179,1054,29.1,31,31,15,467.2,798,792,573,718.4,344,348,190,551.3,30330,31726,23,0.8,910,1348,32,34.7,6650,6650,198,29.8,26196,27890,1550,59.2
500+,500 salariés et plus,349,1746,6,6,1,199.7,s,s,s,s,s,s,s,s,18302,18302,564,30.8,137,137,50,366,s,s,s,s,42,43,24,566.3,14715,14420,12,0.8,s,s,s,s,3956,3956,127,32.2,15963,16207,836,52.3
500+,500 salariés et plus,101,636,133,133,21,156.6,0,0,0,-,s,s,s,s,4925,4925,152,30.8,0,0,0,-,4,4,3,796.6,45,45,25,561.8,8485,8403,7,0.8,s,s,s,s,1344,1344,42,31.3,5873,5907,363,61.7
500+,500 salariés et plus,47,2020,6449,6145,1189,184.4,s,s,s,s,s,s,s,s,9969,9969,304,30.5,0,0,0,-,0,0,0,1310.3,0,2,0,727.9,16454,16316,12,0.7,s,s,s,s,438,438,12,28.5,8158,8908,462,56.6
