naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,130,0,0,0,0.0,1334,1334,49,36.8,,,,,0,0,0,0.0,2,2,2,841.4,,,,,2687,2700,2,0.8,,,,,0,0,0,0.0,,,,,,,,,,,1012,1012,,75,73.9
14,Industrie de l'habillement,22,0,0,0,0.0,228,228,9,40.4,,,,,0,0,0,0.0,0,0,0,973.8,0,0,0,0.0,1857,1783,1,0.8,,,,,0,0,0,0.0,0,0,0.0,,,,,,,,123,125,,10,85.4
15,Industrie du cuir et de la chaussure,22,0,0,0,0.0,96,96,5,46.9,,,,,0,0,0,0.0,4,4,4,811.3,2,2,1,610.1,1687,1678,1,0.8,,,,,0,0,0,0.0,2,0,72.7,,,,,,,,130,131,,11,85.9
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",173,0,0,0,0.0,818,818,27,32.7,,,,,0,0,0,0.0,4,4,3,881.7,2,2,1,639.9,12688,12910,10,0.8,,,,,306,950,7,23.8,172,2,23.3,,,,,,,,1684,1687,,122,72.5
17,Industrie du papier et du carton,976,41,42,5,112.9,10092,10092,305,30.2,,,,,0,0,0,0.0,8,8,7,885,59,60,35,581.2,5759,6209,5,0.8,,,,,652,983,23,35.5,9612,123,25.5,,,,,,,,8586,9305,,475,55.3
18,Imprimerie et reproduction d'enregistrements,140,0,0,0,0.0,927,927,33,35.9,,,,,0,0,0,0.0,,,,,,,,,2607,2566,2,0.8,,,,,0,0,0,0.0,,,,,,,,,,,1350,1354,,103,76.1
20,Industrie chimique,3621,434.0,430.0,49.0,112.6,43242,43242,1202,27.8,,,,,,,,,1345,1338,937,696.4,232,232,127,548.9,15002,15044,12,0.8,,,,,,,,,20378,331,32.5,,,,,,,,17309,17967,,950,54.9
21,Industrie pharmaceutique,242,0,0,0,0.0,2228,2228,77,34.4,,,,,0,0,0,0.0,2,2,2,1054.2,0,1,0,629.8,,,,,,,,,0,0,0,0.0,634,12,37.6,,,,,,,,2126,2129,,149,70.3
22,Fabrication de produits en caoutchouc et en plastique,644,0,0,0,0.0,2733,2733,96,35.1,,,,,0,0,0,0.0,11,11,10,924.6,19,19,11,603.4,10176,10394,8,0.8,,,,,0,77,0,254.4,2166,37,34.4,,,,,,,,6688,6699,,481,72
23,Fabrication d'autres produits minéraux non métalliques,1370,817,768,102,522.2,17916,17916,530,29.6,,,,,710,733,81,113.5,18,19,16,872.5,224,226,122,547.2,38126,38377,30,0.8,,,,,185,193,5,27.2,168,2,26.9,,,,,,,,,7679,,,
