reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1931,303.0,236.0,57.0,597.4000000000001,19257,19257,582,62.1,,,,,157.0,166.0,42.0,266.8,27.0,27.0,23.0,848.7,119,121,69,1161.6,41073,41505,32,1.6,,,,,294,320,11,51.3,6432,83,55.6,,,,,,,,17166.0,17382,,1021.0,126.9
BFC,Bourgogne-Franche-Comté,637,154.0,156.0,26.0,535.8,5232,5232,177,67.6,,,,,,,,,,,,,9.0,9.0,5.0,610.6,15840,15634,13,1.6,,,,,40,153,1,41.099999999999994,1774,27,67.2,,,,,,,,5477.0,5494,,369.0,135.9
BRE,Bretagne,509,0.0,0.0,0.0,0.0,4360,4360,147,33.8,,,,,0,0,0,0.0,,,,,28,30,16,586.3,21823,22067,17,0.8,,,,,,,,,818,12,28.3,,,,,,,,3934.0,4084,,287.0,72.9
CVL,Centre-Val de Loire,480,54.0,57.0,8.0,452.7,5167,5167,172,33.3,,,,,54,51,7,127.9,10,10,9,909.6,25,26,14,555.9,12355,12271,10,0.8,,,,,91,115,2,17,330,6,36.1,,,,,,,,3552.0,3650,,252.0,71.0
DOM,Départements d’Outre-mer,86,0.0,0.0,0.0,0.0,122,122,4,34.4,,,,,0,0,0,0.0,1,1,1,1438,,,,,13299,13119,12,0.9,,,,,,,,,2232,15,13.1,,,,,,,,578.0,587,,51.0,88.9
FRA,France,15300,9207.0,8887.0,1636.0,611.8,139204,139204,4316,31.0,,,,,914,943,151,165.2,1638,1543,1196,730.4,804,862,455,566.1,324591,326638,254,0.8,,,,,1667,2855,61,36.7,42840,620,29.0,,,,,,,,105792.0,109621,,6610.0,62.5
GRE,Grand Est,1899,1595.0,1650.0,260.0,969.8000000000001,22557,22557,690,61.7,,,,,56.0,59.0,6.0,115.0,6.0,7.0,6.0,924.9,25,26,14,1136.2,29130,29227,23,1.6,,,,,272,483,11,68.9,3260,52,65.5,,,,,,,,13365.0,13633,,826.0,124.4
HDF,Hauts-de-France,3021,513.0,514.0,112.0,1050.5,25156,25156,781,62.400000000000006,,,,,176,184,42,240.9,19.0,19.0,16.0,815.4,138,140,77,1121.4,41961,42832,32,1.5,,,,,0,8,0,0.0,5596,80,57.5,,,,,,,,20618.0,21494,,1141.0,122.4
IDF,Ile-de-France,743,77.0,78.0,11.0,423.0,9258,9258,285,30.8,,,,,11,10,2,215.4,,,,,6,6,3,528.8,12534,12823,10,0.8,,,,,,,,,456,9,41.6,,,,,,,,4927.0,4982,,330.0,66.9
NOA,Nouvelle-Aquitaine,980,276.0,273.0,32.0,755.2,6418,6418,217,99.80000000000001,,,,,79,80,10,130.0,29,29,23,2539.0,70,71,43,1861.8999999999999,33686,33956,26,2.4000000000000004,,,,,340.0,717.0,9.0,39.099999999999994,7066,106,92.5,,,,,,,,7816.0,8121,,507.0,200.3
