reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,,,,,,,13,0,1,21,,,,,,,,,,,,,
BFC,Bourgogne-Franche-Comté,,,,,,,3,0.0,1.0,8,,,,,,,,,,,,,
BRE,Bretagne,,,,,,,8,0,5,6,,,,,,,,,,,,,
CVL,Centre-Val de Loire,,,,,,,2,1,1,6,,,,,,,,,,,,,
DOM,Départements d’Outre-mer,,,,,,,7,0,2,3,,,,,,,,,,,,,
FRA,France,,,,,,,116,7,25,129,,,,,,,,,,,,,
GRE,Grand Est,,,,,,,11,,,12,,,,,,,,,,,,,
HDF,Hauts-de-France,,,,,,,16,0.0,2.0,17,,,,,,,,,,,,,
IDF,Ile-de-France,,,,,,,5,,,6,,,,,,,,,,,,,
NOA,Nouvelle-Aquitaine,,,,,,,11,0.0,1.0,13,,,,,,,,,,,,,
NOR,Normandie,,,,,,,7,0,1,8,,,,,,,,,,,,,
OCC,Occitanie,,,,,,,8,0,1,7,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,,,,,,,14,0,1,7,,,,,,,,,,,,,
PAL,Pays de la Loire,,,,,,,9,,,9,,,,,,,,,,,,,
