"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie en 2013",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,15894,so,8338,8393,1081,130,370,424,45,122,455,482,122,268,146119,146119,4755,33,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,2114,3467,84,40,23929,23929,681,28,109823,113044,7161,65
E12 - Industrie laitière,so,so,499,so,0,0,0,so,0,0,0,so,0,0,0,so,6014,6014,197,33,0,0,0,so,24,24,18,753,40,40,20,512,6953,6980,5,1,135,135,7,55,313,313,8,25,s,3398,242,72
E13 - Sucreries,so,so,342,so,133,133,15,112,163,166,18,113,23,26,6,252,6626,6626,209,32,0,0,0,so,0,0,0,1113,83,84,44,527,5061,5123,4,1,s,s,s,s,838,838,10,12,436,1110,35,81
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1810,so,71,73,8,118,40,40,4,91,0,0,0,so,19042,19042,649,34,0,0,0,so,59,60,45,758,43,44,24,551,28682,28794,22,1,s,s,s,s,1425,1425,36,25,s,14656,1015,71
E16 - Sidérurgie,so,so,1770,so,s,s,s,s,s,s,s,s,s,s,s,s,7250,7250,227,31,20,21,4,223,4,4,3,790,2,4,1,627,16583,16790,11,1,151,151,9,59,226,226,6,25,10652,11419,517,49
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,397,so,6,7,1,115,s,s,s,s,0,0,0,so,3210,3210,99,31,131,139,38,291,3,3,2,731,s,s,s,s,5226,5354,4,1,0,0,0,so,s,s,s,s,s,7153,249,35
