TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement en 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Indicateurs,Nombre d'établissements,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,20583,5196,172,322,11251,766,2052,700,266,20724,1107,804,891,324,353,3479,24203,1723,9722,35648,552,825,34271
20 à 49 employés,11552,s,s,7,807,37,92,97,96,1161,18,s,94,24,s,163,1324,83,1088,2495,ns,ns,2351
50 à 99 employés,4204,102,45,56,1196,201,50,47,58,1756,142,0,107,72,127,448,2204,138,1167,3510,ns,ns,3485
100 à 249 employés,3281,362,s,63,3514,420,91,s,56,4751,s,s,296,s,202,802,5552,483,2396,8432,ns,ns,8266
250 à 499 employés,1031,327,33,60,3121,21,855,298,26,4741,s,s,354,140,10,1302,6043,624,2325,8992,ns,ns,8200
500 à 999 employés,356,s,s,28,1449,88,957,39,11,2580,713,s,24,s,s,745,3325,302,1475,5102,ns,ns,4990
1 000 à 1 999 employés,115,s,0,s,405,0,s,s,7,624,s,0,s,0,0,14,638,74,522,1234,ns,ns,1213
2 000 employés ou plus,44,4298,s,s,760,0,s,s,11,5112,s,0,s,s,0,4,5116,19,747,5882,ns,ns,5765
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,,,,,,,,,,,,,
