"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement en 2013",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,15894,so,8338,8393,1081,130,370,424,45,122,455,482,122,268,146119,146119,4755,33,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,2114,3467,84,40,23929,23929,681,28,109823,113044,7161,65
20 à 49 employés,so,so,1723,so,s,s,s,s,s,s,s,s,11,10,3,320,10477,10477,386,37,46,48,7,145,79,84,68,860,94,102,48,509,114081,113495,89,1,150,366,6,42,1148,1148,31,27,s,12655,1079,86
50 à 99 employés,so,so,1743,so,154,165,17,108,112,112,12,110,80,84,16,203,15530,15530,536,35,258,263,27,105,46,46,39,839,47,50,25,530,68641,68760,52,1,255,417,9,36,1917,1917,51,27,13467,13575,958,71
100 à 249 employés,so,so,3867,so,572,586,78,137,s,s,s,s,93,95,30,325,45634,45634,1464,32,547,551,59,108,83,83,65,789,s,s,s,s,66118,66675,51,1,692,1152,26,37,6710,6710,170,25,27039,27865,1807,67
250 à 499 employés,so,so,3939,so,523,529,47,91,85,81,14,161,92,90,22,238,40529,40529,1284,32,29,27,13,446,779,781,516,662,307,313,151,491,30381,30360,23,1,934,1379,38,41,8670,8670,251,29,25706,27034,1581,61
500 à 999 employés,so,so,2248,so,s,s,s,s,s,s,s,s,42,42,16,371,18814,18814,600,32,109,115,36,328,874,874,531,607,42,41,20,488,13008,13283,10,1,53,92,3,54,4192,4192,143,34,16999,17154,888,52
1 000 à 1 999 employés,so,so,665,so,s,s,s,s,0,0,0,so,s,s,s,s,5264,5264,173,33,0,0,0,so,s,s,s,s,s,s,s,s,8238,8428,6,1,s,s,s,s,1026,1026,29,28,6035,6070,384,64
2 000 employés ou plus,so,so,1709,so,6922,6943,917,132,s,s,s,s,s,s,s,s,9872,9872,310,31,0,0,0,so,s,s,s,s,s,s,s,s,12903,13552,9,1,s,s,s,s,265,265,7,25,s,8692,464,58
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
