"NAF_T4 :  Autoproduction, achats et consommation d'électricité par usage en GWh selon le secteur d'activité en NAF rév.2 de l'établissement en 2013",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateurs,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,
Total industrie,5310,620,2709,3221,109823,113044,72487,10121,11516,8517,10403
07 - Extraction de minerais métalliques,5,0,0,5,s,5,5,0,0,0,0
08 - Autres industries extractives,s,s,s,s,s,810,752,5,0,23,29
10 - Industries alimentaires,1763,6,s,s,16628,17750,12267,1136,57,948,3341
11 - Fabrication de boissons,s,s,1,2,s,1370,949,113,3,100,204
12 - Fabrication de produits à base de tabac,s,0,s,s,45,45,s,0,0,s,3
13 - Fabrication de textiles,s,s,5,1,s,1166,936,85,2,72,71
14 - Industrie de l'habillement,s,s,s,s,s,153,s,4,s,39,s
15 - Industrie du cuir et de la chaussure,s,s,s,s,112,112,74,13,1,16,8
"16 - Travail du bois et fabrication d'articles en bois et en liège,  à l'exception des meubles - fabrication d'articles en vannerie et sparterie",79,0,78,2,1833,1835,1717,26,2,65,24
17 - Industrie du papier et du carton,s,s,603,693,s,9204,8768,112,5,181,138
18 - Imprimerie et reproduction d'enregistrements,s,s,s,s,1249,1251,1029,37,8,106,71
20 - Industrie chimique,s,s,1012,527,18124,18651,12708,455,3836,405,1248
21 - Industrie pharmaceutique,s,s,1,3,s,2626,1582,192,8,342,502
22 - Fabrication de produits en caoutchouc et en plastique,55,2,s,s,7023,7062,4673,967,23,610,789
23 - Fabrication d'autres produits minéraux non métalliques,s,s,15,9,7865,7873,5757,1095,85,361,575
24 - Métallurgie,s,s,231,768,20365,21133,8179,3495,7051,841,1567
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",3,1,1,4,5094,5098,3384,592,167,582,372
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,1,2115,2116,871,368,44,542,290
27 - Fabrication d'équipements électriques,4,0,1,3,s,2062,1210,310,19,298,224
28 - Fabrication de machines et équipements n.c.a.,s,s,s,s,4116,4122,1539,431,s,s,s
29 - Industrie automobile,s,s,32,5,s,4483,3511,246,132,327,266
30 - Fabrication d'autres matériels de transport,s,s,s,s,1962,1983,1026,320,33,301,303
31 - Fabrication de meubles,0,s,s,0,s,515,430,26,s,s,10
32 - Autres industries manufacturières,s,s,0,s,604,605,374,27,2,71,131
33 - Réparation et installation de machines et d'équipements,s,s,s,0,s,539,223,55,19,187,56
38 - Récupération,s,s,s,s,475,476,412,11,3,35,16
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2013.",,,,,,,,,,,
