TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement en 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1285,3824,79,8,5196,156,2,13,0,172,260,61,0,0,322,8745,816,446,1244,11251,710,55,0,1,766,189,1786,2,75,2052,584,s,29,s,700,87,6,20,153,266,985,s,s,1,1107,635,s,s,s,804,743,0,72,76,891,308,0,s,s,324,344,s,s,6,353,1585,so,29,110,1723
20 à 49 employés,s,0,0,0,s,s,0,0,0,s,s,s,0,0,7,554,s,s,162,807,s,s,0,0,37,76,s,s,16,92,s,s,s,s,97,35,0,3,58,96,15,s,1,s,18,0,s,0,0,s,68,0,s,s,94,s,0,0,s,24,6,s,0,1,s,73,so,0,10,83
50 à 99 employés,s,s,0,0,102,s,s,0,0,45,s,s,0,0,56,873,139,9,175,1196,198,2,0,0,201,33,s,s,15,50,46,s,s,1,47,16,s,s,35,58,s,s,0,0,142,0,0,0,0,0,84,0,0,24,107,s,0,s,0,72,122,0,0,5,127,120,so,s,s,138
100 à 249 employés,s,s,s,s,362,49,s,s,0,s,54,10,0,0,63,2663,470,74,307,3514,410,s,0,s,420,60,s,s,26,91,160,0,s,s,s,15,0,6,36,56,s,s,0,s,s,s,s,0,s,s,284,0,s,s,296,s,0,0,0,s,202,s,0,s,202,461,so,4,19,483
250 à 499 employés,313,s,s,s,327,s,s,s,0,33,53,7,0,0,60,2583,139,167,232,3121,s,s,0,s,21,13,832,s,s,855,283,0,s,s,298,6,s,s,14,26,s,s,0,0,s,s,s,s,0,s,290,0,54,10,354,s,0,s,s,140,s,s,s,s,10,592,so,11,22,624
500 à 999 employés,4,s,0,0,s,0,s,0,0,s,26,2,0,0,28,1225,s,s,144,1449,s,s,0,0,88,5,947,s,s,957,37,0,s,s,39,2,1,2,6,11,s,0,s,0,713,s,0,0,0,s,18,0,0,6,24,s,0,0,0,s,s,0,0,0,s,284,so,s,s,302
1 000 à 1 999 employés,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,283,s,s,s,405,0,0,0,0,0,2,0,0,s,s,s,0,0,0,s,4,s,s,3,7,0,s,s,0,s,0,0,0,0,0,0,0,s,s,s,0,0,0,0,0,0,0,0,0,0,54,so,s,s,74
