Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Total industrie,so,so,15894,so,8338,8393,1081,130,370,424,45,122,455,482,122,268,146119,146119,4755,33,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,2114,3467,84,40,23929,23929,681,28,109823,113044,7161,65
07 - Extraction de minerais métalliques,so,so,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,361,364,0,1,0,0,0,so,0,0,0,so,s,5,0,87
08 - Autres industries extractives,so,so,163,so,0,0,0,so,0,0,0,so,0,0,0,so,660,660,22,34,0,0,0,so,5,6,4,745,4,4,2,634,83085,83199,63,1,31,31,1,32,s,s,s,s,s,810,68,84
10 - Industries alimentaires,so,so,2489,so,s,s,s,s,s,s,s,s,23,26,6,252,30673,30673,1017,33,0,0,0,so,76,77,58,760,164,165,87,528,35174,35458,27,1,283,283,16,55,2303,2303,48,21,16628,17750,1187,71
11 - Fabrication de boissons,so,so,157,so,0,0,0,so,0,0,0,so,0,0,0,so,969,969,37,38,0,0,0,so,8,8,6,734,2,2,1,652,5521,5437,4,1,0,0,0,so,273,273,6,21,s,1370,102,75
12 - Fabrication de produits à base de tabac,so,so,5,so,0,0,0,so,0,0,0,so,0,0,0,so,40,40,1,31,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,45,45,4,79
13 - Fabrication de textiles,so,so,149,so,0,0,0,so,0,0,0,so,0,0,0,so,1412,1412,51,36,0,0,0,so,4,4,3,784,3,3,2,566,s,s,s,s,0,0,0,so,s,s,s,s,s,1166,89,77
14 - Industrie de l'habillement,so,so,24,so,0,0,0,so,0,0,0,so,0,0,0,so,208,208,8,41,0,0,0,so,s,s,s,s,0,0,0,so,1755,1736,1,1,0,0,0,so,s,s,s,s,s,153,14,93
15 - Industrie du cuir et de la chaussure,so,so,18,so,0,0,0,so,0,0,0,so,0,0,0,so,89,89,5,51,0,0,0,so,s,s,s,s,0,0,0,so,1945,1935,1,1,s,s,s,s,0,0,0,so,112,112,11,95
"16 - Travail du bois et fabrication d'articles en bois et en liège,  à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,191,so,0,0,0,so,0,0,0,so,0,0,0,so,735,735,25,34,0,0,0,so,s,s,s,s,1,1,0,640,12208,12309,9,1,s,s,s,s,s,s,s,s,1833,1835,138,76
17 - Industrie du papier et du carton,so,so,1065,so,s,s,s,s,0,0,0,so,0,0,0,so,12187,12187,382,31,0,0,0,so,6,6,5,878,s,s,s,s,s,s,s,s,808,1081,32,39,5773,5773,129,22,s,9204,488,57
18 - Imprimerie et reproduction d'enregistrements,so,so,139,so,0,0,0,so,0,0,0,so,0,0,0,so,723,723,28,39,0,0,0,so,4,4,4,992,0,0,0,745,1733,1729,1,1,0,0,0,so,s,s,s,s,1249,1251,104,83
20 - Industrie chimique,so,so,4008,so,601,610,54,90,s,s,s,s,s,s,s,s,42913,42913,1313,31,s,s,s,s,1635,1636,1032,631,303,309,146,484,16711,16842,13,1,242,264,6,27,11603,11603,389,33,18124,18651,1033,57
21 - Industrie pharmaceutique,so,so,305,so,0,0,0,so,0,0,0,so,0,0,0,so,2294,2294,79,35,0,0,0,so,s,s,s,s,s,s,s,s,s,s,s,s,0,0,0,so,1356,1356,40,30,s,2626,183,70
22 - Fabrication de produits en caoutchouc et en plastique,so,so,680,so,0,0,0,so,0,0,0,so,0,0,0,so,2760,2760,102,37,0,0,0,so,9,9,8,867,15,16,9,597,7872,7874,6,1,s,s,s,s,1040,1040,31,29,7023,7062,523,74
23 - Fabrication d'autres produits minéraux non métalliques,so,so,1378,so,272,289,27,100,112,112,12,110,45,45,16,360,19811,19811,596,30,813,823,87,107,15,15,13,835,162,166,80,494,37761,37696,29,1,264,266,8,29,57,57,2,28,7865,7873,507,64
24 - Métallurgie,so,so,2524,so,s,s,s,s,s,s,s,s,280,304,73,262,13421,13421,429,32,s,s,s,s,14,14,11,776,10,15,5,543,26506,26750,19,1,152,152,9,59,323,323,7,23,20365,21133,954,47
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,668,so,s,s,s,s,s,s,s,s,s,s,s,s,4919,4919,190,39,0,0,0,so,41,40,38,927,s,s,s,s,16618,16571,13,1,s,s,s,s,22,22,1,43,5094,5098,421,83
"26 - Fabrication de produits informatiques, électroniques et optiques",so,so,179,so,0,0,0,so,0,0,0,so,0,0,0,so,662,662,29,44,0,0,0,so,0,0,0,809,s,s,s,s,s,s,s,s,0,0,0,so,11,11,1,50,2115,2116,148,70
27 - Fabrication d'équipements électriques,so,so,249,so,0,0,0,so,0,0,0,so,s,s,s,s,1746,1746,65,37,s,s,s,s,5,5,5,888,1,1,1,566,5330,5414,4,1,s,s,s,s,8,8,0,42,s,2062,157,76
28 - Fabrication de machines et équipements n.c.a.,so,so,495,so,0,0,0,so,0,0,0,so,0,0,0,so,2513,2513,99,39,0,0,0,so,8,8,7,837,1,1,1,746,11970,12025,10,1,1,5,0,68,s,s,s,s,4116,4122,379,92
29 - Industrie automobile,so,so,482,so,0,0,0,so,0,0,0,so,s,s,s,s,4094,4094,144,35,0,0,0,so,12,12,10,848,0,0,0,761,s,s,s,s,s,s,s,s,252,252,7,27,s,4483,313,70
30 - Fabrication d'autres matériels de transport,so,so,233,so,0,0,0,so,0,0,0,so,0,0,0,so,1819,1819,72,40,0,0,0,so,3,3,3,835,s,s,s,s,s,s,s,s,5,5,1,127,100,100,4,40,1962,1983,150,77
31 - Fabrication de meubles,so,so,78,so,0,0,0,so,0,0,0,so,0,0,0,so,251,251,11,44,0,0,0,so,11,11,9,834,0,0,0,so,11333,11014,8,1,3,76,0,111,0,0,0,so,s,515,49,95
32 - Autres industries manufacturières,so,so,64,so,0,0,0,so,0,0,0,so,0,0,0,so,330,330,14,42,0,0,0,so,1,1,1,877,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,604,605,49,80
33 - Réparation et installation de machines et d'équipements,so,so,74,so,0,0,0,so,0,0,0,so,0,0,0,so,358,358,16,45,0,0,0,so,2,2,1,966,4,4,4,1027,2349,2336,2,1,0,0,0,so,29,29,2,53,s,539,49,91
