Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Toutes régions,so,so,15894,so,8338,8393,1081,130,370,424,45,122,455,482,122,268,146119,146119,4755,33,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,2114,3467,84,40,23929,23929,681,28,109823,113044,7161,65
Ile-de-France,so,so,704,so,44,49,6,131,0,0,0,so,1,2,0,351,9458,9458,300,32,s,s,s,s,6,6,5,860,4,4,3,570,11055,11483,8,1,s,s,s,s,153,153,3,20,5444,5463,376,69
Picardie,so,so,739,so,26,27,3,123,55,55,6,108,20,20,6,311,9781,9781,325,33,0,0,0,so,27,27,22,826,55,55,28,504,9352,9326,7,1,s,s,s,s,1819,1819,54,30,4004,4557,288,72
Haute-Normandie,so,so,1257,so,s,s,s,s,0,0,0,so,3,3,1,270,15293,15293,474,31,s,s,s,s,s,s,s,s,59,60,30,506,9135,9114,7,1,306,343,12,40,2894,2894,89,31,6086,6311,380,62
Centre,so,so,491,so,29,30,3,110,0,0,0,so,3,3,1,276,5276,5276,180,34,61,66,8,127,9,9,8,883,23,24,12,518,10999,11146,9,1,39,135,2,44,0,0,0,so,s,3788,268,73
Basse-Normandie,so,so,275,so,0,0,0,so,0,0,0,so,s,s,s,s,2585,2585,91,35,s,s,s,s,11,11,11,935,s,s,s,s,9066,8936,7,1,s,s,s,s,s,s,s,s,2096,2110,155,74
Bourgogne,so,so,318,so,0,0,0,so,0,0,0,so,0,0,0,so,3143,3143,109,35,0,0,0,so,6,6,5,896,s,s,s,s,s,s,s,s,s,s,s,s,166,166,7,41,s,2588,186,73
Nord-Pas-de-Calais,so,so,2099,so,s,s,s,s,s,s,s,s,109,133,24,223,17873,17873,562,31,141,146,31,222,s,s,s,s,28,29,15,523,28212,28435,21,1,s,s,s,s,1467,1467,40,28,s,16768,854,52
Lorraine,so,so,1136,so,1364,1408,192,141,110,161,16,141,197,200,47,238,10088,10088,320,32,s,s,s,s,s,s,s,s,4,3,2,568,18335,18311,14,1,110,296,5,43,707,707,22,31,8318,8533,511,61
