ID,NAF,Houille,Houille,Houille,Houille,Houille,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Vapeur,Vapeur,Vapeur,Vapeur,Vapeur
ID,NAF,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
_T,Total,1285,3824,79,8,5196,156,2,13,0,172,260,61,0,0,322,8745,816,446,1244,11251,710,55,0,1,766,189,1786,2,75,2052,584,s,29,s,700,87,6,20,153,266,985,s,s,1,1107,635,s,s,s,804,743,0,72,76,891,308,0,s,s,324,344,s,s,6,353,1585,so,29,110,1723
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,51,0,0,0,0,0,6,0,0,0,6,s,s,0,0,4,29,s,s,37,70,s,s,0,s,s,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,7,0,0,1,8,s,so,0,0,s
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",s,0,s,s,s,71,s,s,0,s,15,2,0,0,17,2015,0,230,117,2362,0,0,0,0,0,71,0,s,s,85,142,0,14,2,158,11,s,11,s,30,0,0,0,0,0,0,0,0,0,0,73,0,0,0,73,s,0,0,s,s,s,s,0,0,s,155,so,s,s,166
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,s,0,s,75,0,0,0,0,0,5,s,s,3,8,s,0,s,0,2,2,0,1,2,5,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,s,so,0,s,20
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,s,s,0,s,s,0,0,0,0,0,0,0,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,0,s
13,Fabrication de textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,s,s,109,0,0,0,0,0,s,0,s,1,4,2,0,s,s,3,s,0,0,1,s,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
14,Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,s,s,16,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
15,Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,0,0,0,0,0,s,0,0,1,s,0,0,0,0,0,s,0,s,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,s,s,s,57,0,0,0,0,0,s,0,0,2,s,0,0,s,s,1,2,0,0,8,10,0,0,0,0,0,0,s,0,s,s,265,0,s,s,s,0,0,0,s,s,0,0,0,0,0,s,so,0,0,s
17,Industrie du papier et du carton,s,0,s,s,s,0,0,0,0,0,0,0,0,0,0,850,s,s,48,938,0,0,0,0,0,s,0,s,5,7,s,0,s,s,s,2,s,s,4,s,0,0,0,s,s,635,s,s,0,s,219,0,57,2,278,s,0,s,0,109,s,0,s,0,5,391,so,s,s,416
18,Imprimerie et reproduction d'enregistrements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,s,s,18,56,0,0,0,0,0,4,0,0,1,5,s,0,0,s,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,5,s,0,so,0,s,s
20,Industrie chimique,374,0,s,s,378,s,0,0,0,s,s,0,0,0,s,2279,791,152,83,3304,s,0,0,0,s,8,1781,0,2,1792,s,s,s,s,294,6,0,1,8,14,s,s,s,s,1024,0,s,0,0,s,s,0,s,s,68,51,0,0,0,51,7,s,0,s,s,798,so,17,20,835
21,Industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,s,0,s,177,0,0,0,0,0,0,0,0,s,s,0,0,0,s,s,0,0,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,92,so,0,6,98
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,s,s,66,213,0,0,0,0,0,4,0,0,6,10,13,s,s,s,15,1,0,1,5,7,0,0,0,s,s,0,0,0,0,0,s,0,s,3,s,0,0,0,0,0,0,0,0,0,0,62,so,0,13,75
23,Fabrication d'autres produits minéraux non métalliques,179,0,0,0,179,s,s,0,0,45,s,s,0,0,30,1438,s,s,s,1525,623,s,0,s,627,12,0,s,s,17,158,0,0,0,158,9,0,1,21,32,s,s,0,s,67,0,0,0,0,0,s,0,0,s,68,98,0,0,0,98,322,0,0,0,322,3,so,0,1,4
24,Métallurgie,s,3824,s,s,s,s,s,0,0,s,148,55,0,0,203,940,0,0,93,1033,s,s,0,s,s,11,s,s,s,15,13,0,s,s,14,14,s,s,8,23,0,s,0,0,s,0,0,0,0,0,s,0,0,s,39,s,0,0,0,s,0,0,0,0,0,19,so,0,4,23
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,0,0,0,s,0,s,s,0,s,s,s,0,0,s,227,1,0,152,379,0,0,0,0,0,29,0,0,14,44,0,0,s,s,s,s,0,s,12,14,s,s,0,s,0,0,0,0,0,0,s,0,0,1,s,s,0,0,0,s,s,0,0,s,1,1,so,0,1,2
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,40,51,0,0,0,0,0,s,0,0,s,0,0,0,0,s,s,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,1,1
27,Fabrication d'équipements électriques,0,0,0,0,0,0,0,0,0,0,11,s,0,0,s,s,0,s,63,134,0,s,0,0,s,s,0,s,5,6,s,0,s,s,1,0,s,s,4,5,0,0,0,0,0,0,0,0,0,0,s,0,0,s,s,s,0,0,0,s,s,s,0,0,s,0,so,0,1,1
28,Fabrication de machines et équipements n.c.a.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,s,107,194,0,0,0,0,0,6,s,s,3,9,s,0,s,0,1,2,1,1,6,10,0,s,0,0,s,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,s,0,s,0,0,so,0,s,s
29,Industrie automobile,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,174,1,3,137,315,0,0,0,0,0,6,s,0,s,13,s,0,0,s,0,1,s,s,3,s,s,0,s,0,s,0,0,0,0,0,s,0,0,1,s,0,0,0,0,0,0,0,0,0,0,2,so,0,16,18
30,Fabrication d'autres matériels de transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,s,s,94,140,0,0,0,0,0,0,2,0,1,3,s,0,0,0,s,1,s,s,3,s,s,0,s,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,s,so,0,s,7
31,Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,13,19,0,0,0,0,0,10,0,0,2,12,0,0,0,0,0,1,0,0,8,9,0,0,0,0,0,0,0,0,0,0,3,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
32,Autres industries manufacturières,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,25,0,0,0,0,0,s,s,0,s,1,0,0,0,0,0,s,0,s,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,20,28,0,0,0,0,0,s,0,0,s,2,s,0,0,s,3,s,0,s,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,so,0,1,2
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,5,41,0,0,0,0,0,1,0,0,0,1,1,0,s,s,1,3,s,s,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,s,0,s,0,0,0,0,0,18,so,0,0,18
