reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,518,237,755,591.0,112.0,14970.0,17655,8998,2385,2937,1652,1684.0,,
BFC,Bourgogne-Franche-Comté,,,,,3.0,3263.0,5854,3496,339.0,15.0,376,712.0,,
BRE,Bretagne,29,1,30,1,28,4262,4291,2795,341,30,355,769.0,,
CVL,Centre-Val de Loire,132,0,132,,,,3788,2773,403,43,276,293.0,,
DOM,Départements d’Outre-mer,,,,0,11,409,420,304,26,0,18,72.0,,
FRA,France,5310,620,5930,2709,3221,109823,113044,72487,10121,11516,8517,10403.0,,
GRE,Grand Est,,,,462,279,13249,13529,10108,1673,48.0,623,626.0,,
HDF,Hauts-de-France,,,,4.0,553.0,4004.0,21325,12726,1188,4928,822,1661.0,,
IDF,Ile-de-France,,,,49,18,5444,5463,3300,620,96,678,768.0,,
NOA,Nouvelle-Aquitaine,424,3,427,259.0,145.0,7058.0,8111,5713,907,347,404,741.0,,
NOR,Normandie,14.0,0.0,14.0,218,239,8182,8421,6706,558,55,385,717.0,,
OCC,Occitanie,,,,51.0,233.0,2483.0,4457,2802,363,,95.0,308.0,,
PAC,Provence-Alpes-Côte d'Azur,,,,37,860,9505,10365,6201,,1408,,485.0,,
PAL,Pays de la Loire,97,5,102,60,43,5980,6022,4094,594,48,471,816.0,,
