"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie en 2014",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Électricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,15175,so,8232,8331,946,115,s,s,0,s,690,678,158,228,139208,139208,4188,30,970,971,127,130,2410,2403,1423,591,s,s,0,s,298483,298069,215,0.72,2193,3328,94,43,21999,21999,595,27,107669,110705,7140,66
E12 - Industrie laitière,so,so,476,so,0,0,0,so,0,0,0,so,0,0,0,so,5639,5639,183,32,0,0,0,so,20,19,13,653,33,34,17,524,6225,5994,4,0.69,s,s,0,s,304,304,8,25,3264,3281,244,75
E13 - Sucreries,so,so,248,so,79,78,7,91,s,s,0,s,19,20,4,228,5954,5954,171,29,s,s,0,s,0,0,0,1424,s,s,0,s,4002,3916,3,0.71,0,1,0,26,884,884,11,12,s,801,31,85
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1819,so,56,56,6,109,170,170,16,92,0,0,0,so,19898,19898,639,32,0,0,0,so,58,60,42,717,39,40,22,550,27812,27377,20,0.72,167,181,9,54,1151,1151,30,26,s,14366,1036,74
E16 - Sidérurgie,so,so,1708,so,s,s,0,s,s,s,0,s,272,259,50,185,7991,7991,224,28,18,17,4,210,3,3,3,778,s,s,0,s,15991,15880,10,0.64,s,s,0,s,239,239,6,24,11400,12228,559,49
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,354,so,s,s,0,s,s,s,0,s,0,0,0,so,3238,3238,96,30,108,108,28,257,2,2,1,759,5,5,2,495,4910,4927,4,0.72,0,0,0,so,s,s,0,s,s,s,0,s
