"NV_REG_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la région (nouvelle région) en 2014",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Électricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Région,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,so,so,15175,so,8232,8331,946,115,s,s,0,s,690,678,158,228,139208,139208,4188,30,970,971,127,130,2410,2403,1423,591,s,s,0,s,298483,298069,215,0.72,2193,3328,94,43,21999,21999,595,27,107669,110705,7140,66
Île-de-France,so,so,637,so,47,44,5,116,0,0,0,so,2,2,1,318,8143,8143,233,29,20,20,3,139,6,6,4,791,1,1,1,553,11982,11808,9,0.71,s,s,0,s,37,37,2,45,s,5277,380,72
Centre-Val de Loire,so,so,448,so,35,34,4,102,0,0,0,so,3,3,1,232,4663,4663,151,32,67,66,8,126,7,7,6,813,5,7,2,461,10356,10502,8,0.76,28,125,1,40,12,12,1,42,s,3650,266,74
Bourgogne-Franche-Comté,so,so,727,so,s,s,16,s,0,0,0,so,s,s,0,s,6131,6131,204,66,s,s,0,s,s,s,11,s,s,s,3,s,16430,16554,12,1.41,67,196,2,40,s,s,4,s,s,s,203,s
Normandie,so,so,1664,so,s,s,0,s,0,0,0,so,s,s,0,s,s,s,92,s,s,s,0,s,s,s,0,s,55,58,22,858,18996,19282,14,1.45,s,s,3,s,3016,3016,88,61,8387,8676,558,139
Nord-Pas-de-Calais-Picardie,so,so,2662,so,s,s,3,s,s,s,0,s,s,s,53,s,s,s,259,s,s,s,31,s,s,s,23,s,62,63,30,1024,33698,33333,24,1.39,s,s,0,s,2692,2692,79,58,s,21299,1189,127
