NV_REG_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région (nouvelle région) en 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Région,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,s,3916,s,s,5157,s,s,0,0,s,262,s,0,s,452,8540,800,356,1002,10719,712,s,0,s,740,152,2409,1,69,2632,s,s,12,12,s,75,6,16,152,252,s,s,s,1,1261,s,s,s,s,s,725,0,78,52,855,244,0,s,15,s,s,s,s,141,495,1480,so,17,86,1584
Île-de-France,s,s,0,s,27,0,0,0,0,0,s,s,0,0,1,386,s,7,s,627,13,s,0,s,15,5,s,0,s,7,1,0,0,0,1,2,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,0,0,0,s,0,0,0,138,138,1,so,s,s,3
Centre-Val de Loire,s,s,0,0,21,0,0,0,0,0,s,s,0,0,2,292,s,s,51,359,50,0,0,0,50,4,0,s,s,8,6,0,1,0,6,s,s,1,6,9,0,0,0,0,0,0,0,0,0,0,30,0,0,2,32,6,0,0,0,6,2,0,0,0,2,0,so,0,1,1
Bourgogne-Franche-Comté,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,354,s,s,s,472,s,0,0,0,s,12,0,s,s,s,s,0,0,s,s,4,1,0,8,14,s,0,0,s,s,0,0,0,0,0,38,0,4,8,50,s,0,0,s,s,s,0,0,s,s,s,so,0,s,s
Normandie,s,0,s,s,s,0,0,0,0,0,s,0,0,0,s,831,346,s,s,s,s,0,0,0,s,7,s,1,5,s,s,0,6,s,56,3,1,2,11,16,s,s,0,0,s,0,0,0,0,0,108,0,11,s,s,s,0,s,0,s,s,0,s,0,s,208,so,s,s,217
Nord-Pas-de-Calais-Picardie,s,s,0,0,s,s,s,0,0,s,s,s,0,0,s,1654,s,s,s,s,s,s,0,0,s,13,s,s,s,s,s,0,s,s,59,12,0,0,15,28,s,s,0,1,s,0,0,0,0,0,s,0,0,s,s,5,0,0,0,5,s,s,0,0,s,182,so,s,s,193
Alsace-Champagne-Ardenne-Lorraine,s,0,s,0,s,132,0,0,0,132,138,s,0,s,190,1898,s,s,s,2284,s,s,0,0,s,8,3,0,12,23,12,0,0,0,13,s,s,s,24,39,s,s,0,0,s,0,0,0,0,0,188,0,s,s,s,s,0,0,s,s,s,s,0,s,s,s,so,s,s,s
