"NV_REG_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la région (nouvelle région) en 2014",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateurs,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
Région,,,,,,,,,,,
Toutes régions,s,s,1840,3036,107669,110705,71714,11085,10553,7037,9795
Île-de-France,55,0,s,s,s,5277,2970,634,82,700,857
Centre-Val de Loire,93,0,s,s,s,3650,2585,397,36,264,342
Bourgogne-Franche-Comté,2,0,0,3,2762,2764,3804,575,21,397,460
Normandie,453,0,164,289,8387,8676,6906,610,69,426,640
Nord-Pas-de-Calais-Picardie,449,0,0,449,4075,21299,12465,1505,5174,788,1313
Alsace-Champagne-Ardenne-Lorraine,314,1,355,348,13182,13421,12664,2172,56,548,766
Pays de la Loire,83,4,43,43,5912,5955,4012,658,55,426,793
Bretagne,s,s,1,15,4203,4218,2652,341,31,343,834
Aquitaine-Limousin-Poitou-Charentes,396,3,0,20,1051,7998,5479,896,321,471,766
Languedoc-Roussillon-Midi-Pyrénées,s,s,s,s,s,2884,2665,368,25,386,610
Auvergne-Rhône-Alpes,89,82,81,90,14149,16746,8988,2639,1641,1574,1874
PACA et Corse,973,0,s,s,s,8798,6231,266,1529,280,464
DOM,s,s,2,9,427,437,293,23,0,39,75
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2014.",,,,,,,,,,,
