TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement en 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Indicateurs,Nombre d'établissements,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,20876,5157,s,452,10719,740,2632,s,252,20629,1261,s,855,s,495,3663,24292,1584,9521,35397,483,711,34202
20 à 49 employés,11695,19,s,13,882,s,72,84,103,1253,18,24,68,29,141,279,1532,47,1027,2606,ns,ns,2580
50 à 99 employés,4294,126,87,62,1104,199,109,50,55,1792,s,0,96,s,131,479,2271,129,1194,3594,ns,ns,3565
100 à 249 employés,3311,323,s,65,3330,s,75,111,s,4366,28,s,302,s,210,687,5052,446,2381,7879,ns,ns,7733
250 à 499 employés,1054,323,s,100,2946,s,998,217,s,4657,s,696,343,s,10,1376,6033,617,2348,8998,ns,ns,8238
500 employés ou plus,521,4366,s,212,2457,s,1377,s,s,8561,786,s,48,s,4,843,9404,345,2570,12319,ns,ns,12085
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2014.",,,,,,,,,,,,,,,,,,,,,,,
