"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement en 2014",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Électricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,15175,so,8232,8331,946,115,s,s,0,s,690,678,158,228,139208,139208,4188,30,970,971,127,130,2410,2403,1423,591,s,s,0,s,298483,298069,215,0.72,2193,3328,94,43,21999,21999,595,27,107669,110705,7140,66
20 à 49 employés,so,so,1609,so,31,30,3,105,s,s,0,s,20,20,5,239,11456,11456,394,34,s,s,0,s,62,66,47,761,78,88,38,493,122823,121494,91,0.74,141,263,6,46,647,647,17,26,11928,11947,989,83
50 à 99 employés,so,so,1779,so,210,204,23,109,215,216,22,100,93,93,15,162,14333,14333,486,34,264,261,29,108,100,100,64,643,51,53,25,492,63642,64640,45,0.7,235,372,10,41,1795,1795,49,27,13799,13884,1012,73
100 à 249 employés,so,so,3644,so,532,521,74,139,s,s,0,s,97,97,29,295,43243,43243,1281,30,s,s,0,s,68,68,51,755,114,117,57,502,s,s,0,s,832,1174,34,41,6201,6201,170,27,27086,27682,1854,68
250 à 499 employés,so,so,3748,so,524,522,47,91,s,s,0,s,148,150,34,227,38263,38263,1119,29,s,s,0,s,920,912,557,605,211,228,100,475,s,s,0,s,909,1334,40,44,8568,8568,213,25,25870,27303,1599,62
500 employés ou plus,so,so,4395,so,6935,7054,798,115,s,s,0,s,333,318,76,228,31913,31913,909,28,s,s,0,s,1259,1258,703,559,s,s,0,s,s,s,0,s,75,185,5,61,4789,4789,146,30,28986,29889,1686,58
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie en 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
