Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Électricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Total industrie,so,so,15175,so,8232,8331,946,115,s,s,0,s,690,678,158,228,139208,139208,4188,30,970,971,127,130,2410,2403,1423,591,s,s,0,s,298483,298069,215,0.72,2193,3328,94,43,21999,21999,595,27,107669,110705,7140,66
07 - Extraction de minerais métalliques,so,so,2,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,0,s,688,696,2,2.61,0,0,0,so,0,0,0,so,0,3,0,156
08 - Autres industries extractives,so,so,145,so,0,0,0,so,0,0,0,so,0,0,0,so,659,659,22,33,0,0,0,so,3,3,2,696,3,4,2,651,75123,75547,53,0.71,s,s,0,s,s,s,0,s,s,s,0,s
10 - Industries alimentaires,so,so,2349,so,135,134,13,99,s,s,0,s,s,s,0,s,30157,30157,943,31,s,s,0,s,69,70,48,705,104,106,55,526,33639,33111,24,0.71,254,268,14,57,2030,2030,41,20,s,16837,1187,74
11 - Fabrication de boissons,so,so,188,so,0,0,0,so,0,0,0,so,0,0,0,so,1305,1305,49,38,0,0,0,so,9,9,6,680,1,1,1,602,4400,4177,3,0.78,31,31,1,46,308,308,7,23,1572,1573,120,77
12 - Fabrication de produits à base de tabac,so,so,5,so,0,0,0,so,0,0,0,so,0,0,0,so,30,30,1,37,0,0,0,so,0,0,0,1055,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,38,38,3,88
13 - Fabrication de textiles,so,so,140,so,0,0,0,so,0,0,0,so,0,0,0,so,1235,1235,45,37,0,0,0,so,4,4,3,682,s,s,0,s,1914,1953,1,0.68,0,0,0,so,s,s,0,s,s,s,0,s
14 - Industrie de l'habillement,so,so,21,so,0,0,0,so,0,0,0,so,0,0,0,so,169,169,7,40,0,0,0,so,0,5,0,1010,0,0,0,so,1548,1479,1,0.71,0,0,0,so,0,0,0,so,s,140,13,91
15 - Industrie du cuir et de la chaussure,so,so,17,so,0,0,0,so,0,0,0,so,0,0,0,so,72,72,4,49,0,0,0,so,1,1,1,678,0,0,0,755,1448,1409,1,0.73,0,0,0,78,0,0,0,so,111,111,11,99
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,179,so,0,0,0,so,0,0,0,so,0,0,0,so,655,655,22,33,0,0,0,so,3,4,2,687,1,1,1,645,14097,13920,10,0.72,339,1006,11,33,129,129,2,19,1736,1739,131,75
17 - Industrie du papier et du carton,so,so,1010,so,s,s,0,s,0,0,0,so,0,0,0,so,11823,11823,345,29,0,0,0,so,s,s,0,s,s,s,0,s,6213,6275,4,0.72,893,1160,41,46,5729,5729,128,22,s,8742,462,59
18 - Imprimerie et reproduction d'enregistrements,so,so,117,so,0,0,0,so,0,0,0,so,0,0,0,so,538,538,20,37,0,0,0,so,2,2,2,890,0,0,0,so,1852,1844,1,0.74,0,0,0,so,s,s,0,s,s,s,0,s
20 - Industrie chimique,so,so,3891,so,648,641,56,86,s,s,0,s,s,s,0,s,39566,39566,1031,26,s,s,0,s,2216,2205,1276,576,206,237,92,446,17122,17152,12,0.7,251,283,9,35,10609,10609,328,31,s,19096,1065,57
21 - Industrie pharmaceutique,so,so,295,so,0,0,0,so,0,0,0,so,0,0,0,so,2187,2187,76,35,0,0,0,so,s,s,0,s,s,s,0,s,1276,1274,1,0.69,0,0,0,so,1085,1085,32,29,s,2581,186,72
22 - Fabrication de produits en caoutchouc et en plastique,so,so,684,so,0,0,0,so,0,0,0,so,0,0,0,so,2894,2894,101,35,0,0,0,so,12,12,10,833,8,8,4,519,7171,7315,5,0.72,0,61,0,102,845,845,24,28,7038,7079,541,77
23 - Fabrication d'autres produits minéraux non métalliques,so,so,1345,so,s,s,0,s,128,129,14,111,51,52,16,322,19495,19495,561,29,840,842,94,111,s,s,0,s,123,123,57,463,36415,36214,26,0.72,257,263,7,28,181,181,5,29,8121,8130,528,65
24 - Métallurgie,so,so,2413,so,s,s,0,s,s,s,0,s,501,488,110,220,13809,13809,406,29,s,s,0,s,10,10,8,755,7,8,4,535,25486,25328,17,0.68,s,s,0,s,341,341,8,23,19710,20541,974,49
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,652,so,s,s,0,s,s,s,0,s,s,s,0,s,4424,4424,168,38,0,0,0,so,30,28,23,775,s,s,0,s,10947,11336,8,0.7,1,4,0,248,57,57,2,34,5397,5400,446,83
"26 - Fabrication de produits informatiques, électroniques et optiques",so,so,181,so,0,0,0,so,0,0,0,so,0,0,0,so,562,562,24,42,0,0,0,so,1,1,1,874,0,0,0,756,1224,1268,1,0.67,0,0,0,so,5,5,0,60,s,2185,155,71
27 - Fabrication d'équipements électriques,so,so,239,so,0,0,0,so,0,0,0,so,s,s,0,s,1449,1449,55,38,0,0,0,so,8,7,7,852,s,s,0,s,5066,4941,4,0.7,s,s,0,s,14,14,0,30,s,2123,168,79
28 - Fabrication de machines et équipements n.c.a.,so,so,308,so,0,0,0,so,0,0,0,so,0,0,0,so,1853,1853,76,41,0,0,0,so,8,7,7,896,1,1,1,632,13131,12687,10,0.77,0,5,0,141,0,0,0,so,s,2511,214,86
29 - Industrie automobile,so,so,460,so,0,0,0,so,0,0,0,so,s,s,0,s,3355,3355,119,35,0,0,0,so,9,9,7,751,s,s,0,s,4401,4530,3,0.72,3,6,0,65,191,191,5,27,4485,4490,320,71
30 - Fabrication d'autres matériels de transport,so,so,225,so,0,0,0,so,0,0,0,so,0,0,0,so,1321,1321,54,41,0,0,0,so,3,3,2,770,1,1,0,432,4648,4680,3,0.69,s,s,0,s,84,84,4,50,2074,2081,160,77
31 - Fabrication de meubles,so,so,59,so,0,0,0,so,0,0,0,so,0,0,0,so,194,194,9,44,0,0,0,so,2,2,2,892,0,0,0,so,8952,8751,7,0.81,2,76,0,36,0,0,0,so,450,450,42,92
32 - Autres industries manufacturières,so,so,77,so,0,0,0,so,0,0,0,so,0,0,0,so,381,381,15,38,0,0,0,so,1,1,1,845,0,0,0,so,518,520,0,0.68,0,0,0,so,0,0,0,so,771,771,61,79
33 - Réparation et installation de machines et d'équipements,so,so,72,so,0,0,0,so,0,0,0,so,0,0,0,so,243,243,11,45,0,0,0,so,0,0,0,1103,0,0,0,972,1621,1712,1,0.75,0,0,0,so,34,34,1,38,569,569,58,102
38 - Récupération,so,so,102,so,0,0,0,so,0,0,0,so,0,0,0,so,831,831,27,32,0,0,0,so,1,1,1,863,9,9,5,580,19584,19950,14,0.71,0,0,0,140,151,151,2,15,566,567,53,93
