Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Électricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Toutes régions,so,so,15175,so,8232,8331,946,115,s,s,0,s,690,678,158,228,139208,139208,4188,30,970,971,127,130,2410,2403,1423,591,s,s,0,s,298483,298069,215,0.72,2193,3328,94,43,21999,21999,595,27,107669,110705,7140,66
Île-de-France,so,so,637,so,47,44,5,116,0,0,0,so,2,2,1,318,8143,8143,233,29,20,20,3,139,6,6,4,791,1,1,1,553,11982,11808,9,0.71,s,s,0,s,37,37,2,45,s,5277,380,72
Picardie,so,so,666,so,28,28,3,107,s,s,0,s,s,s,0,s,8588,8588,259,30,s,s,0,s,27,27,23,858,51,51,24,471,9210,9219,7,0.71,7,9,0,32,1546,1546,48,31,4075,4524,298,73
Haute-Normandie,so,so,1385,so,s,s,0,s,0,0,0,so,s,s,0,s,s,s,0,s,s,s,0,s,s,s,0,s,48,50,19,400,8595,8772,6,0.72,s,s,0,s,2959,2959,86,29,6275,6540,397,63
Centre,so,so,448,so,35,34,4,102,0,0,0,so,3,3,1,232,4663,4663,151,32,67,66,8,126,7,7,6,813,5,7,2,461,10356,10502,8,0.76,28,125,1,40,12,12,1,42,s,3650,266,74
Basse-Normandie,so,so,279,so,0,0,0,so,0,0,0,so,s,s,0,s,2711,2711,92,34,s,s,0,s,s,s,0,s,7,8,3,458,10401,10510,8,0.73,44,67,3,58,57,57,2,32,2112,2136,161,76
Bourgogne,so,so,336,so,s,s,0,s,0,0,0,so,0,0,0,so,3497,3497,117,33,0,0,0,so,s,s,0,s,s,s,0,s,8162,8169,6,0.71,40,126,1,18,95,95,4,41,2762,2764,203,73
Nord-Pas-de-Calais,so,so,1996,so,s,s,0,s,s,s,0,s,287,274,53,185,s,s,0,s,152,151,31,206,s,s,0,s,11,12,6,553,24488,24114,17,0.68,s,s,0,s,1146,1146,31,27,s,16775,891,54
Lorraine,so,so,1085,so,s,s,0,s,121,118,15,127,265,264,61,231,9680,9680,284,29,s,s,0,s,5,5,4,784,2,2,1,538,16614,16065,12,0.72,s,s,0,s,741,741,21,29,8105,8305,506,62
