ID,NAF,Houille,Houille,Houille,Houille,Houille,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Lignite - charbon pauvre,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Coke de houille,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Gaz de réseau,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Coke de pétrole,Butane propane,Butane propane,Butane propane,Butane propane,Butane propane,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul lourd,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Fioul domestique,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Autres produits pétroliers,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Liqueurs noires,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Combustibles spéciaux non renouvelables,Vapeur,Vapeur,Vapeur,Vapeur,Vapeur
ID,NAF,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
_T,Total,s,3916,s,s,5157,s,s,0,0,s,262,s,0,s,452,8540,800,356,1002,10719,712,s,0,s,740,152,2409,1,69,2632,s,s,12,12,s,75,6,16,152,252,s,s,s,1,1261,s,s,s,s,s,725,0,78,52,855,244,0,s,15,s,s,s,s,141,495,1480,so,17,86,1584
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,1,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,51,0,0,0,0,0,3,0,0,0,3,s,s,0,0,3,20,3,0,39,64,s,5,0,s,6,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,s,0,0,0,s,s,so,0,s,s
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",s,s,s,0,83,s,0,0,0,s,12,s,0,0,s,2019,8,198,95,2322,s,0,0,0,s,62,1,0,13,77,s,s,7,2,101,11,0,8,9,28,s,0,0,s,0,0,0,0,0,0,69,0,0,0,69,s,0,0,s,13,0,0,0,0,0,143,so,0,3,146
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,11,100,0,0,0,0,0,5,0,0,4,10,s,0,0,s,1,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,s,0,0,s,18,0,0,0,0,0,6,so,0,17,22
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
13,Fabrication de textiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,17,95,0,0,0,0,0,3,0,0,1,4,2,0,0,s,s,0,s,s,1,2,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
14,Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,s,0,s,13,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
15,Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
