reg_code,reg_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
ARA,Auvergne-Rhône-Alpes,3744,144.0,1253,,109.0,45,51,33,,1643,15,0,66,,29.0,47.0,175,248.0,,3507,,,3472
BFC,Bourgogne-Franche-Comté,1332,104.0,472,,0.0,17.0,5.0,14,,634,0.0,0,50,,0.0,0.0,63,7.0,,1238,,,1233
BRE,Bretagne,1111,0.0,403,,0,,24,15,,478,,,,,,0,41,36.0,,918,,,910
CVL,Centre-Val de Loire,1129,23,359,,50,8,6,9,,455,0,0,32,,6,2,40,1.0,,810,,,794
DOM,Départements d’Outre-mer,275,0,1,,0,1,1,10,,12,,0,,,9,1,11,68.0,,129,,,128
FRA,France,20876,5609.0,10719,,740,2632,,252,,20629,1261,,855,,,495,3663,1584.0,,35397,483,711,34202
GRE,Grand Est,1585,226.0,1823,,19.0,14,7,25,,2941,,0,,,24,,548,102.0,,4744,,,4618
HDF,Hauts-de-France,2015,201.0,661.0,,115.0,29.0,59,28,,4841,6.0,0,2.0,,5,1.0,353,193.0,,7220,,,7036
IDF,Ile-de-France,1708,28,627,,15,7,1,10,,688,0,0,,,,138,142,3.0,,1287,,,1279
NOA,Nouvelle-Aquitaine,2045,45.0,552,,56.0,15.0,118.0,26,,880,6,507,183.0,,21.0,30.0,798,333.0,,2699,,,2538
NOR,Normandie,1337,0.0,209.0,,,,56,16,,2382,509.0,0,17.0,,,31.0,705,217.0,,4049,,,3922
OCC,Occitanie,1343,67.0,333,,24.0,4.0,17,17,,510,0.0,0.0,21.0,,,38.0,273,25.0,,1220,,,1194
PAC,Provence-Alpes-Côte d'Azur,825,0.0,,,108,1289,143,17,,3912,137,,,,11,,337,208.0,,5213,,,4787
PAL,Pays de la Loire,1798,,462,,57,26,,18,,591,,0,,,19,,89,82.0,,1274,,,1253
