reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,89.0,82,171.0,81.0,90.0,14149.0,16746.0,8988,2639,1641.0,1574.0,1874,,
BFC,Bourgogne-Franche-Comté,2.0,0.0,2.0,0.0,3,2762.0,2764.0,3804,575,21.0,397.0,460,,
BRE,Bretagne,,,,1,15,4203,4218.0,2652,341,31.0,343.0,834,,
CVL,Centre-Val de Loire,93,0,93,,,,3650.0,2585,397,36.0,264.0,342,,
DOM,Départements d’Outre-mer,,,,2,9,427,437.0,293,23,0.0,39.0,75,,
FRA,France,,,,1840,3036,107669,110705.0,71714,11085,10553.0,7037.0,9795,,
GRE,Grand Est,180.0,1.0,181.0,331,238,13182,13421.0,10235,1632,56.0,322.0,567,,
HDF,Hauts-de-France,449.0,0.0,449.0,0.0,449.0,4075.0,21299.0,12465,1505,5174.0,788.0,1313,,
IDF,Ile-de-France,55,0,55,,,,5277.0,2970,634,82.0,700.0,857,,
NOA,Nouvelle-Aquitaine,396.0,3.0,399.0,0.0,20.0,1051.0,7998.0,5479,896,321.0,471.0,766,,
NOR,Normandie,453,0,453,164,289,8387,8676.0,6906,610,69.0,426.0,640,,
OCC,Occitanie,,,,,,,2884.0,2665,368,25.0,386.0,610,,
PAC,Provence-Alpes-Côte d'Azur,973,0,973,,,,8798.0,6231,266,1529.0,280.0,464,,
PAL,Pays de la Loire,83,4,87,43,43,5912,5955.0,4012,658,55.0,426.0,793,,
