"TEFF_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateurs,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
Tranche d'effectif salarié,,,,,,,,,,,
Total industrie,4725,387,1168,3935,107783,111718,70492,11465,11851,7976,9934
20 à 49 salariés,16,6,14,8,11173,11181,7149,943,227,1618,1245
50 à 99 salariés,s,s,31,68,14543,14611,10004,1107,1132,1030,1339
100 à 249 salariés,759,158,137,779,27256,28036,17738,4117,918,2343,2921
250 à 499 salariés,2025,99,511,1613,24973,26587,17128,2903,2819,1200,2537
500 salariés ou plus,s,s,474,1467,29837,31304,18473,2397,6755,1786,1892
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,
