TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Houille,,,,,Lignite - charbon pauvre,,,,,Coke de houille,,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Autres produits pétroliers,,,,,Liqueurs noires,,,,,Bois et sous-produit du bois,,,,,Combustibles spéciaux renouvelables,,,,,Combustibles spéciaux non renouvelables,,,,,Vapeur,,,,
Indicateurs,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,1661,4027,68,10,5766,s,s,13,0,s,316,s,0,s,423,8076,1064,305,1104,10548,638,30,0,1,669,120,2362,0,69,2551,s,s,19,7,s,75,5,13,156,249,s,s,2,1,1272,s,s,s,0,s,780,0,57,81,919,258,3,7,s,s,s,s,0,s,s,1614,so,18,72,1704
20 à 49 salariés,s,0,0,0,s,17,0,0,0,17,s,s,0,0,6,504,s,s,s,713,s,s,0,s,s,37,0,0,17,54,s,s,0,2,82,29,2,2,66,98,15,10,0,1,26,0,s,0,0,s,65,0,0,16,80,27,0,0,0,28,1,s,0,0,s,68,so,0,1,69
50 à 99 salariés,100,s,s,1,123,s,s,0,0,44,s,s,0,0,68,888,s,s,s,1090,s,s,0,0,165,28,1,s,s,42,47,0,0,1,48,13,1,3,29,46,s,s,s,0,s,0,0,0,0,0,118,0,0,7,125,65,s,s,0,s,113,s,0,s,113,125,so,s,s,138
100 à 249 salariés,s,s,s,0,s,45,0,13,0,59,s,s,0,0,59,2643,448,54,290,3435,368,12,0,0,380,38,4,0,24,67,107,0,3,3,114,17,s,4,37,s,25,s,0,s,31,s,0,0,0,s,305,0,s,s,346,106,0,0,s,s,s,s,0,s,222,536,so,s,s,554
250 à 499 salariés,337,s,s,8,351,25,s,0,0,s,21,s,0,s,71,2272,525,156,187,3140,s,s,0,s,s,11,805,0,9,826,194,0,s,s,209,5,s,3,12,s,s,s,0,s,s,s,s,s,0,719,272,0,37,9,318,s,s,s,0,s,s,s,0,s,s,517,so,s,s,534
500 salariés ou plus,s,3879,46,0,s,0,s,0,0,s,s,s,0,0,219,1769,15,88,299,2170,s,0,0,0,s,6,1552,s,s,1563,s,0,s,s,s,11,s,3,12,s,779,s,s,s,781,s,0,0,0,s,21,0,s,s,49,s,0,s,0,4,3,0,0,s,s,368,so,13,29,409
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
