Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Total industrie,so,so,14304,so,9478,9315,1054,111,s,s,s,s,625,635,146,233,136991,136991,3908,29,864,878,123,143,2334,2329,913,391,s,s,s,s,310325,294898,184,0.59,2183,3574,105,48,23671,23671,575,24,107783,111718,7066,66
07 - Extraction de minerais métalliques,so,so,1,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,s,s,0,0,0,so,0,0,0,so,s,0,0,149
08 - 09 - Industries extractives,so,so,133,so,0,0,0,so,0,0,0,so,0,0,0,so,494,494,16,32,0,0,0,so,2,2,1,535,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
10 - Industries alimentaires,so,so,2412,so,352,316,34,98,252,252,25,98,31,28,6,190,30462,30462,916,30,s,s,s,s,57,54,33,591,137,144,54,396,s,s,s,s,338,378,20,59,2838,2838,62,22,15968,17513,1234,77
11 - Fabrication de boissons,so,so,191,so,0,0,0,so,0,0,0,so,0,0,0,so,1235,1235,45,37,0,0,0,so,9,8,5,593,2,2,1,567,5706,5657,4,0.64,28,28,1,37,143,143,4,25,1650,1652,132,80
12 - Fabrication de produits à base de tabac,so,so,3,so,0,0,0,so,0,0,0,so,0,0,0,so,41,41,1,31,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,0,0,0,so,0,0,0,so,s,22,2,86
13 - Fabrication de textiles,so,so,139,so,0,0,0,so,0,0,0,so,0,0,0,so,1324,1324,48,36,0,0,0,so,3,3,2,551,2,2,1,408,3908,3876,2,0.58,0,0,0,so,0,0,0,so,1073,1073,86,81
14 - Industrie de l'habillement,so,so,18,so,0,0,0,so,0,0,0,so,0,0,0,so,154,154,6,39,0,0,0,so,0,1,0,833,0,0,0,513,819,691,1,0.63,0,0,0,so,0,0,0,so,126,127,11,86
15 - Industrie du cuir et de la chaussure,so,so,18,so,0,0,0,so,0,0,0,so,0,0,0,so,94,94,4,43,0,0,0,so,1,1,0,547,1,1,0,488,975,917,1,0.58,0,0,0,171,0,0,0,so,129,129,12,95
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,191,so,0,0,0,so,0,0,0,so,0,0,0,so,682,682,23,34,0,0,0,so,4,4,3,824,1,1,1,544,16149,14910,10,0.61,s,s,s,s,s,s,s,s,s,s,s,s
17 - Industrie du papier et du carton,so,so,928,so,36,36,3,94,0,0,0,so,0,0,0,so,11067,11067,301,27,0,0,0,so,5,5,4,662,41,40,13,314,6141,5857,4,0.59,967,1212,49,50,5244,5244,107,20,7703,8703,447,58
18 - Imprimerie et reproduction d'enregistrements,so,so,117,so,0,0,0,so,0,0,0,so,0,0,0,so,613,613,22,36,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,1090,1091,91,84
20 - Industrie chimique,so,so,3226,so,s,s,s,s,s,s,s,s,89,88,19,209,38632,38632,929,24,s,s,s,s,2163,2163,802,371,197,192,61,310,s,s,s,s,s,s,s,s,11992,11992,315,26,18769,19381,1019,54
21 - Industrie pharmaceutique,so,so,313,so,0,0,0,so,0,0,0,so,0,0,0,so,2177,2177,74,34,0,0,0,so,1,1,1,784,s,s,s,s,1250,1239,1,0.61,0,0,0,so,1359,1359,37,27,s,2779,201,72
22 - Fabrication de produits en caoutchouc et en plastique,so,so,651,so,0,0,0,so,0,0,0,so,0,0,0,so,2814,2814,100,36,0,0,0,so,10,9,7,700,9,9,3,398,6254,6221,4,0.58,0,71,0,56,826,826,18,22,s,6666,518,78
23 - Fabrication d'autres produits minéraux non métalliques,so,so,1243,so,288,292,27,94,83,83,9,104,53,53,17,314,17883,17883,479,27,705,728,83,118,12,11,8,679,154,156,49,318,30397,29765,18,0.6,s,s,s,s,262,262,8,29,s,8217,538,66
24 - Métallurgie,so,so,2413,so,s,s,s,s,s,s,s,s,424,436,97,228,13937,13937,367,26,s,s,s,s,8,8,5,570,s,s,s,s,s,s,s,s,s,s,s,s,300,300,7,23,20921,21597,946,45
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,613,so,s,s,s,s,s,s,s,s,s,s,s,s,4245,4245,158,37,0,0,0,so,29,28,20,693,2,2,1,505,s,s,s,s,1,5,0,81,15,15,1,46,4991,4994,422,85
"26 - Fabrication de produits informatiques, électroniques et optiques",so,so,190,so,0,0,0,so,0,0,0,so,0,0,0,so,586,586,29,50,0,0,0,so,0,0,0,699,0,0,0,750,2629,2713,1,0.57,0,0,0,267,10,10,1,68,s,2107,158,75
27 - Fabrication d'équipements électriques,so,so,213,so,0,0,0,so,0,0,0,so,s,s,s,s,1359,1359,52,38,0,0,0,so,3,3,2,704,1,0,0,535,s,s,s,s,s,s,s,s,7,7,0,45,s,1871,151,81
28 - Fabrication de machines et équipements n.c.a.,so,so,297,so,0,0,0,so,0,0,0,so,0,0,0,so,1793,1793,75,42,0,0,0,so,7,7,6,787,1,1,0,534,11934,10491,7,0.61,1,5,0,82,0,0,0,so,2352,2358,209,89
29 - Industrie automobile,so,so,450,so,0,0,0,so,0,0,0,so,s,s,s,s,3699,3699,123,33,0,0,0,so,8,8,5,611,0,0,0,781,s,s,s,s,s,s,s,s,158,158,5,29,4590,4601,312,68
30 - Fabrication d'autres matériels de transport,so,so,204,so,0,0,0,so,0,0,0,so,0,0,0,so,1302,1302,49,38,0,0,0,so,3,3,2,730,1,1,0,427,2630,2497,2,0.63,s,s,s,s,75,75,3,44,s,1845,145,79
31 - Fabrication de meubles,so,so,66,so,0,0,0,so,0,0,0,so,0,0,0,so,295,295,13,43,0,0,0,so,2,2,1,749,s,s,s,s,3232,3289,2,0.54,s,s,s,s,0,0,0,so,548,549,49,90
32 - Autres industries manufacturières,so,so,88,so,0,0,0,so,0,0,0,so,0,0,0,so,425,425,17,40,0,0,0,so,1,1,1,870,s,s,s,s,774,610,0,0.6,0,0,0,so,s,s,s,s,815,815,69,85
33 - Réparation et installation de machines et d'équipements,so,so,91,so,0,0,0,so,0,0,0,so,0,0,0,so,778,778,33,43,0,0,0,so,2,2,1,750,1,0,1,568,8543,8218,5,0.59,0,0,0,so,s,s,s,s,s,s,s,s
38 - Récupération,so,so,99,so,0,0,0,so,0,0,0,so,0,0,0,so,903,903,27,30,s,s,s,s,2,2,2,612,s,s,s,s,18043,16911,11,0.62,s,s,s,s,159,159,2,15,s,556,54,96
