"NAF_T4 :  Autoproduction, achats et consommation d'électricité par usage en GWh selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Indicateurs,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,
Total industrie,4561,441,1697,3306,110376,113682,70292,11833,12197,8049,11311
07 - Extraction de minerais métalliques,s,0,0,s,s,2,2,0,0,0,0
08 - 09 - Industries extractives,s,s,s,s,s,s,s,10,s,38,5
10 - Industries alimentaires,s,s,382,1268,16947,18215,12132,966,34,1015,4067
11 - Fabrication de boissons,27,2,2,27,1965,1993,1329,173,0,145,345
12 - Fabrication de produits à base de tabac,0,0,0,0,38,38,26,0,0,6,6
13 - Fabrication de textiles,0,6,0,6,1080,1086,830,77,1,91,87
14 - Industrie de l'habillement,s,s,s,s,s,123,92,4,0,24,3
15 - Industrie du cuir et de la chaussure,0,0,0,0,116,116,77,10,0,18,11
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",s,s,95,2,2078,2080,1802,65,1,177,36
17 - Industrie du papier et du carton,1296,92,534,853,7753,8606,8185,66,5,199,151
18 - Imprimerie et reproduction d'enregistrements,1,0,0,1,1347,1347,1025,53,20,184,66
20 - Industrie chimique,1106,102,587,622,18460,19082,12358,1162,3631,494,1437
21 - Industrie pharmaceutique,s,s,1,4,2397,2401,1260,126,2,376,638
22 - Fabrication de produits en caoutchouc et en plastique,s,s,s,s,s,6758,4347,984,16,548,863
23 - Fabrication d'autres produits minéraux non métalliques,5,9,s,s,s,8100,5680,s,s,511,406
24 - Métallurgie,165,119,15,270,21581,21851,7699,4193,7855,1374,730
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",1,2,2,1,5040,5041,3395,610,198,551,286
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,2129,2129,831,236,33,512,516
27 - Fabrication d'équipements électriques,2,0,0,2,2186,2188,1164,336,210,221,257
28 - Fabrication de machines et équipements n.c.a.,27,19,s,s,s,2531,1739,329,5,312,146
29 - Industrie automobile,s,s,24,13,4747,4760,3135,501,93,442,589
30 - Fabrication d'autres matériels de transport,s,s,21,3,1938,1941,1000,245,27,360,310
31 - Fabrication de meubles,0,0,0,0,573,574,435,14,0,118,7
32 - Autres industries manufacturières,0,0,0,0,861,861,436,71,3,129,223
33 - Réparation et installation de machines et d'équipements,0,0,0,0,s,s,104,s,3,142,115
38 - Récupération,s,0,s,s,s,715,s,s,1,62,14
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2016.",,,,,,,,,,,
