"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Nomenclature activités consommatrices d'énergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13116,so,9262,9523,1025,111,326,334,35,108,530,510,106,199,139383,139383,3421,25,958,951,110,115,2316,2321,839,362,425,437,126,297,331424,333769,179,0.54,2280,3803,96,42,23726,23726,512,22,110376,113682,6667,60
E12 - Industrie laitière,so,so,464,so,0,0,0,so,0,0,0,so,0,0,0,so,5805,5805,171,29,0,0,0,so,13,13,5,423,28,28,11,392,7214,7190,4,0.49,s,s,s,s,910,910,22,25,3463,3480,243,70
E13 - Sucreries,so,so,241,so,155,153,17,109,s,s,s,s,23,22,4,192,6611,6611,150,23,s,s,s,s,0,0,0,1076,26,28,9,338,3814,3886,2,0.55,s,s,s,s,859,859,11,13,405,1015,31,77
"E14 - Industries alimentaires, hors industrie du lait et du sucre",so,so,1728,so,53,54,5,99,76,75,7,95,12,11,1,94,20086,20086,546,27,0,0,0,so,73,71,33,456,41,41,15,364,32352,32539,17,0.53,213,257,12,57,1058,1058,28,26,s,15751,1063,70
E16 - Sidérurgie,so,so,1544,so,s,s,s,s,s,s,s,s,s,s,s,s,7470,7470,145,19,13,14,2,172,3,3,1,439,1,1,1,398,30449,30653,15,0.51,0,0,0,so,171,171,4,22,10771,11040,442,41
E18 - Métallurgie de première transformation des métaux non ferreux,so,so,327,so,s,s,s,s,s,s,s,s,s,s,s,s,3664,3664,87,24,s,s,s,s,1,1,0,462,s,s,s,s,5120,5137,3,0.57,0,0,0,so,s,s,s,s,s,8307,201,24
